,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,368.87801666666655,367.9784333333334,375.1463499999999,367.23483333333337,348.1416500000001,336.5662,332.60196666666656,315.9945166666667,319.45766666666657,319.6532666666668,328.87550000000005,309.20688333333334,301.44370000000004,316.27785000000006,334.91705,340.0507166666667,343.88849999999985,347.11756666666673,335.38875,348.1036,347.75068333333354,297.90521666666666,286.3587,291.11539999999985,296.4176166666668,296.4971499999999,297.09274999999997,306.59263333333337,306.2845,310.7304333333334,312.9854499999999,321.24898333333334,318.4374,307.12348333333335,305.71550000000013,313.3748999999999,312.65078333333344,308.20653333333337,304.7530666666667,307.0095833333334
1 min,366.69,366.72,376.89,365.61,348.42,337.02,332.98,315.14,319.83,325.9,332.88,310.08,300.35,317.69,335.291,338.49,345.0,347.23,334.56,346.02,347.31,298.92,287.517,291.7,296.87,296.38,297.465,308.77,306.97,312.2,312.87,321.345,317.26,307.6,305.8,312.85,311.8,308.1,303.83,307.919
1.5 hr,368.92992222222216,367.8361222222223,374.15376666666674,367.7135111111112,349.75379999999996,338.1865000000001,335.24179999999984,316.42877777777784,319.2910888888888,317.581688888889,328.6341,310.24910000000006,301.2905555555556,315.91855555555566,335.2563555555557,340.1925555555556,343.1790666666665,346.86202222222244,335.42352222222223,348.4153222222223,348.0534666666668,298.0180111111112,285.73518888888884,291.21776666666665,296.4223555555556,296.2200222222221,296.8043777777778,306.52867777777783,306.6250333333333,310.76592222222223,313.3602,321.44935555555566,318.35953333333333,307.0248000000001,305.94381111111124,313.49938888888886,312.6948777777779,308.5238666666667,304.7418555555556,306.9601
10 day,355.4565,357.7244999999999,360.61650000000003,363.0704999999999,362.86449999999996,360.71850000000006,358.0455,353.27750000000003,349.458,338.415,325.785,321.95500000000004,318.288,316.76000000000005,320.276,324.59000000000003,326.478,329.591,329.64400000000006,334.40000000000003,339.09499999999997,333.948,329.172,324.46999999999997,319.67699999999996,314.58900000000006,310.895,307.32900000000006,303.426,299.91600000000005,300.979,303.22200000000004,306.18500000000006,307.785,308.661,310.30699999999996,311.742,311.68199999999996,311.35699999999997,310.924
10 min,367.40160000000003,367.39599999999996,376.9489,365.7324,346.51980000000003,337.4797,332.5539,315.5594,320.1361,325.28990000000005,331.654,309.2831,301.0219,317.22619999999995,335.0541,338.5429,344.99710000000005,347.4217,334.56819999999993,346.0272,347.4661,297.85599999999994,287.0014,291.83529999999996,297.0013,296.2951,297.1103,307.8798,306.6424,311.7365000000001,312.3868,321.1254,318.034,307.506,305.45289999999994,313.1311999999999,311.9183,308.11530000000005,304.1143,307.6697
100 day,315.0619500000001,315.59215000000006,316.3280500000001,317.0108500000001,317.40765000000005,317.71145000000007,318.0693500000001,318.32145000000014,318.5377500000002,318.2487500000001,317.3794500000001,316.7772500000001,316.2563500000001,315.87835000000007,315.54095000000007,315.5393500000001,315.6345500000001,316.0521500000001,316.3117500000001,316.78115000000014,317.05325000000016,316.64415000000014,316.4014500000001,316.26645000000013,316.2053500000001,316.15255000000013,316.2376500000001,316.5179500000001,316.7786500000001,317.26835000000005,317.5422500000001,317.9613500000001,318.2281500000001,318.40865000000014,318.51465000000013,318.69465000000014,318.9631500000001,319.0546500000001,319.1090500000001,319.1968500000001
125 day,318.7007600000002,318.77180000000016,318.9207600000002,318.8798000000002,318.8467600000002,318.6452400000002,318.52892000000014,318.3829200000002,318.27700000000016,317.7568400000001,317.3956400000001,317.38972000000007,317.31932000000006,317.3896400000001,317.62427999999994,317.78083999999996,318.00692,318.23404,318.42844,318.77996,318.9966,318.87180000000006,318.79308000000003,318.65524,318.57836,318.57196,318.63027999999997,318.71532,318.7647600000001,318.46612000000005,318.18388000000004,318.01876,317.51996,317.01732,316.64412000000004,316.3029200000001,315.94612000000006,315.63036,315.351,315.13044
15 min,368.0305333333334,367.72499999999997,376.68726666666663,365.50493333333327,346.0574666666667,337.6602,332.2219333333333,315.76460000000003,320.17333333333335,324.43006666666673,331.1604,309.19960000000003,301.31866666666673,317.17280000000005,335.0440666666667,338.7379333333334,344.9794,347.599,334.61679999999996,346.4954666666666,347.6211333333333,297.5519999999999,287.0096,291.6005333333333,297.0608666666667,296.39840000000004,297.1410666666667,307.4544666666667,306.38893333333334,311.47100000000006,312.3952,320.903,318.19319999999993,307.5,305.5244,313.0148666666666,312.1046666666667,307.9696,304.27099999999996,307.6062
150 day,315.2172333333334,315.6155666666668,316.09403333333347,316.5250333333335,316.90136666666683,317.25370000000015,317.5636333333335,317.76923333333343,318.05556666666683,318.4687666666668,319.44896666666676,319.6247000000001,319.68230000000005,319.9020333333334,320.4470333333333,320.76303333333334,320.93283333333335,321.14063333333337,321.2522333333334,321.3563000000001,321.37316666666675,320.6084333333335,320.0535000000001,319.64656666666673,319.2120333333334,318.8711666666667,318.63003333333336,318.4684333333334,318.2352333333334,318.01996666666673,317.7730333333334,317.6290333333334,317.51003333333335,317.4877,317.4653,317.49156666666664,317.44689999999997,317.3515666666666,317.2502999999999,317.19143333333324
175 day,312.18371428571436,312.63891428571435,313.04502857142865,313.4245142857144,313.76028571428577,313.9450285714286,314.12811428571433,314.2498285714286,314.36085714285724,314.6041714285715,315.1706285714286,315.3234857142857,315.42005714285716,315.6314857142857,316.1500857142857,316.4051142857142,316.6625428571428,316.9260285714285,317.2114571428571,317.7464285714286,318.0055142857143,317.94442857142866,317.86745714285723,317.86482857142863,317.93831428571434,317.9948857142857,318.0687142857143,318.25128571428576,318.3800285714286,318.59260000000006,318.7858571428572,319.0344285714286,319.2536857142857,319.38939999999997,319.4698571428571,319.6304857142857,319.7447142857143,319.8100285714285,319.8822571428571,319.8158571428571
2 day,365.955,366.68,371.69500000000005,371.25,357.065,342.725,335.0,324.175,317.575,310.74,333.33500000000004,321.46000000000004,305.24,309.025,335.155,336.94,341.75,346.115,340.83,345.24,346.68,300.59000000000003,293.255,289.54999999999995,294.275,296.71000000000004,296.91999999999996,303.115,307.895,309.615,312.54999999999995,317.12,319.285,312.365,306.655,309.32,312.325,309.99,305.97,305.825
