,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-24,2018-12-26,2018-12-27,2018-12-28,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
09:30,1035.48,1056.0,1066.21,1069.75,1046.92,1036.0,1023.74,1029.66,1011.158,1016.41,979.93,996.88,1017.43,1048.0430000000001,1048.955,1019.232,1048.17,1033.48,1072.104,1079.396,1078.92,1063.617,1062.01,1045.51,1048.67,1082.42,1079.16,1098.23,1084.46,1082.78,1074.44,1083.0,1079.74,1073.847,1070.0,1106.0,1111.89,1112.79,1125.018,1145.99,1098.75,1088.259,1096.09,1106.98,1126.237,1118.05,1127.0
09:31,1040.0,1053.72,1065.98,1071.26,1047.46,1032.272,1023.5219999999999,1031.73,1012.98,1014.997,982.3439999999999,997.36,1020.44,1046.12,1050.52,1023.205,1052.3,1030.073,1067.33,1079.69,1078.24,1065.9,1060.54,1045.51,1049.942,1082.68,1075.069,1096.45,1087.375,1084.0919999999999,1076.56,1082.69,1082.765,1070.16,1071.863,1103.03,1110.84,1110.978,1132.18,1143.531,1099.93,1090.323,1099.1,1107.07,1125.83,1114.09,1124.73
09:32,1041.3039999999999,1051.493,1070.98,1072.73,1048.79,1035.3,1022.44,1033.538,1017.64,1017.797,982.25,999.5,1017.5169999999999,1037.313,1048.33,1024.504,1050.24,1030.122,1070.786,1080.45,1078.471,1068.608,1061.4,1045.11,1050.932,1084.385,1076.18,1096.35,1087.692,1082.74,1073.02,1082.096,1080.97,1070.82,1074.01,1096.93,1107.21,1112.79,1134.0,1142.1789999999999,1103.0,1091.38,1098.85,1108.12,1128.95,1114.48,1124.73
09:33,1042.36,1052.7,1071.19,1068.57,1049.6480000000001,1037.8519999999999,1025.0,1033.59,1020.44,1019.06,981.97,1001.28,1018.04,1039.64,1049.47,1024.701,1048.782,1029.68,1073.204,1080.222,1078.91,1065.546,1061.4260000000002,1044.15,1052.208,1085.45,1077.46,1097.6960000000001,1087.5,1083.46,1073.86,1081.873,1077.07,1069.369,1073.75,1098.53,1108.48,1116.374,1131.222,1142.387,1102.09,1090.3319999999999,1100.14,1108.57,1128.67,1116.86,1123.52
09:34,1042.84,1050.3039999999999,1072.329,1069.969,1048.44,1037.499,1025.77,1034.54,1023.2739999999999,1018.914,985.0,999.66,1021.0,1038.94,1050.17,1024.0,1048.53,1029.08,1070.88,1080.86,1078.47,1067.31,1063.435,1043.16,1053.41,1086.46,1078.366,1096.0,1088.157,1083.1,1076.7,1082.06,1077.15,1072.15,1075.07,1096.425,1109.69,1116.5,1130.0,1141.28,1104.0,1090.56,1102.653,1109.212,1131.0,1114.44,1125.025
09:35,1040.482,1052.8319999999999,1070.598,1071.05,1048.4,1036.12,1025.59,1034.928,1019.02,1017.422,980.5,997.9,1019.1439999999999,1037.35,1049.07,1023.48,1047.17,1028.268,1069.56,1081.39,1080.66,1065.88,1062.886,1043.03,1056.6789999999999,1086.29,1079.05,1097.21,1088.29,1083.96,1076.86,1082.5,1075.1889999999999,1069.74,1074.26,1097.95,1113.761,1115.86,1129.368,1139.88,1101.95,1091.871,1103.34,1109.55,1129.901,1115.47,1123.0
09:36,1043.53,1051.87,1070.65,1074.42,1046.59,1037.04,1026.01,1035.056,1024.71,1014.9580000000001,979.985,1000.9839999999999,1023.16,1037.09,1050.3,1027.54,1045.01,1030.51,1070.43,1082.57,1082.14,1066.307,1061.998,1043.22,1058.0,1083.505,1078.75,1095.712,1089.81,1084.93,1077.065,1083.246,1075.652,1067.58,1075.19,1097.27,1116.43,1116.53,1131.66,1138.069,1102.32,1090.58,1105.5,1110.48,1129.079,1114.665,1122.323
09:37,1045.79,1051.04,1068.575,1074.55,1045.4560000000001,1037.57,1026.03,1036.73,1022.94,1012.31,978.24,1002.5,1028.597,1040.95,1050.77,1027.28,1044.28,1030.6,1068.0,1082.2910000000002,1079.7,1067.048,1061.56,1046.46,1058.87,1083.2930000000001,1078.49,1095.6,1088.7169999999999,1083.27,1077.021,1082.99,1076.93,1067.71,1074.47,1098.136,1115.78,1114.356,1131.0,1138.428,1100.89,1090.73,1103.678,1109.88,1128.54,1115.53,1122.58
09:38,1041.48,1050.67,1069.35,1077.46,1047.45,1035.36,1023.24,1038.33,1022.23,1015.34,979.33,1004.801,1031.593,1040.11,1048.97,1024.237,1050.527,1030.0,1068.81,1084.072,1081.79,1065.38,1057.9,1048.73,1059.88,1082.3339999999998,1077.8,1094.57,1089.08,1081.6,1075.735,1083.98,1076.56,1066.09,1073.55,1097.4,1115.65,1114.37,1126.79,1139.34,1101.85,1091.09,1103.653,1109.75,1129.407,1115.84,1123.108
09:39,1040.14,1049.27,1069.484,1075.74,1047.31,1034.15,1022.68,1041.17,1027.56,1015.9169999999999,982.07,1001.89,1026.14,1040.361,1048.97,1024.65,1043.347,1029.75,1070.7169999999999,1081.2730000000001,1081.3,1065.12,1057.2,1048.59,1060.822,1085.27,1079.87,1093.98,1090.41,1082.225,1076.0,1085.144,1075.07,1066.211,1075.0,1098.65,1115.539,1114.39,1126.013,1137.07,1101.3410000000001,1090.05,1102.84,1107.84,1130.685,1114.09,1123.565
09:40,1041.45,1050.97,1066.8339999999998,1077.86,1049.62,1035.785,1025.82,1041.904,1020.19,1010.86,983.92,998.99,1026.74,1043.25,1048.54,1021.45,1046.55,1030.774,1069.55,1078.42,1082.292,1067.88,1057.86,1049.813,1061.2,1084.59,1080.219,1091.6960000000001,1089.633,1082.33,1073.88,1085.501,1073.866,1064.81,1073.52,1099.268,1118.9,1112.7,1126.34,1137.877,1100.47,1091.317,1099.743,1109.68,1131.26,1114.198,1122.66
09:41,1044.73,1052.395,1067.05,1077.75,1048.89,1034.55,1025.48,1040.8,1020.465,1013.77,982.63,998.99,1026.31,1045.0,1048.19,1022.61,1045.36,1031.92,1072.2,1078.07,1081.47,1065.38,1057.59,1049.63,1060.0,1085.24,1081.64,1091.226,1088.76,1082.747,1072.74,1083.88,1075.14,1066.87,1072.277,1099.846,1119.388,1114.079,1123.885,1135.53,1100.62,1091.32,1101.94,1110.623,1131.79,1113.07,1122.6989999999998
