minute,2018-12-18,2018-12-19
09:30,1023.74,1029.66
09:31,1023.5219999999999,1031.73
09:32,1022.44,1033.538
09:33,1025.0,1033.59
09:34,1025.77,1034.54
09:35,1025.59,1034.928
09:36,1026.01,1035.056
09:37,1026.03,1036.73
09:38,1023.24,1038.33
09:39,1022.68,1041.17
09:40,1025.82,1041.904
09:41,1025.48,1040.8
09:42,1029.8,1039.2
09:43,1032.91,1042.2
09:44,1031.205,1041.35
09:45,1031.03,1039.9460000000001
09:46,1031.13,1039.86
09:47,1029.69,1041.96
09:48,1030.95,1043.65
09:49,1029.942,1046.388
09:50,1028.448,1047.28
09:51,1028.1,1048.2
09:52,1029.68,1048.097
09:53,1030.24,1048.43
09:54,1031.14,1052.715
09:55,1031.41,1052.98
09:56,1029.32,1054.547
09:57,1029.798,1055.26
09:58,1030.662,1057.29
09:59,1031.02,1056.13
10:00,1030.975,1056.683
10:01,1028.88,1054.01
10:02,1029.835,1054.094
10:03,1028.18,1053.98
10:04,1027.73,1052.95
10:05,1028.786,1051.721
10:06,1028.73,1051.01
10:07,1028.96,1050.596
10:08,1028.98,1050.31
10:09,1028.546,1052.0
10:10,1027.55,1053.906
10:11,1028.09,1053.27
10:12,1030.25,1053.0
10:13,1031.642,1053.3
10:14,1032.29,1055.68
10:15,1033.808,1055.46
10:16,1034.11,1057.9
10:17,1033.38,1056.238
10:18,1032.88,1056.461
10:19,1034.37,1056.255
10:20,1034.393,1056.976
10:21,1032.93,1056.505
10:22,1033.99,1057.998
10:23,1033.694,1057.378
10:24,1035.13,1057.68
10:25,1035.212,1057.32
10:26,1035.44,1056.0
10:27,1037.515,1055.17
10:28,1037.83,1055.01
10:29,1038.337,1055.46
10:30,1038.4189999999999,1056.76
10:31,1038.85,1057.06
10:32,1038.61,1056.655
10:33,1039.76,1058.53
10:34,1038.4360000000001,1056.36
10:35,1038.5910000000001,1058.5
10:36,1038.795,1056.8410000000001
10:37,1037.35,1056.757
10:38,1036.68,1057.0
10:39,1038.48,1057.309
10:40,1037.6889999999999,1056.763
10:41,1036.055,1056.525
10:42,1033.75,1056.779
10:43,1032.85,1058.1
10:44,1031.63,1057.02
10:45,1033.02,1056.93
10:46,1033.21,1057.3
10:47,1034.11,1057.195
10:48,1035.09,1056.83
10:49,1035.99,1056.121
10:50,1036.37,1057.763
10:51,1038.68,1058.67
10:52,1037.51,1059.1580000000001
10:53,1037.57,1058.23
10:54,1037.0,1057.85
10:55,1037.09,1057.71
10:56,1036.7160000000001,1057.23
10:57,1036.69,1057.0
10:58,1036.1,1058.21
10:59,1037.5,1058.65
11:00,1038.85,1059.045
11:01,1039.135,1059.9
11:02,1039.637,1059.702
11:03,1036.69,1059.455
11:04,1036.5,1059.191
11:05,1037.417,1059.0
11:06,1036.66,1056.478
11:07,1037.94,1055.28
11:08,1037.36,1055.23
11:09,1037.2830000000001,1053.54
11:10,1038.247,1053.59
11:11,1038.9569999999999,1054.165
11:12,1039.994,1054.3110000000001
11:13,1039.64,1053.376
11:14,1040.247,1052.236
11:15,1038.62,1053.0
11:16,1038.468,1051.97
11:17,1038.2269999999999,1051.475
11:18,1036.67,1052.5
11:19,1037.552,1052.38
11:20,1037.35,1053.22
11:21,1036.42,1054.5
11:22,1036.05,1053.24
11:23,1034.49,1053.335
11:24,1033.82,1053.14
11:25,1032.858,1052.63
11:26,1033.55,1053.68
11:27,1031.935,1053.81
11:28,1032.51,1052.5
11:29,1032.98,1053.77
11:30,1033.68,1054.5539999999999
11:31,1033.953,1055.1019999999999
11:32,1034.549,1054.375
11:33,1036.435,1053.35
11:34,1036.724,1053.54
11:35,1038.2060000000001,1053.22
11:36,1038.6860000000001,1053.4
11:37,1039.0510000000002,1054.43
11:38,1039.478,1054.742
11:39,1039.062,1055.0
11:40,1039.01,1054.34
11:41,1040.97,1053.49
11:42,1040.09,1054.053
11:43,1039.61,1054.213
11:44,1038.58,1055.0
11:45,1038.42,1055.0
11:46,1038.81,1055.0
11:47,1040.7,1054.66
11:48,1041.43,1056.14
11:49,1041.399,1057.51
11:50,1042.49,1058.203
11:51,1040.356,1058.1480000000001
11:52,1040.11,1059.19
11:53,1039.63,1058.693
11:54,1040.367,1058.43
11:55,1040.1,1057.014
11:56,1041.24,1056.8
11:57,1042.06,1058.71
11:58,1039.897,1059.1
11:59,1040.05,1059.066
12:00,1041.56,1059.21
12:01,1041.33,1059.99
12:02,1041.36,1059.87
12:03,1041.0839999999998,1059.09
12:04,1042.232,1058.425
12:05,1044.67,1059.56
12:06,1044.42,1059.05
12:07,1044.74,1059.74
12:08,1044.33,1060.0
12:09,1045.12,1061.1
12:10,1047.6960000000001,1061.075
12:11,1047.25,1060.8
12:12,1047.94,1060.733
12:13,1048.65,1060.54
12:14,1048.83,1060.62
12:15,1048.0,1060.701
12:16,1048.34,1060.969
12:17,1048.81,1060.0
12:18,1049.0,1060.79
12:19,1048.66,1060.84
12:20,1048.505,1061.021
12:21,1047.962,1060.361
12:22,1048.55,1060.94
12:23,1047.65,1060.7060000000001
12:24,1047.369,1061.13
12:25,1048.36,1060.99
12:26,1047.09,1060.95
12:27,1046.565,1060.38
12:28,1045.22,1058.835
12:29,1046.0,1059.367
12:30,1045.925,1059.54
12:31,1046.937,1059.06
12:32,1047.335,1058.62
12:33,1047.91,1059.11
12:34,1047.31,1058.986
12:35,1046.47,1059.29
12:36,1047.397,1057.99
12:37,1046.71,1058.66
12:38,1047.13,1058.42
12:39,1047.0,1058.27
12:40,1046.07,1059.18
12:41,1046.19,1058.18
12:42,1046.49,1058.42
12:43,1046.79,1057.5
12:44,1046.46,1058.3010000000002
12:45,1047.03,1057.8
12:46,1044.9389999999999,1056.7089999999998
12:47,1045.76,1057.19
12:48,1046.49,1056.611
12:49,1045.968,1056.516
12:50,1045.745,1056.47
12:51,1045.52,1057.73
12:52,1045.3139999999999,1057.75
12:53,1045.6,1055.29
12:54,1046.14,1055.91
12:55,1046.8,1055.82
12:56,1045.0,1054.12
12:57,1045.05,1053.65
12:58,1045.2,1053.0
12:59,1045.12,1052.89
13:00,1043.761,1053.18
13:01,1044.36,1052.056
13:02,1044.274,1050.6
13:03,1044.8,1051.03
13:04,1044.64,1050.899
13:05,1045.05,1051.945
13:06,1044.995,1050.52
13:07,1044.387,1049.5
13:08,1044.5,1048.42
13:09,1044.559,1049.489
13:10,1044.37,1049.52
13:11,1044.55,1050.247
13:12,1044.3,1050.9569999999999
13:13,1044.339,1050.28
13:14,1044.8,1048.26
13:15,1045.11,1047.94
13:16,1045.344,1049.1
13:17,1044.968,1048.6960000000001
13:18,1045.09,1048.86
13:19,1045.08,1049.007
13:20,1044.61,1049.4
13:21,1045.597,1048.2
13:22,1046.0,1044.472
13:23,1045.33,1046.07
13:24,1046.0,1045.045
13:25,1046.01,1044.16
13:26,1046.8,1045.55
13:27,1045.85,1045.4
13:28,1045.19,1045.37
13:29,1045.09,1045.26
13:30,1044.81,1046.54
13:31,1043.44,1045.376
13:32,1042.772,1044.93
13:33,1042.03,1043.641
13:34,1041.251,1044.71
13:35,1041.535,1045.225
13:36,1041.78,1046.91
13:37,1041.347,1046.63
13:38,1040.92,1046.54
13:39,1039.6,1045.798
13:40,1040.509,1046.905
