minute,2018-12-24
09:30,979.93
09:31,982.344
09:32,982.25
09:33,981.97
09:34,985.0
09:35,980.5
09:36,979.985
09:37,978.24
09:38,979.33
09:39,982.07
09:40,983.92
09:41,982.63
09:42,980.31
09:43,978.381
09:44,978.0
09:45,976.337
09:46,975.06
09:47,973.0
09:48,971.313
09:49,972.5
09:50,971.99
09:51,974.38
09:52,975.37
09:53,973.05
09:54,974.99
09:55,977.37
09:56,974.87
09:57,974.28
09:58,974.54
09:59,978.39
10:00,981.056
10:01,981.859
10:02,982.56
10:03,983.95
10:04,982.45
10:05,980.62
10:06,979.4
10:07,980.29
10:08,980.57
10:09,984.26
10:10,986.29
10:11,987.38
10:12,987.44
10:13,983.243
10:14,987.649
10:15,986.76
10:16,985.61
10:17,985.0
10:18,986.785
10:19,987.358
10:20,985.194
10:21,984.995
10:22,987.556
10:23,985.91
10:24,986.531
10:25,987.84
10:26,988.88
10:27,988.146
10:28,988.179
10:29,989.33
10:30,989.59
10:31,991.021
10:32,990.53
10:33,990.475
10:34,992.289
10:35,993.294
10:36,993.75
10:37,996.0
10:38,995.74
10:39,996.5
10:40,998.215
10:41,1000.314
10:42,1001.841
10:43,1001.158
10:44,1002.76
10:45,1001.36
10:46,998.041
10:47,997.05
10:48,997.93
10:49,998.63
10:50,998.961
10:51,997.0
10:52,997.256
10:53,996.5
10:54,991.54
10:55,990.0
10:56,992.738
10:57,992.22
10:58,991.26
10:59,993.22
11:00,994.767
11:01,995.86
11:02,992.25
11:03,990.41
11:04,988.104
11:05,987.685
11:06,988.867
11:07,991.54
11:08,989.81
11:09,988.36
11:10,987.26
11:11,985.7
11:12,987.5
11:13,989.432
11:14,990.88
11:15,988.116
11:16,988.845
11:17,986.265
11:18,988.37
11:19,988.766
11:20,989.985
11:21,990.567
11:22,989.629
11:23,989.49
11:24,988.22
11:25,987.54
11:26,986.05
11:27,986.308
11:28,985.71
11:29,986.78
11:30,987.01
11:31,989.1
11:32,989.77
11:33,987.886
11:34,989.93
11:35,989.647
11:36,987.82
11:37,988.42
11:38,988.77
11:39,989.059
11:40,990.67
11:41,990.499
11:42,988.59
11:43,987.7
11:44,988.05
11:45,987.01
11:46,984.14
11:47,984.85
11:48,984.38
11:49,982.4
11:50,984.84
11:51,985.0
11:52,984.768
11:53,984.27
11:54,985.805
11:55,986.65
11:56,987.18
11:57,986.928
11:58,984.57
11:59,984.61
12:00,988.523
12:01,987.11
12:02,986.245
12:03,987.08
12:04,987.71
12:05,987.53
12:06,986.7
12:07,988.03
12:08,986.89
12:09,984.945
12:10,984.814
12:11,983.86
12:12,983.368
12:13,986.01
12:14,986.33
12:15,986.62
12:16,986.52
12:17,985.71
12:18,984.65
12:19,985.71
12:20,984.43
12:21,983.2
12:22,985.43
12:23,983.93
12:24,985.25
12:25,987.174
12:26,986.97
12:27,985.34
12:28,984.2
12:29,983.855
12:30,985.863
12:31,984.74
12:32,983.761
12:33,983.63
12:34,985.86
12:35,986.57
12:36,985.75
12:37,985.51
12:38,984.284
12:39,986.293
12:40,985.322
12:41,984.49
12:42,984.07
12:43,982.816
12:44,981.876
12:45,980.56
12:46,983.5
12:47,984.86
12:48,987.06
12:49,988.293
12:50,987.367
12:51,986.914
12:52,986.475
12:53,985.899
12:54,985.966
12:55,981.75
12:56,980.73
12:57,979.354
12:58,978.45
12:59,975.66
