,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-07,2019-01-11,2019-01-16,2019-01-22,2019-01-23,2019-01-28,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,169.6886,170.59440000000004,165.96144999999999,163.82776666666663,165.50075,160.73041666666663,157.36839999999992,154.5898999999999,157.23460000000003,157.22356666666667,147.83131666666665,152.23081666666667,155.07238333333342,153.1440333333334,153.53251666666665,155.93069999999994,166.60951666666662,166.36963333333335,174.16489999999993,174.19764999999992,170.2144833333333,169.62701666666666,170.74953333333323,170.60559999999998,170.7746,170.24491666666663
1 min,169.09,170.84,165.48,164.21,165.89,160.76,156.9,157.17,157.85,157.925,148.03,152.29,154.92,153.69,153.97,156.3,166.34,166.52,174.1,174.28,170.5,169.45,170.89,170.17,170.79,170.38
1.5 hr,169.75665555555562,170.54570000000004,166.10666666666668,164.07007777777778,165.51172222222223,161.6747333333333,157.43674444444434,154.22299999999993,157.27605555555556,157.59775555555555,147.40517777777782,152.1883222222222,155.13202222222225,153.2448,153.36809999999994,155.92722222222224,166.67479999999995,166.29101111111115,174.14035555555554,174.11324444444438,170.30947777777766,169.6733777777778,170.67397777777768,170.68574444444445,170.8311333333333,170.27499999999998
10 day,174.36409999999998,173.36936999999998,171.96838,170.51063000000002,168.64364,167.07038,165.28902,160.11222000000004,156.58634,155.98691000000002,151.46531,151.39262,150.01056,152.75876999999997,153.07441999999998,153.80727,156.63115,157.6926,161.20852000000002,163.23183999999998,166.38043,167.76019,169.44725000000003,170.01082999999997,170.51791999999998,170.97904
10 min,169.4251,170.89400000000006,165.6836,163.7722,166.5215,161.10340000000002,156.6965,156.3539,157.0917,157.45960000000002,147.89819999999997,152.2311,155.02950000000004,152.99439999999998,153.6611,155.9459,166.613,166.5315,173.9603,174.13530000000003,170.0317,169.4691,170.7646,170.0532,170.95770000000002,170.08520000000001
100 day,206.22738300000003,206.03494400000002,205.77429400000005,205.48031400000002,205.21357500000002,204.92719499999998,204.61096899999995,203.214162,201.72349700000004,201.246666,199.41454099999999,197.04688099999998,195.20184099999997,193.39607300000003,192.74868900000004,190.69220100000007,188.80428400000008,188.2664850000001,187.31842700000007,186.85978100000008,185.79829900000001,185.33064800000002,184.87402500000005,184.409012,183.93372700000003,183.478159
125 day,202.1072704,201.9752312,201.80040960000002,201.6374472,201.48504479999997,201.29960639999996,201.08609839999997,200.35167359999997,199.6842328,199.48731759999998,198.51831439999998,197.36210239999997,196.4797784,195.6437752,195.34317040000002,194.47319600000003,193.74606320000004,193.43199760000007,192.88452720000004,192.63417280000004,192.06738080000002,191.77542000000005,191.48450160000004,191.18091760000001,190.87840400000005,190.54840080000002
15 min,169.52786666666668,170.93633333333338,165.62040000000005,163.52039999999997,166.47913333333335,160.9992666666667,156.73973333333333,155.99179999999998,157.14000000000001,157.32580000000002,148.01146666666665,152.26993333333334,154.92600000000004,153.1196,153.66646666666668,155.92113333333333,166.57946666666663,166.51220000000004,173.95706666666666,174.14153333333337,170.01020000000003,169.50206666666665,170.73066666666668,170.08946666666668,170.93080000000003,170.1204
150 day,199.640094,199.52696266666666,199.38226666666668,199.23024866666665,199.10364199999998,198.93117933333332,198.73961066666666,198.05942933333333,197.45510733333333,197.26477533333332,196.45292199999997,195.41037399999996,194.65895399999997,193.99254266666665,193.77012066666668,193.19253866666665,192.7855406666667,192.67695133333336,192.52692400000004,192.44967333333335,192.285918,192.1763546666667,192.05931933333335,191.93906666666666,191.83923000000001,191.71609533333333
175 day,195.46254914285723,195.46261600000005,195.45643714285717,195.4320965714286,195.401864,195.34671657142854,195.25889999999993,194.86992342857135,194.63847771428567,194.6069577142857,194.33872628571424,194.0209674285714,193.55446228571427,193.0344108571429,192.84461085714292,192.3206108571429,191.9185868571429,191.80855942857147,191.646628,191.57250285714287,191.3977874285714,191.3100914285714,191.21169657142855,191.10026057142852,190.98400514285717,190.86179257142857
