,2019-01-04,2019-01-07,2019-01-09,2019-01-16,2019-01-17,2019-01-18,2019-02-07
1 hr,45.89025000000001,48.16131666666666,50.3306,49.68171666666668,50.23108333333332,50.20544999999998,51.86288333333334
1 min,46.01,48.12,50.26,49.64,50.23,50.15,51.98
1.5 hr,45.93952222222221,48.140633333333334,50.30778888888888,49.74731111111112,50.267600000000016,50.21384444444441,51.86375555555557
10 day,42.885000000000005,43.563,45.376999999999995,48.501999999999995,49.19499999999999,49.613,50.815000000000005
10 min,45.930099999999996,48.1535,50.211,49.6241,50.0702,50.1136,52.001
100 day,56.79330000000001,56.665000000000006,56.4284,55.7161,55.578199999999995,55.4246,52.940299999999986
125 day,59.147280000000016,58.99688000000001,58.71976000000001,57.91944,57.73664000000001,57.54752000000001,55.5968
15 min,45.9064,48.153666666666666,50.23466666666666,49.612399999999994,50.09813333333333,50.141733333333335,51.9864
150 day,60.13753333333334,60.023200000000024,59.80013333333336,59.27153333333333,59.17380000000001,59.08393333333335,57.82546666666668
175 day,59.15388571428573,59.184800000000024,59.27668571428573,59.46800000000001,59.49982857142859,59.4745142857143,58.84297142857144
2 day,44.65,47.08,49.834999999999994,49.49,49.925,50.205,52.05
2 hr,45.898499999999984,48.151108333333354,50.184258333333325,49.72927499999999,50.25004166666667,50.26582499999997,51.82139166666668
2.5 hr,45.843526666666655,48.20738666666668,50.10831333333333,49.69627333333332,50.238620000000004,50.29883333333332,51.806346666666656
20 day,43.6915,43.8735,44.466,45.692499999999995,45.98049999999999,46.248999999999995,50.08250000000002
20 min,45.87055,48.142,50.23885,49.5973,50.15285,50.17285,51.959799999999994
200 day,56.92669999999999,56.97345,57.08955000000001,57.35875000000001,57.39785000000002,57.43890000000002,57.936000000000014
25 min,45.85304,48.14304,50.26039999999999,49.59587999999999,50.20232,50.1814,51.918639999999996
3 hr,45.80426111111111,48.22646111111113,50.062027777777786,49.66614444444445,50.22297777777776,50.366622222222226,51.791433333333316
3.5 hr,45.73367142857143,48.20552857142858,50.01684761904761,49.64292380952382,50.17168095238095,50.40350952380954,51.74975238095238
30 day,44.25033333333333,44.348,44.559,45.278999999999996,45.446999999999996,45.66533333333333,48.51400000000001
30 min,45.847699999999996,48.1362,50.28766666666665,49.61156666666667,50.24493333333334,50.189566666666664,51.89853333333333
4 hr,45.668575000000025,48.17360000000001,50.000520833333326,49.60844166666671,50.132799999999996,50.403537500000006,51.70833750000001
4.5 hr,45.55928518518524,48.15167037037037,49.99352592592594,49.59265185185188,50.11083333333333,50.38347777777778,51.67373333333335
40 day,45.939499999999995,45.64125,45.599000000000004,45.50425,45.511,45.591,47.27425
45 min,45.85704444444445,48.13964444444446,50.33577777777778,49.64240000000001,50.25028888888889,50.20626666666665,51.872799999999984
5 day,44.238,45.262,47.42399999999999,49.58,49.686,49.833999999999996,52.032
5 hr,45.44163666666672,48.12027,49.98346999999999,49.585203333333375,50.07445666666666,50.369826666666675,51.654176666666686
5 min,46.071000000000005,48.14,50.251999999999995,49.658,50.099,50.126,52.013999999999996
5.5 hr,45.33750909090915,48.0680909090909,49.96063333333332,49.547642424242476,50.04967575757578,50.37280606060607,51.69003939393943
50 day,48.5556,48.35779999999999,48.01919999999999,47.09879999999998,46.87919999999999,46.67419999999999,46.7684
50 min,45.869279999999996,48.15528000000001,50.328,49.654560000000004,50.24005999999999,50.205539999999985,51.86488
55 min,45.88683636363637,48.160163636363635,50.325745454545455,49.66878181818183,50.2380909090909,50.20576363636362,51.86114545454546
6 hr,45.220400000000055,47.996950000000005,49.97495555555555,49.55645555555563,50.05239444444449,50.36760833333332,51.71448333333336
6.5 hr,45.10749743589748,47.90450769230769,49.979979487179484,49.55392820512828,50.04613076923082,50.37434358974356,51.719494871794915
60 day,50.300666666666665,50.055833333333325,49.81949999999999,48.99999999999998,48.86166666666665,48.73183333333331,47.093499999999985
70 day,52.45942857142857,52.190571428571424,51.70014285714285,50.56914285714284,50.3912857142857,50.20242857142856,48.608714285714264
80 day,54.49112499999999,54.18124999999999,53.65474999999999,52.45362499999999,52.27149999999999,52.103625,49.88524999999998
90 day,56.07033333333333,55.864666666666665,55.479,54.414999999999985,54.1901111111111,53.9491111111111,51.34066666666666
Tomorrow,48.15,49.41,49.69,50.22,50.19,48.7,51.43
