,2019-01-02,2019-01-03,2019-01-04,2019-01-11,2019-01-18,2019-01-31,2019-02-01,2019-02-04
1 hr,308.74835,302.83793333333347,314.2326666666667,322.7470833333333,332.9206333333333,349.2822833333334,350.03220000000005,323.9754500000001
1 min,309.96,302.29,313.43,323.75,333.74,351.07,351.13,330.42
1.5 hr,309.79408888888884,302.9675666666667,314.8726222222222,323.18451111111096,332.9348333333334,349.17924444444446,350.0204000000001,323.0078222222223
10 day,303.28700000000003,303.036,304.76599999999996,319.745,325.76000000000005,339.298,341.37399999999997,341.041
10 min,309.4386,303.00800000000004,313.745,323.33169999999996,333.07280000000003,349.8287,350.9765,329.2513
100 day,362.28970000000015,361.5051000000001,360.8612000000001,358.8404000000001,356.6015000000001,352.26970000000006,352.0056000000001,351.4239
125 day,369.6546400000002,368.8683200000001,368.12792000000013,364.7501600000001,360.76040000000006,357.6920000000001,357.5230400000001,357.1494400000001
15 min,309.04586666666665,303.2610000000001,313.8293333333333,322.9961333333333,333.03386666666665,349.52046666666666,350.9206666666667,328.48206666666664
150 day,377.7808000000001,377.20560000000006,376.75426666666675,374.14693333333344,370.7902666666668,365.7650000000002,365.3679333333335,364.81106666666676
175 day,374.22274285714286,374.28765714285714,374.4033142857143,375.0308,374.4084571428572,372.7278857142858,372.5263428571429,372.1542857142858
2 day,317.5,306.125,307.865,329.46500000000003,332.03,345.33,351.075,340.745
2 hr,310.43468333333334,303.225175,315.70255000000003,323.7474000000001,333.1014666666669,349.43714166666666,349.84425833333336,324.46165
2.5 hr,311.2671800000001,303.14061999999996,316.4232933333332,323.85870000000017,333.3377000000002,349.8106266666666,349.91726000000006,328.5175733333333
20 day,313.55799999999994,311.5,310.81299999999993,310.5915,315.263,330.1125,332.552,333.40049999999997
20 min,308.65045,303.21125,313.7659,322.7876,333.20769999999993,349.3303,350.79449999999997,327.52560000000005
200 day,364.07705000000004,364.14859999999993,364.24575,365.1659,366.21270000000004,368.09155000000015,368.3248000000001,368.4387000000001
25 min,308.44716,303.28560000000004,313.86711999999994,322.65728,333.24135999999993,349.20364,350.69072,326.9016000000001
3 hr,311.8572444444446,303.19122222222205,317.0055277777777,323.69030000000015,333.7409444444446,350.3330055555556,349.7896833333334,332.10988888888886
3.5 hr,312.21266190476206,303.5119333333332,317.13063333333315,323.6549380952384,334.1069095238096,350.93636190476184,349.4992238095239,334.5511285714284
30 day,313.9686666666667,313.38566666666674,313.83933333333334,317.17766666666665,315.7953333333333,321.1706666666667,322.71333333333337,323.85566666666665
30 min,308.3649666666667,303.33516666666674,314.01860000000005,322.60483333333343,333.14286666666663,349.2247,350.60093333333333,326.1865000000001
4 hr,312.4527166666669,303.7195541666667,317.1383666666665,323.39008333333373,334.2491708333333,351.84038749999996,349.2345708333335,336.61626666666666
4.5 hr,312.76023703703726,303.7654296296295,316.9911629629628,323.20593333333386,334.26217037037037,352.92351851851856,348.9680185185189,338.0673555555556
40 day,327.9725,325.9265000000001,323.93975000000006,315.68275000000006,316.8195,321.83525000000003,322.026,322.10675
45 min,308.50406666666674,302.95886666666684,314.14115555555554,322.6049111111111,332.8967999999999,349.32624444444446,350.16880000000003,324.7394000000001
5 day,315.25600000000003,314.226,313.78000000000003,325.71,325.81,341.462,341.804,340.506
5 hr,313.0521466666669,303.50030333333314,317.05049999999983,323.34584333333385,334.19105999999994,353.6865166666668,348.6228900000004,339.2301333333334
5 min,309.677,302.526,313.764,323.92600000000004,333.22360000000003,350.582,351.149,330.16
5.5 hr,313.17400303030325,302.8145606060605,317.1426727272726,323.64290909090965,333.99275151515155,354.00345151515165,348.16943939393974,340.022496969697
50 day,332.0626000000001,330.86000000000007,329.80480000000006,328.2508000000001,324.3038,320.42620000000005,321.0522,321.66380000000004
50 min,308.54662000000013,302.84842000000015,314.16177999999996,322.65412000000003,332.8888799999999,349.28122,350.12054000000006,324.4223200000001
55 min,308.6048363636364,302.8255454545456,314.20605454545455,322.6878181818182,332.90530909090904,349.27830909090926,350.0753090909091,324.1421090909091
6 hr,313.5334750000003,302.4830694444443,316.79143333333326,324.02728055555605,333.5436194444445,354.05299166666674,347.83943888888916,340.5284861111112
6.5 hr,313.85283589743614,302.59513589743574,316.2038051282052,324.48678717948764,333.35719230769234,353.5427179487182,347.67126153846186,341.1672512820512
60 day,341.29200000000014,339.40166666666676,337.9755000000001,333.51183333333336,329.1306666666667,328.68583333333333,328.135,327.09333333333325
70 day,353.96428571428584,352.78442857142863,351.2677142857143,342.774,336.23042857142866,331.5054285714285,331.34342857142855,330.83214285714274
80 day,357.8090000000001,356.869,355.92975,351.96337500000004,348.07925,338.497125,337.68925,336.83174999999994
90 day,361.6086666666668,360.77933333333345,360.0283333333334,356.0810000000001,352.57755555555553,348.6638888888889,348.2883333333333,347.29722222222216
