,2018-12-26,2019-01-07,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16
1 hr,15.52315,18.054549999999995,19.91100000000001,20.64028333333334,20.78910000000001,21.281916666666657,21.80569999999999
1 min,15.83,18.23,19.74,20.71,20.65,21.33,21.77
1.5 hr,15.455677777777767,18.0877,19.86143333333335,20.706355555555565,20.717722222222214,21.289933333333323,21.802544444444425
10 day,16.422,16.038000000000004,17.000999999999998,17.487999999999996,18.552,19.067999999999998,19.579999999999995
10 min,15.7762,18.187499999999996,19.720499999999998,20.656,20.6395,21.266000000000002,21.7755
100 day,17.8687,18.023,18.1246,18.198700000000002,18.3501,18.422300000000003,18.4982
125 day,17.58088,17.59152,17.629759999999997,17.653359999999996,17.712639999999997,17.738,17.77152
15 min,15.735000000000003,18.146333333333327,19.75433333333333,20.614333333333335,20.709666666666674,21.270333333333333,21.779133333333334
150 day,17.480666666666664,17.423466666666666,17.446199999999997,17.467466666666667,17.511733333333332,17.5348,17.562133333333335
175 day,17.54257142857143,17.466228571428577,17.501600000000003,17.52577142857143,17.57617142857143,17.59634285714286,17.614800000000002
2 day,15.08,17.9,19.14,20.225,20.869999999999997,20.994999999999997,21.549999999999997
2 hr,15.385658333333332,18.116433333333344,19.856008333333342,20.744533333333347,20.68118333333333,21.331891666666646,21.78418333333331
2.5 hr,15.331339999999994,18.134540000000005,19.84136000000002,20.718460000000007,20.678133333333324,21.364799999999985,21.77241333333331
20 day,17.726499999999998,16.7835,16.848000000000003,16.955000000000002,17.2215,17.404499999999995,17.614999999999995
20 min,15.70475,18.116499999999995,19.789749999999998,20.598750000000003,20.747250000000005,21.277750000000005,21.783850000000005
200 day,18.106900000000003,17.812650000000005,17.77195,17.757800000000003,17.737550000000002,17.731850000000005,17.736300000000004
25 min,15.666000000000002,18.096919999999997,19.8158,20.58728,20.766000000000005,21.283,21.791080000000008
3 hr,15.2931111111111,18.149577777777782,19.834816666666686,20.692405555555567,20.675388888888875,21.383899999999983,21.758599999999973
3.5 hr,15.261666666666658,18.159671428571425,19.848933333333353,20.671604761904778,20.678666666666647,21.390809523809512,21.74409999999997
30 day,17.98,17.572333333333336,17.605333333333338,17.647000000000002,17.78733333333333,17.827333333333332,17.917666666666666
30 min,15.636833333333335,18.075099999999996,19.8365,20.594066666666667,20.78033333333334,21.279833333333332,21.799033333333345
4 hr,15.204941666666654,18.16365833333333,19.874050000000015,20.654908333333342,20.675241666666658,21.399499999999982,21.729708333333303
4.5 hr,15.130840740740727,18.1654148148148,19.878740740740753,20.63841481481482,20.670551851851844,21.38340370370369,21.72778518518516
40 day,18.69525,17.835,17.81075,17.857,17.983749999999993,18.078749999999996,18.157249999999998
45 min,15.565111111111115,18.06695555555555,19.89586666666667,20.61657777777778,20.80057777777779,21.27533333333333,21.804022222222223
5 day,15.108,16.958000000000002,18.050000000000004,18.958,20.145999999999997,20.704,21.109999999999996
5 hr,15.084213333333313,18.169803333333313,19.856730000000017,20.604440000000007,20.660003333333336,21.367219999999975,21.72207666666664
5 min,15.857,18.249,19.711,20.718,20.632,21.302,21.778
5.5 hr,15.047618181818152,18.154045454545436,19.81453939393941,20.574712121212134,20.65428484848485,21.353269696969672,21.701442424242394
50 day,19.3166,18.519000000000002,18.4744,18.4538,18.444799999999997,18.481799999999996,18.469999999999995
50 min,15.550300000000002,18.063459999999992,19.902980000000003,20.62782,20.801120000000004,21.277799999999992,21.806139999999996
55 min,15.535527272727274,18.061145454545446,19.907818181818186,20.633218181818187,20.796109090909095,21.280363636363628,21.80667272727272
6 hr,15.017544444444416,18.135030555555534,19.765888888888902,20.516477777777784,20.654611111111112,21.33481111111108,21.698944444444415
6.5 hr,14.988658974358957,18.099176923076904,19.690648717948733,20.4507358974359,20.669258974358975,21.302661538461507,21.68913846153844
60 day,19.601166666666668,19.077833333333334,19.028666666666666,19.011833333333335,18.970833333333328,18.94516666666667,18.929166666666664
70 day,19.481571428571424,19.366142857142858,19.300000000000004,19.29928571428572,19.31057142857143,19.313000000000002,19.317285714285713
80 day,18.793375,19.012625,19.147,19.232374999999998,19.4,19.477875,19.511125
90 day,18.27766666666667,18.47555555555556,18.578444444444447,18.648333333333333,18.79588888888889,18.87311111111111,18.959111111111106
