,2019-01-04,2019-01-30,2019-02-01
1 hr,26.048833333333317,27.739283333333336,27.68431666666668
1 min,26.15,27.76,27.79
1.5 hr,26.03448888888888,27.717799999999993,27.678522222222227
10 day,25.71,28.153,27.841
10 min,26.064,27.8105,27.7805
100 day,35.51505,33.51395000000001,33.27755000000001
125 day,36.808719999999994,34.780640000000005,34.57876000000002
15 min,26.050666666666658,27.815666666666665,27.78473333333334
150 day,37.57813333333332,36.07946666666667,35.881
175 day,37.9836,36.83291428571428,36.66422857142857
2 day,25.77,27.625,27.564999999999998
2 hr,26.029883333333338,27.69855833333332,27.657550000000004
2.5 hr,26.04238,27.65917333333332,27.665119999999987
20 day,27.851,27.716499999999996,27.910000000000004
20 min,26.044999999999995,27.786749999999994,27.771250000000002
200 day,38.1354,37.15645,37.043600000000005
25 min,26.045399999999987,27.7646,27.752239999999997
3 hr,26.06607222222223,27.657727777777776,27.651433333333333
3.5 hr,26.083052380952385,27.674433333333337,27.63852857142857
30 day,29.534666666666666,27.221999999999998,27.211666666666666
30 min,26.048333333333325,27.75116666666667,27.735699999999998
4 hr,26.070754166666667,27.673574999999996,27.650108333333336
4.5 hr,26.05606296296296,27.653529629629624,27.65901111111111
40 day,31.701625,28.372750000000003,28.0545
45 min,26.049888888888873,27.74271111111112,27.70237777777779
5 day,25.734,27.615999999999996,27.574
5 hr,26.052420000000005,27.643166666666662,27.674069999999997
5 min,26.123,27.808999999999997,27.79
5.5 hr,26.04749393939394,27.636909090909075,27.692881818181824
50 day,33.57749999999999,29.3085,29.002900000000004
50 min,26.051599999999976,27.74074000000001,27.694840000000013
55 min,26.050545454545432,27.739309090909096,27.686945454545462
6 hr,26.03428888888887,27.639461111111093,27.68563611111112
6.5 hr,26.014620512820507,27.64481025641023,27.661138461538474
60 day,34.084916666666665,31.251250000000002,30.67841666666667
70 day,34.25292857142857,32.4515,32.1395
80 day,34.4716875,32.87818750000001,32.67668750000001
90 day,35.115833333333335,33.13694444444445,32.952944444444455
Tomorrow,26.3,27.36,27.79
