,2018-12-20,2018-12-21,2018-12-26
1 hr,1.3641666666666663,1.4048333333333334,1.4011666666666662
1 min,1.33,1.47,1.4
1.5 hr,1.3513111111111105,1.403222222222223,1.3975555555555554
10 day,2.593,2.429,2.087
10 min,1.3285,1.422,1.4023
100 day,2.996499999999999,2.9853999999999985,2.961199999999999
125 day,2.9699999999999984,2.9590399999999986,2.9364799999999986
15 min,1.332,1.417,1.4015999999999997
150 day,3.012333333333333,2.997466666666666,2.9663333333333326
175 day,3.1041714285714272,3.0915428571428563,3.0647999999999995
2 day,1.48,1.395,1.3599999999999999
2 hr,1.346975,1.4038999999999995,1.391441666666667
2.5 hr,1.349533333333334,1.401966666666666,1.391413333333332
20 day,2.773,2.695,2.538
20 min,1.3384999999999998,1.4137499999999998,1.4026999999999998
200 day,3.191749999999999,3.1790499999999993,3.150449999999999
25 min,1.3433999999999997,1.4113999999999998,1.4043599999999998
3 hr,1.3538333333333339,1.40051111111111,1.3929499999999995
3.5 hr,1.3620857142857155,1.3966285714285707,1.3928761904761893
30 day,2.7893333333333334,2.7363333333333335,2.6319999999999997
30 min,1.3504999999999998,1.4096666666666664,1.4053999999999993
4 hr,1.3667749999999996,1.3946624999999986,1.3912333333333318
4.5 hr,1.3775592592592603,1.3967037037037022,1.3910666666666642
40 day,2.834250000000001,2.7992500000000007,2.71675
45 min,1.3635555555555552,1.4062222222222223,1.4064888888888882
5 day,2.084,1.7559999999999998,1.43
5 hr,1.392580000000001,1.3997199999999996,1.3878966666666648
5 min,1.3240000000000003,1.4400000000000002,1.4016000000000002
5.5 hr,1.4062575757575764,1.4004393939393935,1.3828909090909056
50 day,2.8764000000000003,2.8456000000000006,2.7758
50 min,1.3637999999999995,1.4050999999999996,1.4046399999999997
55 min,1.3648181818181815,1.4047272727272728,1.4028181818181815
6 hr,1.4201249999999999,1.3966388888888885,1.378188888888885
6.5 hr,1.4341948717948727,1.3972846153846155,1.3761871794871767
60 day,3.0090000000000003,2.971333333333334,2.8935
70 day,3.0568571428571425,3.0307142857142852,2.9778571428571423
80 day,3.0879999999999996,3.0708749999999996,3.025499999999999
90 day,3.04211111111111,3.02911111111111,3.002555555555555
