,2019-01-31
1 hr,4.053316666666666
1 min,4.12
1.5 hr,4.036466666666666
10 day,9.372
10 min,4.086999999999999
100 day,9.3709
125 day,9.301520000000002
15 min,4.083866666666666
150 day,9.781633333333332
175 day,9.783502857142855
2 day,3.885
2 hr,4.028316666666666
2.5 hr,4.02789333333333
20 day,10.046000000000001
20 min,4.07865
200 day,9.8365755
25 min,4.07752
3 hr,4.017044444444446
3.5 hr,4.005552380952383
30 day,9.826333333333334
30 min,4.071366666666666
4 hr,3.9943041666666677
4.5 hr,3.9966814814814815
40 day,10.1645
45 min,4.058888888888889
5 day,7.964
5 hr,4.0018266666666635
5 min,4.103999999999999
5.5 hr,4.005615151515147
50 day,10.266000000000002
50 min,4.05658
55 min,4.054581818181818
6 hr,4.007224999999995
6.5 hr,3.997948717948714
60 day,10.039333333333333
70 day,9.836857142857141
80 day,9.672625
90 day,9.510111111111112
Tomorrow,3.98
