,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-02-01,2019-02-07
1 hr,67.27291666666666,67.66213333333333,66.63138333333333,65.47731666666665,64.90880000000001,64.08534999999999,63.59148333333333,62.462199999999974,62.896300000000004,64.0047833333333,63.96626666666666,63.10161666666668,65.02713333333335,65.52873333333336,65.96584999999997,66.7624833333333,66.54828333333332,68.19251666666666,67.06821666666666,67.39691666666667,67.59889999999999,68.32246666666667,67.81658333333333,69.17043333333335,68.95846666666664
1 min,67.08,67.66,66.59,65.54,64.97,64.09,63.5,62.32,63.44,64.18,64.18,63.01,65.07,65.43,65.96,66.83,66.61,68.26,67.27,67.47,67.64,68.36,67.879,69.25,69.08
1.5 hr,67.25743333333334,67.6270111111111,66.62818888888889,65.56247777777776,64.92685555555559,64.35023333333334,63.6005444444444,62.556577777777754,62.74127777777778,63.9814222222222,64.0376111111111,63.15050000000003,65.03917777777778,65.50853333333336,65.95293333333329,66.73089999999996,66.54135555555555,68.18658888888888,67.06255555555556,67.36036666666669,67.57467777777774,68.32514444444443,67.80286666666665,69.16581111111108,68.95358888888885
10 day,68.06532,67.76707,67.46683,67.04571,66.53224,66.12496000000002,65.69140999999999,65.26765999999999,64.45487999999999,63.61317000000001,63.52900000000001,63.339,63.44,63.637,64.00199999999998,64.881,65.16900000000001,66.729,66.91600000000001,67.072,67.179,67.33000000000001,67.458,68.22900000000001,69.013
10 min,67.09049999999999,67.718,66.60260000000002,65.43499999999999,65.09870000000001,64.1835,63.402,62.36,63.2995,63.97080000000001,64.0586,63.073,65.05189999999999,65.5,65.9719,66.83099999999999,66.6115,68.174,67.106,67.407,67.6258,68.309,67.81530000000001,69.21490000000001,69.0418
100 day,70.910822,70.81015,70.745049,70.662806,70.583318,70.49701,70.40748,70.304067,70.10120900000001,69.83452,69.745545,69.647552,69.57828,69.51726900000001,69.45778800000001,69.365818,69.313038,69.047999,68.98606800000002,68.925441,68.861654,68.81170900000002,68.75934300000003,68.62354400000002,68.51855400000001
125 day,70.98868879999999,70.9053224,70.85840639999999,70.8074352,70.7548632,70.69937200000001,70.63638800000003,70.57188960000002,70.44709680000004,70.29414800000005,70.24563920000003,70.18436720000003,70.13505360000002,70.0833904,70.03437840000001,69.9568392,69.91382239999999,69.7183608,69.6799936,69.6400528,69.59536480000001,69.5591344,69.520888,69.40376720000002,69.30027600000001
15 min,67.118,67.73033333333335,66.57846666666667,65.39066666666666,65.1018,64.15299999999999,63.42533333333334,62.37773333333333,63.24699999999999,63.99346666666667,64.02173333333333,63.091,65.05693333333332,65.51933333333332,65.98060000000001,66.82766666666666,66.613,68.18366666666667,67.10346666666666,67.41666666666667,67.61220000000002,68.31433333333332,67.81106666666666,69.21660000000001,69.03686666666665
150 day,71.14369599999996,71.08225999999998,71.04068066666663,70.99171066666666,70.94671066666666,70.89355466666666,70.83725333333334,70.77458533333333,70.64389733333336,70.4886226666667,70.4471086666667,70.39218600000002,70.35334200000003,70.31226466666668,70.27157800000002,70.19687666666668,70.15882866666668,69.97986733333333,69.94766333333334,69.91868333333335,69.89379600000001,69.87278600000002,69.85221,69.80824733333334,69.79123266666667
175 day,71.07957828571423,71.04254342857138,71.02297657142852,70.99561885714283,70.9618634285714,70.92475771428568,70.8822114285714,70.83370399999998,70.7300297142857,70.60024114285714,70.56152114285715,70.52043714285713,70.49078285714285,70.4601657142857,70.43145142857142,70.38791885714286,70.36757085714285,70.26317599999997,70.23613257142857,70.20916457142856,70.18226628571428,70.16323771428571,70.13967542857142,70.0681977142857,70.028836
2 day,66.37389999999999,67.0923,66.52255,65.4821,64.96585,64.5,63.769999999999996,62.89,62.31,64.005,64.15,63.595,64.055,65.25999999999999,65.69999999999999,66.705,66.74000000000001,67.875,67.78,67.41499999999999,67.56,67.995,68.135,69.28,69.41499999999999
2 hr,67.15328333333335,67.60573333333336,66.65969999999997,65.60700833333334,64.99563333333336,64.53327499999999,63.5029083333333,62.62171666666667,62.658541666666665,63.98204166666666,64.061325,63.1833916666667,65.03499166666667,65.52005833333335,65.93904166666664,66.71384166666664,66.53880833333338,68.20323333333332,67.09272499999999,67.35979166666668,67.54907499999995,68.33728333333333,67.78214999999999,69.16544999999998,68.93525833333328
2.5 hr,67.08979333333336,67.62595333333333,66.67813999999996,65.65657333333331,65.04356666666669,64.74489333333335,63.50117999999998,62.68959333333335,62.587793333333344,64.00909333333333,64.09486000000001,63.20333333333338,65.04120000000003,65.54823333333333,65.91822666666667,66.6562333333333,66.53111333333335,68.2102466666666,67.11992666666664,67.34874666666666,67.52398666666664,68.3476333333333,67.77606000000002,69.18635999999996,68.94302666666661
20 day,67.98010500000001,67.85823,67.75171,67.56244999999998,67.36269000000001,67.16995,67.01114000000001,66.761615,66.2601,65.54,65.287355,64.93562,64.78247999999999,64.66420500000001,64.63483,64.66794,64.64284,65.08449999999999,65.2765,65.537,65.85900000000001,66.1055,66.3135,67.32050000000001,68.09599999999999
20 min,67.14370000000001,67.7245,66.57045000000001,65.37599999999998,65.0706,64.10040000000001,63.4765,62.35954999999999,63.21749999999999,64.02174999999998,63.989549999999994,63.09425,65.04495,65.5176,65.98230000000001,66.82999999999998,66.60999999999999,68.19595000000001,67.12910000000001,67.42045000000002,67.60265,68.31474999999998,67.81279999999998,69.21645000000002,69.03414999999998
200 day,71.07858049999999,71.03196449999997,71.00964949999997,70.98071299999998,70.94882499999999,70.91057499999998,70.86976999999999,70.821642,70.71612800000001,70.59070500000001,70.550504,70.508675,70.47640599999998,70.44579399999998,70.4260595,70.39816049999999,70.38481499999997,70.32341049999997,70.30714649999997,70.29761299999997,70.28686649999997,70.27443049999998,70.26121299999997,70.21552599999997,70.18123099999998
25 min,67.17852,67.6996,66.56992,65.37419999999997,65.04488,64.0898,63.5296,62.33231999999999,63.17959999999998,64.02539999999998,63.97484,63.1026,65.04147999999999,65.52268,65.99084,66.81955999999998,66.60423999999998,68.20196000000001,67.11168,67.41856000000003,67.60051999999997,68.30671999999998,67.81483999999998,69.21676000000002,69.01032000000001
3 hr,67.07690000000004,67.62103333333333,66.70769444444444,65.72012222222222,65.09948333333335,64.87647777777781,63.5153222222222,62.717083333333356,62.51037777777782,64.03604444444444,64.11462777777777,63.22508333333337,65.06076666666667,65.58044444444444,65.88940555555557,66.62636111111108,66.52826666666667,68.22186111111108,67.13136666666668,67.33048333333332,67.50024444444442,68.35008333333333,67.75532777777781,69.20297777777775,68.93549999999995
3.5 hr,67.07000952380957,67.6259380952381,66.73384285714285,65.78483333333332,65.14304761904762,64.99162380952386,63.53774761904759,62.745952380952396,62.46802857142859,64.04179047619047,64.10529047619046,63.26488571428574,65.06015714285714,65.59117619047618,65.86608571428575,66.6281619047619,66.54093809523812,68.23461428571426,67.16688571428573,67.31192857142855,67.49929523809521,68.35560000000001,67.73757142857143,69.21800476190471,68.91745238095235
30 day,68.28232333333335,68.29553666666668,68.22452333333335,68.08844333333334,67.95560000000002,67.78582,67.58746333333335,67.30683,66.80503,66.37219666666667,66.21796666666665,66.02145999999999,65.92663333333333,65.88642666666667,65.84174333333333,65.8004,65.75790333333335,65.43132,65.41480333333334,65.44722,65.49024333333334,65.55529333333335,65.58122666666667,65.99333333333334,66.91033333333333
30 min,67.22026666666667,67.69126666666668,66.57693333333333,65.37349999999996,65.02256666666669,64.08516666666667,63.558333333333344,62.340599999999995,63.13016666666666,64.03016666666664,63.95903333333334,63.11426666666667,65.03506666666667,65.52056666666667,65.99413333333334,66.81093333333332,66.58989999999999,68.20063333333334,67.10246666666667,67.41670000000002,67.59739999999998,68.29809999999998,67.8162333333333,69.21363333333335,68.99343333333334
