,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,246.44191666666666,247.71941666666672,230.67321666666666,221.72870000000003,226.22535000000002,224.63271666666665,219.45333333333335,209.15460000000013,219.69305,225.5049666666667,223.71203333333332,216.08825000000004,226.54291666666668,229.4062666666666,232.94386666666668,235.62486666666666,237.1362333333333,237.0246166666666,235.49571666666662,242.04258333333323,243.85931666666661,247.4381333333333,242.45033333333333,244.19191666666663,242.76486666666668,244.70993333333334,241.60405,238.17733333333337,242.36695000000003,246.4808666666667,247.5536666666666,254.8041,254.89250000000004,254.24171666666663,253.15783333333337,256.07401666666664,257.26806666666664,261.64565000000005,261.0353333333334,260.75991666666664,259.5865166666667
1 min,245.37,245.11,230.01,221.38,226.17,224.46,218.68,208.74,222.94,226.37,224.57,215.59,226.28,229.23,232.68,235.44,237.66,237.55,234.58,241.999,244.39,247.53,244.05,245.13,242.44,244.83,241.84,238.27,242.61,247.83,247.37,254.73,254.97,254.43,253.76,257.04,258.39,261.32,260.19,260.17,259.45
1.5 hr,246.33107777777772,247.4489777777778,231.0441222222222,222.21175555555564,226.2825777777777,225.4685333333333,219.25767777777781,209.6296444444445,219.1255555555556,225.46618888888892,224.1120777777778,216.33883333333333,226.63160000000002,229.36003333333332,232.8359,235.76632222222216,236.8743666666667,236.73499999999984,235.56352222222222,242.03737777777775,243.7974111111112,247.1967777777778,242.42914444444457,243.97134444444438,242.7711111111112,244.84964444444446,241.5496,238.20386666666673,242.3913000000001,246.75453333333337,247.51363333333333,254.93274444444458,254.91512222222232,253.9706333333332,253.1704000000001,256.03692222222224,257.11711111111117,261.6930333333334,261.04795555555563,260.90862222222216,259.63178888888893
10 day,246.058,247.388,245.36599999999999,242.41499999999996,239.507,237.38999999999996,234.192,231.272,225.14000000000001,220.228,220.54700000000003,219.49900000000002,219.65299999999996,220.71400000000003,223.102,226.12899999999996,227.61100000000002,228.85200000000003,229.99499999999998,233.34499999999997,236.215,238.34700000000004,239.80599999999998,241.052,241.76500000000001,242.48300000000003,242.913,243.28400000000002,243.31499999999997,243.902,244.2,244.923,246.01999999999998,246.94099999999997,248.05900000000003,249.26400000000004,250.91799999999998,253.228,254.984,256.216,257.42300000000006
10 min,245.5931,247.01400000000004,230.57940000000002,221.1045,227.23650000000004,225.53699999999998,218.06199999999998,208.92999999999998,221.89229999999998,224.9036,224.21510000000004,216.00680000000003,226.21099999999996,229.61139999999995,232.80889999999994,234.69100000000003,237.81419999999997,237.61860000000001,234.82389999999995,241.85680000000002,244.46869999999998,246.99739999999997,242.916,244.9321,242.7195,244.55300000000003,241.38580000000002,238.12709999999998,242.4825,246.848,247.66649999999998,254.46110000000004,254.425,254.41749999999996,253.53239999999997,256.2585,258.19500000000005,261.4909,260.3932,260.4615,259.581
100 day,252.58300000000006,252.46310000000005,252.0743,251.65640000000002,251.2989,250.9973,250.76059999999998,250.4018,249.68060000000003,248.8179,248.5253,248.14430000000002,247.8692,247.62640000000002,247.3927,247.2418,247.13060000000004,247.04910000000004,246.89710000000002,246.66980000000004,246.5438,246.40380000000002,246.21829999999997,246.03929999999997,245.78129999999993,245.5664999999999,245.34989999999993,245.06579999999994,244.9310999999999,244.8117999999999,244.6768999999999,244.5705999999999,244.44879999999986,244.31439999999986,244.16659999999985,243.98969999999986,243.89109999999982,243.7968999999998,243.7503999999998,243.68839999999983,243.67409999999978
125 day,251.92520000000007,251.82480000000007,251.58936000000008,251.34648000000007,251.14600000000002,250.95256000000003,250.75272,250.50568,250.09112000000002,249.67216,249.53264000000001,249.30480000000003,249.12880000000004,248.96472000000006,248.83712000000003,248.73560000000003,248.59880000000007,248.43048000000007,248.26952000000006,247.99928000000006,247.89304000000004,247.8128,247.68784,247.58903999999998,247.42415999999997,247.28831999999994,247.18463999999994,247.15223999999995,247.1361599999999,247.13463999999993,247.09591999999992,247.1075999999999,247.1132799999999,247.1209599999999,247.12023999999988,247.14583999999988,247.18335999999985,247.24599999999984,247.27943999999982,247.35639999999984,247.44087999999982
15 min,245.74406666666664,247.28493333333336,230.4386666666667,221.04346666666666,227.30913333333334,225.27413333333334,218.24266666666665,209.10766666666663,221.48426666666666,225.03740000000002,223.94660000000002,216.10466666666667,226.32813333333334,229.6188,232.83126666666664,234.7234666666667,237.76746666666668,237.57453333333333,234.89766666666668,241.88920000000002,244.45133333333334,247.0549333333333,242.91813333333332,244.89406666666667,242.63813333333331,244.56813333333332,241.43626666666668,238.14873333333333,242.51833333333335,246.71693333333332,247.68666666666664,254.38906666666668,254.41066666666669,254.47213333333332,253.54160000000002,256.1613333333333,257.8692,261.4855333333333,260.4201333333333,260.44526666666667,259.7029333333333
150 day,250.79226666666665,250.83099999999996,250.79799999999997,250.68473333333327,250.61526666666657,250.53033333333326,250.40899999999993,250.21373333333332,249.88853333333333,249.50113333333323,249.38366666666653,249.17233333333323,249.01839999999987,248.8713999999999,248.73366666666655,248.61853333333323,248.51066666666665,248.4442666666666,248.33326666666665,248.20473333333334,248.1265333333333,248.05593333333334,248.00279999999998,247.93246666666664,247.87126666666663,247.8293333333333,247.78279999999995,247.7470666666666,247.7669999999999,247.80413333333325,247.8687999999999,247.96833333333325,248.0417333333332,248.11566666666656,248.19386666666654,248.27933333333314,248.34733333333313,248.4246666666665,248.50199999999987,248.5821333333332,248.61266666666648
175 day,247.06994285714285,247.18708571428567,247.39239999999995,247.40502857142852,247.41445714285706,247.42028571428565,247.37279999999996,247.2856,247.11662857142855,247.0626285714285,247.05845714285704,247.0459428571428,247.09662857142845,247.13862857142846,247.2002285714284,247.279257142857,247.35748571428562,247.4514857142856,247.50011428571418,247.6418857142856,247.69811428571415,247.74251428571418,247.75794285714272,247.77657142857132,247.80051428571414,247.84822857142842,247.87371428571413,247.8818285714284,247.90799999999984,247.9635428571427,248.0126285714284,248.0745142857141,248.12977142857116,248.19142857142836,248.25742857142833,248.31228571428542,248.3643428571426,248.4218285714283,248.4611999999998,248.5037142857141,248.53514285714266
