,2018-12-26
1 hr,6.822033333333333
1 min,6.309
1.5 hr,6.882988888888891
10 day,3.8010000000000006
10 min,6.4834000000000005
100 day,2.736782999999999
125 day,3.236007999999999
15 min,6.442266666666667
150 day,3.606673333333332
175 day,3.356370857142856
2 day,5.63
2 hr,6.932450000000003
2.5 hr,6.883973333333336
20 day,3.121
20 min,6.44605
200 day,3.2381115
25 min,6.5193200000000004
3 hr,6.826494444444446
3.5 hr,6.774261904761906
30 day,2.545793333333332
30 min,6.587366666666666
4 hr,6.753537499999998
4.5 hr,6.771833333333334
40 day,2.348957499999999
45 min,6.730844444444442
5 day,4.454
5 hr,6.803046666666667
5 min,6.4744
5.5 hr,6.812681818181815
50 day,2.350767999999999
50 min,6.765559999999999
55 min,6.796599999999999
6 hr,6.822252777777778
6.5 hr,6.793241025641025
60 day,2.410521666666666
70 day,2.479947142857142
80 day,2.534254999999999
90 day,2.627703333333333
