,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,140.50536666666667,140.19164999999995,137.65991666666665,134.95175,132.50435000000002,130.07680000000002,130.1607,130.42155,126.16856666666668,125.96023333333336,130.59071666666665,129.72850000000005,126.61991666666674,130.8920333333333,130.90471666666662,130.97973333333337,131.32933333333332,132.21744999999999,131.5230333333333,131.13278333333338,133.20986666666667,132.63926666666666,134.9582166666667,132.54226666666668,134.3475,134.7034166666667,136.10771666666668,135.35786666666672,133.91493333333335,140.00163333333333,138.71123333333335,140.9296333333333,145.2432333333333,145.60116666666667,145.20680000000002,146.1257333333333,147.2581333333333,149.52259999999995,150.4576,148.3745666666667,149.45845000000003
1 min,139.99,139.604,138.24,134.81,132.54,130.0,130.32,130.31,125.17,127.77,131.18,130.14,126.18,131.23,130.53,131.3,131.37,132.51,131.65,130.86,132.76,132.93,135.22,133.27,134.42,134.72,136.43,135.48,133.98,139.36,139.83,141.63,145.29,145.54,145.69,146.85,147.51,149.47,150.49,148.14,149.66
1.5 hr,140.3382888888889,140.13633333333334,137.54830000000004,134.93189999999998,132.7963333333333,130.15886666666668,130.64378888888888,130.3171888888889,126.45568888888887,125.4906333333334,130.44735555555553,129.9107555555556,126.78595555555563,130.89545555555557,130.86452222222215,130.9206777777778,131.26318888888892,132.11046666666664,131.53794444444446,131.1567888888889,133.25781111111107,132.68021111111113,134.87619999999998,132.50707777777777,134.29634444444446,134.6643777777778,136.1175333333333,135.34385555555565,133.9005555555555,140.07326666666663,138.67757777777777,140.77944444444444,145.17066666666668,145.59845555555557,145.23980000000003,146.11228888888888,147.2139111111111,149.46664444444446,150.60193333333336,148.51906666666667,149.4329555555556
10 day,143.22972,142.65797,141.70108,140.68063,139.26907,137.6115,136.36478000000002,135.15682,133.83968,130.991,128.81900000000002,128.586,128.207,128.298,128.32199999999997,128.91500000000002,129.86200000000002,130.33800000000002,130.52999999999997,130.69699999999997,131.07999999999998,131.753,132.147,132.411,132.723,133.056,133.451,133.83599999999998,134.146,134.85399999999998,135.562,136.43,138.48700000000002,139.599,140.692,141.732,142.933,144.483,145.588,146.419,147.224
10 min,140.2285,139.7878,138.13680000000002,134.9025,132.1094,130.4593,130.6762,130.04559999999998,125.53450000000001,127.1979,130.5942,129.894,126.65,131.13510000000002,130.67,131.1935,131.072,132.4197,131.6015,130.94420000000002,132.7732,132.65820000000002,134.95300000000003,132.75420000000003,134.314,134.68099999999998,136.21149999999997,135.33200000000002,133.89860000000002,139.3708,139.3709,141.38250000000002,145.19610000000003,145.5015,145.4927,146.28349999999998,147.374,149.5377,150.2471,148.1755,149.63289999999998
100 day,142.31400700000012,142.3426840000001,142.3618990000001,142.3531530000001,142.3007180000001,142.2226920000001,142.1660770000001,142.13994000000008,142.05767600000007,141.92401200000006,141.78970200000006,141.72713000000005,141.61981500000005,141.55369500000003,141.47671400000002,141.39278600000006,141.30916700000003,141.23594800000004,141.14166400000005,141.04374000000004,140.86080100000004,140.77150000000003,140.70222300000003,140.612747,140.53349500000004,140.432603,140.356823,140.25947299999999,140.15642599999998,140.104213,140.045017,140.009065,139.988418,139.987707,139.983623,139.98546899999997,139.99849099999997,140.026243,140.069462,140.07058899999998,140.06901699999997
125 day,140.86098400000012,140.8642112000001,140.8647776000001,140.84289680000006,140.80530320000008,140.75436320000009,140.70273760000006,140.64382480000006,140.56502880000005,140.43909520000008,140.36703840000004,140.34991680000005,140.30095920000005,140.28820400000006,140.26739360000008,140.24126320000008,140.22084320000005,140.19187920000005,140.15770160000005,140.11926640000007,140.06380640000006,140.04216560000003,140.03630720000004,140.0114392,140.00124240000005,139.97753439999997,139.9663936,139.96246159999998,139.971232,140.0177408,140.0865328,140.1652896,140.34045200000006,140.41288160000005,140.48714400000006,140.56609200000003,140.64335600000004,140.73353120000002,140.81966880000004,140.88661360000003,140.96571840000001
15 min,140.30166666666668,139.8882,138.08786666666668,134.8432,132.03446666666665,130.45253333333332,130.55786666666665,130.0917333333333,125.644,127.00993333333334,130.62279999999998,129.796,126.70679999999999,131.12406666666666,130.77373333333333,131.15666666666667,131.06066666666666,132.40406666666667,131.58699999999996,130.9552666666667,132.79613333333333,132.6698,134.9404666666667,132.72613333333337,134.332,134.66346666666666,136.18606666666665,135.29800000000003,133.89339999999999,139.5092,139.21660000000003,141.33633333333333,145.2140666666667,145.51266666666663,145.45280000000002,146.20299999999997,147.343,149.5024666666667,150.20659999999998,148.218,149.65866666666665
150 day,138.9337666666668,139.0250260000001,139.11012133333344,139.17301133333342,139.22456733333343,139.25709666666677,139.28559000000007,139.31401333333343,139.3035973333334,139.27943733333342,139.31801933333338,139.33270800000005,139.31660133333338,139.33803266666672,139.33694066666672,139.33100400000006,139.32704933333338,139.31670200000002,139.3064306666667,139.2860793333334,139.249628,139.20995333333335,139.18864266666668,139.15558133333334,139.13468066666667,139.11855266666663,139.118836,139.1102813333333,139.08592066666662,139.1138573333333,139.15482133333327,139.22097933333328,139.37631733333333,139.45679866666669,139.54613066666667,139.642666,139.74050333333332,139.849628,139.955586,140.0501026666667,140.14069933333334
175 day,135.73987485714295,135.87616400000007,136.0046937142858,136.13534685714293,136.2484074285715,136.33908285714296,136.43350057142862,136.52949028571436,136.5973097142858,136.7027502857144,136.94445600000006,137.0292354285715,137.0959468571429,137.1892628571429,137.26732457142865,137.3430908571429,137.4296708571429,137.5181422857143,137.58364228571432,137.63900514285717,137.74191714285718,137.79391428571432,137.8515651428572,137.89576114285717,137.94738114285718,138.00460057142857,138.06911142857143,138.12307714285714,138.16863999999998,138.23994057142855,138.314092,138.4010034285714,138.5911348571429,138.68767371428572,138.78906400000002,138.8929725714286,139.0043137142857,139.11177771428572,139.21617485714287,139.30838514285716,139.39785885714286
