,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,134.32486666666668,138.24433333333334,135.52298333333337,131.4486,127.10108333333334,130.15878333333336,128.348,125.52133333333333,121.00368333333333,124.14174999999996,128.0864333333333,128.43786666666668,121.74539999999999,128.0195333333333,132.78251666666674,133.77359999999996,136.6538666666667,136.76593333333332,135.5731666666667,141.17744999999996,138.5783833333333,137.22629999999998,135.98011666666667,140.28218333333334,147.17649999999998,148.76404999999994,151.66060000000002,152.54003333333335,152.07728333333333,150.34659999999994,154.54718333333332,159.40384999999998,160.52016666666663,160.1722833333333,160.04108333333335
1 min,133.9,137.84,135.57,131.5,127.35,130.58,128.11,124.93,120.22,125.92,128.75,128.99,121.8,128.33,132.7,133.88,136.78,136.75,135.24,141.76,139.1,137.49,136.05,140.77,147.2,149.08,151.59,152.42,152.35,150.57,154.62,159.54,160.03,159.95,160.38
1.5 hr,134.35388888888886,138.08704444444444,135.43262222222225,131.50325555555554,127.2586222222222,130.11068888888894,129.21032222222226,125.33027777777774,121.33327777777781,123.8071444444444,128.11525555555562,128.73855555555556,121.8049666666666,128.0812555555555,132.66991111111116,133.73484444444446,136.6737666666667,136.68886666666666,135.67216666666667,141.0566333333333,138.7805666666666,137.10737777777774,136.00938888888888,140.20379999999994,147.3579222222222,148.7527222222222,151.78896666666668,152.54915555555556,151.9811888888889,150.34761111111104,154.54312222222225,159.37391111111108,160.63355555555552,160.21819999999994,160.16642222222222
10 day,140.28300000000002,140.046,139.28699999999998,137.882,136.159,134.415,133.244,131.72299999999998,130.496,128.03199999999998,125.87100000000001,126.04,125.167,125.18199999999999,125.96099999999998,127.31800000000001,129.163,130.241,133.28699999999998,136.097,136.731,137.093,137.02100000000002,137.961,140.704,141.96099999999998,142.94699999999997,144.283,145.762,147.21300000000002,149.816,151.754,153.15699999999998,154.43099999999998,155.55899999999997
10 min,134.00449999999998,138.03730000000002,135.60150000000002,131.43249999999998,127.1345,130.97350000000003,128.6048,124.70499999999997,120.774,125.3425,127.9,128.78249999999997,121.8826,128.17699999999996,132.90850000000003,133.7137,136.306,136.7885,135.36910000000003,141.201,138.4245,137.208,136.037,140.4818,147.03050000000002,148.89029999999997,151.5055,152.18249999999998,152.259,150.5359,154.518,159.4744,160.1275,160.04799999999997,159.95300000000003
100 day,139.8961,139.9308,139.94150000000002,139.9334,139.8476,139.792,139.7617,139.741,139.65959999999998,139.5187,139.33530000000002,139.28350000000003,139.1509,139.08520000000001,139.0785,139.0772,139.13440000000003,139.16420000000002,139.2056,139.05280000000002,138.89710000000002,138.70390000000003,138.50770000000003,138.25410000000002,138.0705,138.0695,138.0779,138.0934,138.1084,138.1002,138.2083,138.3158,138.43210000000002,138.49920000000003,138.57870000000003
125 day,138.91791999999998,138.91295999999997,138.89359999999994,138.81551999999996,138.70535999999996,138.62247999999997,138.54559999999995,138.45295999999996,138.37735999999995,138.26904000000002,138.18919999999997,138.16808,138.08048000000002,138.02584000000002,138.00784,138.00384000000003,138.04024,138.03424,137.99608,138.07136,138.10784,138.14928,138.15088,138.27528,138.68119999999996,138.82447999999997,138.98079999999996,139.12535999999997,139.26207999999997,139.39343999999997,139.70479999999998,139.914,140.12224000000003,140.35336000000004,140.56632000000005
15 min,134.099,138.11606666666668,135.59573333333336,131.3151333333333,127.01899999999998,131.0276666666667,128.5052,124.79533333333332,120.91380000000001,125.1112,127.95366666666668,128.6689333333333,121.88260000000001,128.11333333333332,132.94033333333334,133.69313333333332,136.3612666666667,136.815,135.35240000000002,141.17746666666662,138.46626666666666,137.25466666666665,136.0108666666667,140.46786666666668,146.98033333333333,148.86626666666663,151.507,152.18199999999996,152.26720000000003,150.54526666666663,154.51666666666668,159.46193333333335,160.16733333333332,160.06733333333332,159.95940000000004
150 day,138.34226666666663,138.35873333333328,138.35273333333325,138.32133333333326,138.27573333333328,138.23853333333327,138.18653333333324,138.1092666666666,137.98559999999992,137.7847333333333,137.59986666666663,137.59546666666665,137.54533333333333,137.53986666666668,137.53453333333334,137.52320000000003,137.52300000000002,137.51486666666668,137.51533333333336,137.53306666666666,137.5402,137.51506666666668,137.4818,137.50959999999998,137.75579999999997,137.89879999999997,138.0411333333333,138.1833333333333,138.31919999999994,138.44559999999996,138.7187333333333,138.8825333333333,139.0536,139.23839999999998,139.391
175 day,136.98765714285707,137.04645714285707,137.0895999999999,137.12245714285706,137.12074285714277,137.11417142857135,137.09811428571422,137.0567428571428,137.0060571428571,136.90291428571425,136.82839999999993,136.8271428571428,136.81668571428565,136.84131428571425,136.87411428571423,136.91542857142852,136.97754285714282,137.03268571428566,137.19714285714284,137.25514285714283,137.26994285714284,137.27725714285714,137.28834285714282,137.34982857142853,137.4659428571428,137.53657142857136,137.6067428571428,137.68388571428568,137.79548571428566,137.9151428571428,138.20319999999995,138.3518857142857,138.49165714285712,138.6238857142857,138.75199999999998
