,2019-01-24
1 hr,61.77231666666664
1 min,61.96
1.5 hr,61.58996666666663
10 day,62.693999999999996
10 min,61.90599999999999
100 day,67.72039999999998
125 day,67.09191999999999
15 min,61.89133333333333
150 day,65.8436
175 day,64.42880000000001
2 day,62.2
2 hr,61.46177499999997
2.5 hr,61.36955333333329
20 day,64.45000000000002
20 min,61.86464999999998
200 day,62.98095
25 min,61.85891999999997
3 hr,61.3069222222222
3.5 hr,61.31961904761907
30 day,66.03100000000002
30 min,61.85943333333331
4 hr,61.34304166666672
4.5 hr,61.335851851851935
40 day,68.06475
45 min,61.82728888888887
5 day,62.903999999999996
5 hr,61.318026666666725
5 min,61.902
5.5 hr,61.30385757575765
50 day,68.4944
50 min,61.81927999999998
55 min,61.79779999999998
6 hr,61.30898055555566
6.5 hr,61.35311025641036
60 day,68.32983333333333
70 day,67.60942857142857
80 day,67.48737499999999
90 day,67.80877777777776
Tomorrow,62.41
