,2019-02-04
1 hr,3.5971666666666717
1 min,3.57
1.5 hr,3.6021666666666734
10 day,3.4720000000000004
10 min,3.5730000000000004
100 day,2.385049999999999
125 day,2.2918799999999995
15 min,3.5708666666666677
150 day,2.2586333333333326
175 day,2.3512285714285714
2 day,3.51
2 hr,3.605341666666674
2.5 hr,3.6077600000000074
20 day,3.4025
20 min,3.573200000000001
200 day,2.4944750000000004
25 min,3.5757600000000003
3 hr,3.606744444444454
3.5 hr,3.6055904761904873
30 day,3.0983333333333336
30 min,3.5806333333333336
4 hr,3.604425000000013
4.5 hr,3.6026851851852
40 day,2.9252499999999997
45 min,3.5927777777777807
5 day,3.4480000000000004
5 hr,3.6013100000000113
5 min,3.5729999999999995
5.5 hr,3.6003969696969755
50 day,2.7986
50 min,3.5946000000000033
55 min,3.596000000000004
6 hr,3.5956583333333354
6.5 hr,3.587092307692311
60 day,2.6726666666666667
70 day,2.5392142857142854
80 day,2.467187499999999
90 day,2.4303888888888876
Tomorrow,3.41
