,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,17.952683333333347,17.775999999999993,17.86101666666667,18.021599999999996,17.72751666666666,17.703449999999997,17.45865,17.46766666666667,17.56586666666667,17.529899999999998,17.61711666666667,17.87148333333333,17.954916666666673,18.002299999999995,17.826450000000015,17.817100000000018,17.749100000000002,17.95236666666668,17.935033333333326,17.97055000000001,17.98095000000001,17.984950000000012,17.908916666666656,17.98945000000001,18.010066666666663,18.085033333333346,18.062666666666658,18.101083333333342,17.949283333333348,17.83825000000001,17.71051666666668,17.752516666666665,17.818900000000003,17.79279999999999,17.79763333333332,17.83543333333334,17.731250000000006,17.730750000000004,17.659566666666652
1 min,17.91,17.73,17.86,18.015,17.66,17.76,17.45,17.45,17.66,17.534,17.63,17.85,17.93,17.93,17.81,17.78,17.76,17.945,17.94,17.98,17.99,18.02,17.93,18.0,18.0,18.12,18.06,18.11,17.93,17.91,17.76,17.79,17.84,17.81,17.81,17.82,17.73,17.7,17.64
1.5 hr,17.956866666666677,17.773622222222226,17.853799999999993,18.012333333333334,17.754411111111104,17.69096666666667,17.45273333333334,17.500155555555548,17.539333333333328,17.53393333333334,17.624922222222246,17.87508888888889,17.95287777777779,18.01346666666666,17.82598888888889,17.836555555555574,17.75146666666667,17.951277777777786,17.937188888888898,17.967133333333337,17.982944444444442,17.98936666666667,17.90274444444445,17.982311111111105,18.007388888888894,18.08244444444444,18.059966666666657,18.09441111111111,17.964244444444443,17.842777777777755,17.711144444444447,17.741277777777768,17.81207777777779,17.783988888888885,17.793566666666667,17.846622222222223,17.729633333333336,17.736044444444442,17.664477777777776
10 day,17.374950000000002,17.411,17.43942,17.467840000000002,17.46392,17.46,17.425689999999996,17.388439999999996,17.30317,17.28842,17.30309,17.33073,17.37217,17.43811,17.490199999999998,17.56188,17.58746,17.63201,17.6726,17.70725,17.72111,17.72804,17.72903,17.74982,17.7716,17.80724,17.824070000000003,17.839910000000003,17.85675,17.86762,17.86151,17.86424,17.866139999999998,17.855050000000002,17.847,17.836999999999996,17.816,17.794,17.78
10 min,17.913,17.739799999999995,17.8615,18.037,17.665,17.7505,17.429999999999996,17.438,17.654,17.5289,17.610500000000002,17.863,17.957,17.961999999999996,17.814500000000002,17.779500000000002,17.7475,17.944999999999997,17.943500000000004,17.982499999999998,17.995000000000005,17.997500000000002,17.928499999999996,18.006099999999996,18.008,18.104,18.061,18.095000000000002,17.927300000000002,17.8559,17.749499999999998,17.7679,17.8375,17.794,17.801,17.811,17.73,17.703,17.6385
100 day,17.654451999999996,17.64877,17.645487,17.643206999999997,17.636559,17.62977,17.607491999999993,17.595034999999992,17.578328999999993,17.565502999999993,17.56213199999999,17.56009599999999,17.558757999999997,17.556943999999998,17.554784999999995,17.55149099999999,17.547710999999996,17.538418999999994,17.533504999999995,17.529735999999993,17.526069999999994,17.522502999999997,17.518337999999996,17.514582999999995,17.510827999999997,17.508161999999995,17.506042999999995,17.504228999999995,17.501753999999995,17.498407999999994,17.494227999999993,17.48610699999999,17.485395999999987,17.48205099999999,17.480458999999993,17.480212999999992,17.479537999999994,17.477891999999994,17.474309999999996
125 day,17.648936000000003,17.647405600000003,17.647712,17.6488992,17.646893600000002,17.6460424,17.641950399999995,17.63896319999999,17.63588399999999,17.635492799999998,17.6335888,17.632833599999998,17.632488000000002,17.6324368,17.631057599999995,17.629075999999994,17.627603999999994,17.626746399999995,17.625957599999996,17.6261528,17.6258344,17.6249232,17.6242792,17.623815999999998,17.622680799999998,17.621519999999997,17.619062399999997,17.614663999999998,17.6114008,17.6119688,17.609603199999995,17.606802399999992,17.607870399999992,17.607726399999994,17.60696239999999,17.60613679999999,17.60526479999999,17.60324399999999,17.600511999999988
15 min,17.915000000000003,17.7502,17.862000000000005,18.033666666666665,17.660866666666664,17.748533333333334,17.437999999999995,17.430666666666664,17.64966666666667,17.532333333333334,17.6098,17.867866666666664,17.961,17.978999999999996,17.824333333333335,17.783666666666665,17.74233333333333,17.942999999999998,17.94066666666667,17.98033333333333,17.992000000000004,18.0,17.922666666666665,18.0064,18.009666666666664,18.102666666666664,18.062666666666665,18.094,17.928533333333338,17.849666666666668,17.742666666666665,17.76693333333333,17.830666666666666,17.794666666666668,17.799666666666667,17.81066666666667,17.734333333333336,17.70973333333333,17.646666666666665
150 day,17.613284,17.614329333333334,17.615007333333335,17.616726,17.616276000000003,17.617089999999994,17.61635733333333,17.615023333333326,17.609861333333328,17.610122,17.609428666666673,17.608589333333338,17.610990000000005,17.61295466666667,17.614,17.615040666666665,17.616192000000005,17.61925,17.620854,17.622964000000003,17.626007333333337,17.62776066666667,17.629668000000002,17.631791333333336,17.633606000000007,17.636455333333338,17.63915466666667,17.642184000000004,17.645280000000007,17.648731333333338,17.652353333333334,17.657339333333333,17.659133999999998,17.66040266666667,17.66037,17.660848666666663,17.660411999999997,17.65927266666666,17.658289333333325
175 day,17.54674685714286,17.54784514285715,17.55019371428572,17.552864000000003,17.553933142857147,17.556236000000002,17.55902457142857,17.560265142857137,17.561302857142856,17.56974,17.572062285714285,17.575322857142858,17.578621142857145,17.581085142857145,17.58239485714286,17.584014285714286,17.585778285714287,17.591901714285715,17.593745714285717,17.595288571428572,17.598724,17.602216000000002,17.604213142857144,17.60665828571429,17.609260571428575,17.613008571428573,17.616365142857145,17.62021371428572,17.623857714285723,17.626231428571437,17.627695428571432,17.631927428571434,17.634010285714286,17.635683428571436,17.637960000000003,17.64009085714286,17.64159771428572,17.642928571428573,17.644124
