,2019-01-16,2019-01-17
1 hr,23.568266666666663,22.93985
1 min,23.48,22.6
1.5 hr,23.60534444444445,22.978488888888887
10 day,24.857000000000003,24.762999999999998
10 min,23.5135,22.722699999999996
100 day,26.2223,26.1723
125 day,26.733679999999996,26.68064
15 min,23.519,22.78513333333333
150 day,27.06133333333333,27.010799999999996
175 day,27.656799999999997,27.608914285714288
2 day,23.6,23.04
2 hr,23.627683333333323,22.97153333333332
2.5 hr,23.65755999999999,22.967006666666645
20 day,24.094,24.125999999999998
20 min,23.520249999999997,22.835350000000002
200 day,28.07014999999999,28.040049999999994
25 min,23.524599999999996,22.866280000000003
3 hr,23.68958333333334,22.975638888888877
3.5 hr,23.703057142857148,22.98365714285714
30 day,23.742333333333328,23.700666666666667
30 min,23.53616666666666,22.887633333333333
4 hr,23.690345833333335,22.976366666666653
4.5 hr,23.697877777777784,22.9764222222222
40 day,24.157999999999994,23.982749999999996
45 min,23.560577777777777,22.922533333333337
5 day,24.7,23.948
5 hr,23.708690000000004,22.982469999999985
5 min,23.480999999999998,22.6724
5.5 hr,23.727839393939398,22.989827272727254
50 day,25.239999999999995,25.092599999999997
50 min,23.560719999999993,22.928060000000002
55 min,23.562472727272713,22.93369090909091
6 hr,23.772083333333345,23.00368333333332
6.5 hr,23.77594871794873,23.038630769230757
60 day,25.5585,25.480500000000003
70 day,25.711714285714287,25.662428571428578
80 day,25.853250000000003,25.795750000000005
90 day,26.069111111111113,26.028555555555556
Tomorrow,22.61,22.9
