,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-28,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,68.39139999999999,66.7962,65.41586666666667,64.26971666666668,64.18175000000001,62.90685,62.508933333333296,60.41864999999998,60.71935000000003,58.81890000000002,57.80176666666668,59.60794999999999,61.404916666666665,62.14286666666666,63.20359999999998,63.0198833333333,63.831183333333335,64.86181666666666,65.70565,64.29475000000001,64.54221666666668,64.86166666666665,68.21020000000004,67.6081,66.43260000000001,68.13325000000002,69.55443333333334,70.48245000000001,70.798,70.10306666666666
1 min,68.03,67.26,65.06,64.25,64.34,63.01,62.31,60.97,61.14,59.01,57.7,59.33,61.24,62.46,63.26,63.14,63.82,64.84,65.82,64.34,64.57,65.0,68.17,67.52,66.56,68.51,69.34,70.37,70.8,70.08
1.5 hr,68.38732222222221,66.74633333333337,65.4675,64.32945555555555,64.12892222222223,63.171099999999974,62.4474444444444,60.27923333333334,60.712155555555604,58.91974444444448,57.86042222222221,59.694244444444436,61.33197777777774,62.14115555555554,63.20238888888885,62.993233333333286,63.85463333333334,64.85615555555555,65.6831666666667,64.26848888888887,64.56066666666668,64.81661111111109,68.1898555555556,67.63660000000002,66.4252222222222,68.06390000000005,69.5706888888889,70.5559888888889,70.72456666666668,70.13884444444444
10 day,68.381,68.14599999999999,67.845,67.391,66.80199999999999,66.23299999999999,65.56099999999999,63.33699999999999,61.677,61.157000000000004,60.492,60.128,60.02199999999999,60.287,60.78000000000001,60.99499999999999,62.021,62.733999999999995,63.375,63.891999999999996,64.023,64.444,65.405,65.721,65.923,66.439,66.955,67.523,68.091,68.54799999999999
10 min,68.1405,67.04079999999999,65.27950000000001,64.2045,64.44980000000001,63.15250000000001,62.277499999999996,60.84150000000002,60.7688,58.930899999999994,57.7462,59.464,61.3005,62.32950000000001,63.1776,63.1105,63.83720000000001,64.81219999999999,65.636,64.3155,64.54830000000001,64.862,68.138,67.558,66.5385,68.39359999999999,69.44590000000001,70.385,70.855,70.06300000000002
100 day,71.00969999999997,70.88469999999997,70.74349999999997,70.58429999999997,70.42049999999996,70.25429999999997,70.12439999999997,69.70379999999996,69.28559999999996,69.10949999999997,68.91809999999995,68.76529999999995,68.65769999999996,68.56019999999995,68.47589999999997,68.39329999999997,68.02539999999998,67.94299999999997,67.86689999999997,67.66589999999998,67.55929999999998,67.36519999999997,66.8034,66.7184,66.6227,66.4779,66.4279,66.3942,66.3603,66.3262
125 day,72.29079999999993,72.17303999999993,72.03319999999995,71.89343999999994,71.74983999999994,71.60047999999995,71.45631999999995,71.08255999999996,70.79159999999995,70.66983999999995,70.53671999999995,70.41039999999995,70.29047999999997,70.18343999999996,70.07759999999996,69.96127999999996,69.49167999999995,69.38439999999994,69.27943999999994,69.03855999999995,68.91407999999996,68.67463999999998,68.26103999999998,68.19575999999999,68.11551999999999,67.98831999999999,67.96695999999999,67.95231999999999,67.94503999999999,67.93464
15 min,68.205,66.99186666666667,65.288,64.1758,64.46326666666667,63.09666666666667,62.332333333333345,60.793800000000005,60.77760000000001,58.88859999999999,57.76286666666667,59.4918,61.35900000000001,62.30166666666667,63.17639999999999,63.08566666666666,63.833800000000004,64.8098,65.60319999999999,64.30433333333332,64.5414,64.844,68.169,67.57066666666668,66.52373333333334,68.36173333333333,69.4486,70.42333333333333,70.86166666666668,70.10173333333334
150 day,73.11746666666662,73.05673333333327,72.98206666666663,72.89886666666662,72.8192666666666,72.74213333333329,72.65019999999994,72.32299999999995,72.00813333333326,71.8960666666666,71.77353333333326,71.6668666666666,71.56846666666662,71.47099999999995,71.36613333333328,71.26693333333328,70.84333333333328,70.7358666666666,70.63539999999992,70.3974666666666,70.28339999999993,70.05973333333328,69.67859999999997,69.63239999999998,69.58146666666666,69.48873333333331,69.44273333333332,69.40633333333332,69.36826666666667,69.31773333333334
175 day,72.9464571428571,72.9176571428571,72.89342857142853,72.85771428571425,72.81119999999996,72.76222857142854,72.7072571428571,72.49897142857138,72.31137142857139,72.23902857142853,72.16319999999996,72.0980571428571,72.03925714285711,71.98982857142853,71.94188571428568,71.89782857142852,71.69679999999994,71.6462285714285,71.58045714285709,71.44445714285709,71.37519999999994,71.25839999999994,70.89217142857139,70.84074285714283,70.78799999999997,70.6973714285714,70.65925714285711,70.62097142857141,70.57405714285713,70.52879999999999
