,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-31,2019-01-02
1 hr,4.394899999999999,4.097649999999999,4.020899999999999,3.7787166666666656,3.6577666666666677,3.376883333333336,3.42065
1 min,4.42,4.11,4.04,3.775,3.626,3.38,3.48
1.5 hr,4.422644444444446,4.106699999999999,4.028611111111113,3.8014888888888883,3.6606444444444466,3.366211111111113,3.4360333333333326
10 day,5.204,4.929,4.65,4.3790000000000004,4.182,3.636,3.5730000000000004
10 min,4.3965000000000005,4.101000000000001,4.023999999999999,3.778,3.6110999999999995,3.3850000000000002,3.4606000000000003
100 day,10.933949999999998,10.800149999999999,10.664549999999998,10.51995,10.37305,9.462849999999998,9.308649999999998
125 day,12.139799999999994,12.045479999999994,11.952839999999995,11.856919999999995,11.757639999999993,11.147319999999993,11.038279999999995
15 min,4.384666666666667,4.091333333333334,4.021333333333332,3.7743333333333338,3.6234000000000006,3.3836666666666675,3.4514000000000005
150 day,12.502833333333326,12.435233333333327,12.367766666666661,12.299299999999993,12.228499999999993,11.810499999999992,11.73816666666666
175 day,12.920485714285704,12.840828571428561,12.758714285714277,12.676028571428562,12.592599999999992,12.05728571428571,12.002599999999994
2 day,4.47,4.265000000000001,4.075,3.9050000000000002,3.6950000000000003,3.42,3.435
2 hr,4.442666666666668,4.112408333333332,4.034183333333335,3.820316666666666,3.6491750000000014,3.358491666666667,3.4363583333333327
2.5 hr,4.455513333333332,4.120606666666661,4.048360000000003,3.838679999999997,3.6510199999999986,3.3592200000000014,3.439446666666665
20 day,6.080500000000001,5.938500000000001,5.798000000000001,5.647500000000002,5.4905,4.42,4.251
20 min,4.380000000000001,4.088500000000001,4.019199999999999,3.7695000000000007,3.635050000000001,3.3832500000000003,3.446200000000001
200 day,13.646574999999986,13.572274999999989,13.502824999999989,13.429624999999989,13.356324999999988,12.89522499999999,12.818724999999988
25 min,4.3774,4.087479999999999,4.018959999999998,3.7712000000000008,3.643440000000002,3.3852,3.4439600000000015
3 hr,4.467149999999996,4.1255444444444365,4.059516666666671,3.8565111111111094,3.6531833333333315,3.365833333333331,3.4378944444444395
3.5 hr,4.480219047619042,4.121699999999996,4.072699999999999,3.8753285714285712,3.6599857142857144,3.3730952380952313,3.4367761904761855
30 day,6.385833333333335,6.2825000000000015,6.174666666666668,6.054000000000002,5.925000000000001,5.265666666666665,5.15
30 min,4.377833333333333,4.088233333333332,4.018799999999998,3.7718333333333334,3.6507000000000014,3.3858333333333337,3.439133333333335
4 hr,4.485508333333324,4.128308333333331,4.083791666666662,3.893562499999997,3.673237499999998,3.376229166666658,3.4271749999999956
4.5 hr,4.495955555555546,4.142103703703702,4.0930370370370355,3.9076999999999966,3.6839999999999966,3.3749999999999933,3.418359259259257
40 day,6.448875000000001,6.376625000000001,6.301875000000001,6.2311250000000005,6.159875,5.698375,5.605125
45 min,4.383777777777778,4.0932,4.021088888888888,3.7760666666666656,3.6578,3.380911111111112,3.42268888888889
5 day,4.404,4.3340000000000005,4.284000000000001,4.172000000000001,3.992,3.474,3.47
5 hr,4.505153333333318,4.1561766666666635,4.098116666666673,3.9169966666666642,3.6985799999999935,3.3665533333333246,3.4063499999999967
5 min,4.415,4.107,4.031000000000001,3.783,3.6082,3.386,3.4659999999999997
5.5 hr,4.5135272727272575,4.162848484848481,4.103375757575768,3.9222999999999972,3.713733333333329,3.3567181818181746,3.3909181818181766
50 day,6.434099999999998,6.397299999999999,6.358899999999998,6.307899999999998,6.251099999999999,5.8863,5.8159
50 min,4.3873,4.096480000000001,4.02098,3.7786599999999995,3.65912,3.3795600000000015,3.4198800000000005
55 min,4.390090909090909,4.097345454545454,4.020618181818181,3.779236363636363,3.658654545454546,3.3785090909090925,3.4188545454545456
6 hr,4.519211111111092,4.170341666666664,4.108219444444457,3.93601666666666,3.7261027777777707,3.3542694444444336,3.3743416666666635
6.5 hr,4.518646153846136,4.18507692307692,4.115033333333348,3.9479564102564026,3.732771794871785,3.3512179487179385,3.367582051282046
60 day,7.1637499999999985,7.011916666666665,6.858916666666664,6.704916666666664,6.551249999999998,5.967749999999998,5.9265833333333315
70 day,8.120499999999998,7.968214285714286,7.814642857142857,7.668357142857142,7.525928571428571,6.659785714285713,6.520642857142856
80 day,9.013187499999997,8.838187499999998,8.702062499999998,8.567562499999998,8.440187499999999,7.559937499999999,7.4188125
90 day,10.110277777777775,9.945944444444443,9.78172222222222,9.617055555555552,9.449277777777775,8.41572222222222,8.253166666666665
Tomorrow,4.11,4.04,3.77,3.62,3.45,3.48,3.66
