,2018-12-12,2018-12-13
1 hr,5.541666666666665,5.338666666666668
1 min,5.54,5.32
1.5 hr,5.552666666666662,5.33
10 day,5.225,5.2490000000000006
10 min,5.5379999999999985,5.351
100 day,6.505700000000001,6.47145
125 day,6.796880000000001,6.78792
15 min,5.531999999999999,5.354
150 day,6.7641333333333336,6.760133333333333
175 day,6.552857142857142,6.55142857142857
2 day,5.46,5.425000000000001
2 hr,5.557500000000004,5.323199999999991
2.5 hr,5.5575333333333345,5.319293333333325
20 day,5.040000000000001,5.0555
20 min,5.528499999999999,5.3545
200 day,6.5018499999999975,6.499649999999997
25 min,5.53,5.351200000000001
3 hr,5.558644444444442,5.315355555555545
3.5 hr,5.552747619047616,5.3116380952380835
30 day,4.804999999999999,4.863333333333332
30 min,5.531333333333333,5.346666666666667
4 hr,5.544716666666664,5.306349999999987
4.5 hr,5.539340740740739,5.2994037037036925
40 day,4.693250000000001,4.680750000000001
45 min,5.53311111111111,5.343555555555559
5 day,5.37,5.404000000000001
5 hr,5.537556666666664,5.298119999999988
5 min,5.538,5.348
5.5 hr,5.533142424242422,5.306121212121204
50 day,5.0754,5.0338
50 min,5.535999999999999,5.342200000000003
55 min,5.538181818181817,5.340545454545456
6 hr,5.528061111111112,5.316016666666661
6.5 hr,5.517720512820516,5.32765897435897
60 day,5.584500000000001,5.539
70 day,5.940857142857144,5.898285714285715
80 day,6.166375,6.142499999999999
90 day,6.31338888888889,6.287500000000001
Tomorrow,5.32,5.36
