,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,20.06958333333334,20.619400000000002,19.939750000000004,19.902399999999997,18.745283333333326,19.41091666666666,18.233900000000002,18.014283333333324,17.54273333333333,18.42246666666666,18.76734999999999,17.084283333333335,18.93645,20.579733333333348,20.665933333333328,20.252066666666664,19.686616666666676,20.27904999999999,20.3813,19.84668333333334,20.252866666666666,20.761266666666657,19.77929999999999,19.718850000000007,20.849183333333336,21.932533333333346,19.232333333333333,22.893466666666658,24.394550000000002,24.381950000000014,24.231166666666656,23.264900000000008,23.296516666666655,22.523066666666676,23.11121666666667,22.90518333333333,22.824466666666652,23.00718333333334,23.106099999999994,23.690366666666662
1 min,19.981,20.49,19.86,19.89,18.83,19.51,18.17,17.95,17.89,18.46,18.83,17.05,19.0,20.57,20.75,20.18,19.74,20.27,20.23,19.72,20.255,20.76,19.77,19.79,20.85,21.92,19.24,23.12,24.44,24.51,24.12,23.29,23.26,22.67,23.06,22.95,22.813,22.85,23.13,23.68
1.5 hr,20.066188888888888,20.61760000000001,19.968455555555554,19.919377777777783,18.793911111111107,19.425255555555562,18.451355555555548,17.979199999999995,17.432944444444452,18.40023333333333,18.82017777777778,17.10348888888888,18.950444444444454,20.548055555555568,20.650144444444432,20.269499999999997,19.6183,20.278222222222215,20.377911111111114,19.87753333333334,20.236155555555563,20.744988888888887,19.800155555555538,19.69862222222224,20.861655555555558,21.902177777777784,19.21814444444444,22.860044444444444,24.50212222222222,24.393311111111124,24.277355555555552,23.27624444444444,23.297933333333326,22.54077777777778,23.136177777777785,22.88479999999999,22.83004444444442,23.069788888888905,23.128855555555564,23.706988888888887
10 day,21.068000000000005,21.011000000000003,20.863000000000003,20.71,20.463,20.042000000000005,19.746000000000002,19.410000000000004,18.615000000000002,17.968,17.968,17.723,17.807,18.07,18.452,18.806,18.990000000000002,19.268000000000004,19.509,19.791,20.110999999999997,20.288,20.207,20.112000000000002,20.178000000000004,20.397,20.29,20.561,21.029000000000003,21.455000000000002,21.791,22.146,22.492,22.674000000000003,22.786,23.064,23.421,23.397,23.269,23.186
10 min,20.022100000000002,20.5365,19.862099999999998,19.8724,18.7469,19.4797,18.192500000000003,17.9101,17.805,18.389599999999994,18.8179,17.0993,18.945299999999996,20.5686,20.719,20.1511,19.7689,20.265800000000002,20.296999999999997,19.7621,20.2661,20.698900000000002,19.745499999999996,19.7649,20.822899999999997,21.9106,19.2612,22.986,24.4145,24.048499999999997,24.0936,23.2545,23.2553,22.6355,23.0337,22.924100000000003,22.811799999999998,22.8347,23.132499999999997,23.672800000000002
100 day,23.3273,23.367099999999997,23.399100000000004,23.4362,23.463999999999995,23.475499999999997,23.467699999999994,23.452899999999996,23.411699999999996,23.374600000000004,23.367100000000004,23.346600000000002,23.346000000000004,23.354400000000002,23.3617,23.366600000000002,23.370700000000006,23.375700000000005,23.378200000000007,23.366300000000006,23.345900000000007,23.313800000000004,23.2588,23.206300000000002,23.1628,23.133200000000002,22.9952,22.940999999999995,22.90669999999999,22.87799999999999,22.820399999999992,22.75249999999999,22.662999999999993,22.584899999999994,22.488199999999996,22.3935,22.302400000000002,22.2188,22.138300000000005,22.0649
125 day,21.874080000000003,21.907919999999997,21.93608,21.958399999999997,21.975519999999996,21.999359999999996,22.019439999999996,22.036559999999994,22.083759999999995,22.15024,22.180880000000002,22.193279999999998,22.214399999999998,22.246079999999996,22.279679999999992,22.311039999999995,22.336479999999995,22.368479999999995,22.397679999999998,22.4488,22.47712,22.51128,22.53608,22.56496,22.60336,22.631999999999998,22.640559999999994,22.67863999999999,22.726079999999993,22.77183999999999,22.81695999999999,22.847999999999992,22.877599999999994,22.902319999999996,22.933919999999997,22.96512,22.98984,23.01248,23.039920000000002,23.074720000000003
15 min,20.049400000000002,20.55733333333333,19.87506666666667,19.858266666666665,18.733266666666665,19.4992,18.165866666666666,17.936066666666665,17.762866666666664,18.391733333333327,18.810133333333336,17.115000000000002,18.9362,20.5636,20.721000000000004,20.162066666666668,19.767466666666664,20.273533333333337,20.31973333333333,19.767266666666668,20.28106666666667,20.712400000000002,19.74899999999999,19.764133333333334,20.813066666666664,21.91766666666667,19.2788,22.967,24.421000000000003,24.18133333333333,24.093866666666663,23.272000000000002,23.266066666666674,22.624333333333333,23.045666666666662,22.923400000000008,22.811733333333333,22.815399999999997,23.128533333333333,23.681466666666665
150 day,20.522333333333332,20.579199999999997,20.630733333333335,20.683733333333333,20.727733333333333,20.774733333333334,20.810333333333332,20.844466666666666,20.927866666666667,21.019333333333336,21.0558,21.077333333333332,21.112466666666666,21.153599999999997,21.19293333333333,21.22853333333333,21.255666666666666,21.291533333333334,21.324733333333334,21.381600000000002,21.4078,21.437933333333334,21.46073333333333,21.478666666666665,21.506399999999996,21.542466666666662,21.59566666666666,21.648866666666656,21.708266666666656,21.771866666666657,21.83066666666666,21.886133333333326,21.94013333333333,21.99126666666666,22.041599999999995,22.085599999999996,22.126999999999995,22.168999999999993,22.214733333333328,22.262199999999993
175 day,19.077371428571432,19.13857142857143,19.194800000000004,19.253600000000002,19.306742857142858,19.36114285714286,19.4088,19.453714285714288,19.57337142857143,19.706571428571433,19.756800000000002,19.79657142857143,19.849657142857144,19.904114285714286,19.9592,20.0124,20.0616,20.114742857142858,20.167885714285713,20.2664,20.315771428571427,20.366171428571427,20.409771428571425,20.45462857142857,20.503885714285712,20.55805714285714,20.63685714285714,20.69451428571428,20.759771428571423,20.825657142857136,20.88868571428571,20.945257142857137,21.000799999999998,21.053999999999995,21.106742857142855,21.15948571428571,21.207599999999996,21.253314285714282,21.300628571428568,21.346399999999996
