,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,1650.2419333333337,1674.9419666666665,1652.484133333334,1515.943083333333,1540.8670000000004,1499.6242499999998,1464.0880500000007,1453.1137166666667,1538.1936333333335,1503.2707500000004,1573.8320500000002,1629.4885833333344,1656.4636666666665,1661.2604500000002,1655.8255666666666,1642.17045,1622.972666666667,1692.8571666666662,1696.4011333333326,1622.0687833333336,1649.3919833333334,1670.9947166666675,1594.2393333333337,1668.802533333333,1716.6737333333335,1658.7501333333325,1637.452383333333,1609.2840333333334,1584.5097333333333,1590.8585333333338,1635.199266666667,1645.1828666666665,1624.2417999999998,1607.058733333333
1 min,1643.16,1663.53,1657.83,1522.13,1551.44,1495.08,1460.83,1470.82,1539.13,1500.01,1575.85,1629.33,1656.35,1659.93,1656.15,1640.5,1617.4,1693.0,1696.2,1634.495,1654.91,1672.05,1593.83,1670.99,1718.74,1659.06,1640.89,1614.37,1588.22,1591.53,1638.01,1639.94,1622.35,1608.88
1.5 hr,1648.695877777778,1675.1554777777774,1650.4316777777788,1520.519233333333,1541.1992777777778,1513.6023,1464.204311111111,1448.257911111111,1541.210366666667,1506.251733333334,1576.1861000000001,1626.7106333333336,1657.346644444444,1661.1332888888885,1654.5637000000004,1641.764855555556,1624.8434111111114,1692.8185999999996,1696.5056777777777,1623.1000444444446,1648.447488888889,1671.4928666666674,1595.4851666666668,1669.3357222222216,1719.0874555555552,1658.2823666666657,1637.585333333333,1609.3987777777782,1585.0439111111114,1590.3289444444445,1635.2710888888887,1646.2236999999998,1625.0427111111105,1607.6436444444446
10 day,1667.6260000000002,1675.8379999999997,1673.9010000000003,1648.809,1626.7210000000002,1609.3890000000001,1585.5530000000003,1513.4440000000002,1468.0460000000003,1462.9260000000002,1470.957,1487.825,1515.738,1547.284,1565.8160000000003,1583.708,1597.627,1648.645,1660.7259999999999,1660.9919999999997,1658.887,1660.3220000000001,1657.7220000000002,1657.309,1660.804,1650.48,1650.5039999999997,1646.4479999999999,1638.2129999999997,1633.524,1637.937,1634.8939999999998,1625.2859999999998,1623.458
10 min,1646.0543000000002,1668.7336,1656.0688000000002,1514.3742,1554.6061000000002,1501.6536,1456.5554,1467.0530999999999,1538.3121,1501.6929,1573.4377,1631.5375,1654.9738000000002,1655.4117999999999,1657.4506000000001,1640.1964,1617.6892000000003,1691.9798999999998,1693.6338,1627.2029,1653.8619000000003,1668.714,1592.8655999999999,1669.2317000000003,1717.6124,1657.5074,1640.2756999999997,1612.3065000000001,1584.8592,1592.0385,1637.6309,1639.8142,1622.8359999999998,1606.7772999999997
100 day,1806.7239,1805.2222999999994,1803.7860999999996,1797.9857999999995,1795.4205999999997,1792.1986999999997,1789.0148,1776.8484999999998,1762.4557,1758.4733,1755.3642000000002,1752.6972999999998,1750.0666000000003,1747.8346000000001,1745.5316000000003,1743.1150000000002,1740.5200000000002,1734.1234,1732.0315,1729.0764000000001,1722.7167,1719.3985999999998,1711.1940999999997,1707.9502,1705.5544,1695.9556,1692.4581999999998,1688.7032000000002,1684.8834999999997,1681.7131999999997,1678.6828,1675.8185999999998,1672.6020999999998,1669.5315
125 day,1793.35928,1792.8767199999998,1792.4159999999997,1789.6499999999996,1788.0611999999996,1786.1800799999996,1784.1413599999996,1777.5618399999996,1770.936,1769.3403999999998,1768.2584799999997,1767.3823999999997,1766.69048,1765.9258399999999,1764.8026399999999,1763.4228799999999,1761.78064,1758.1945599999997,1757.2545599999996,1755.8959199999997,1752.7127199999998,1751.6132799999998,1748.6955199999998,1747.83944,1747.21192,1742.51576,1740.7379999999998,1738.5608,1736.0783999999999,1733.716,1731.65048,1729.41328,1727.33352,1725.1049600000001
15 min,1647.269066666667,1670.6441999999997,1655.988266666667,1513.5303333333334,1554.7006000000001,1501.5422666666666,1457.076,1464.5028,1538.0076000000004,1502.0224666666666,1573.3209333333334,1632.2009333333335,1655.2271333333335,1655.5222666666664,1657.7619333333337,1640.7340666666669,1618.3434666666667,1692.6012666666668,1694.3992666666666,1627.818,1653.0876666666668,1669.2679333333335,1593.2948000000001,1668.9540666666667,1715.9627333333333,1657.9189333333334,1639.9584666666665,1612.1780666666668,1584.509266666667,1591.8273333333334,1636.7623333333333,1640.0641333333333,1622.2688666666663,1606.5919333333331
150 day,1766.1681333333327,1766.5383999999992,1766.8670666666658,1766.2561999999991,1766.091933333333,1765.477266666666,1764.671066666666,1761.0115999999991,1758.030333333333,1757.1995999999997,1756.838066666666,1756.7578666666661,1756.6999333333329,1756.4537333333328,1756.1901999999998,1755.8652666666665,1755.4200666666663,1755.1455999999998,1754.9611999999995,1754.402533333333,1753.311733333333,1752.7816666666663,1751.3541999999995,1751.4027333333331,1751.587,1750.6309333333334,1750.1408,1749.6101999999998,1748.8667999999998,1748.0692666666664,1747.3958666666665,1746.7087333333332,1745.8263999999997,1744.5685999999998
175 day,1728.5217714285711,1729.9673142857139,1731.1480571428567,1732.8709714285708,1733.5295999999996,1733.9183428571425,1733.9887999999999,1732.938457142857,1732.0850857142862,1732.3147428571433,1732.973142857143,1733.6105714285716,1734.0903428571432,1734.6234285714288,1735.0460571428575,1735.4510857142861,1735.7089714285714,1737.2979999999998,1737.8019999999995,1737.9339428571423,1738.4510857142855,1738.9907999999998,1739.3492571428565,1739.898171428571,1740.659714285714,1741.414114285714,1741.586171428571,1741.5947428571426,1741.3851999999995,1741.1645142857137,1741.1443428571426,1740.9999428571425,1740.5787999999998,1740.0770857142857
