,2019-01-18
1 hr,3.8743666666666656
1 min,3.88
1.5 hr,3.864699999999998
10 day,3.8229999999999995
10 min,3.8684999999999996
100 day,3.997150000000001
125 day,3.9715200000000017
15 min,3.8682666666666656
150 day,3.9862666666666695
175 day,4.0786571428571445
2 day,3.855
2 hr,3.86215
2.5 hr,3.858726666666668
20 day,3.6060000000000003
20 min,3.8671999999999995
200 day,4.173325
25 min,3.86896
3 hr,3.8544222222222286
3.5 hr,3.853190476190486
30 day,3.6710000000000003
30 min,3.875466666666667
4 hr,3.848625000000011
4.5 hr,3.8407592592592663
40 day,3.8050000000000006
45 min,3.8839333333333323
5 day,3.8939999999999997
5 hr,3.830166666666674
5 min,3.87
5.5 hr,3.8218151515151577
50 day,4.008800000000001
50 min,3.8800399999999993
55 min,3.8768545454545444
6 hr,3.811491666666675
6.5 hr,3.8006256410256474
60 day,3.998666666666667
70 day,3.9726428571428576
80 day,4.015187500000001
90 day,4.001555555555556
Tomorrow,3.97
