,2019-01-02,2019-01-04,2019-01-22,2019-02-11
1 hr,12.92203333333333,13.160733333333344,13.120883333333332,16.770166666666668
1 min,13.12,13.17,13.095,16.92
1.5 hr,12.910244444444444,13.179166666666674,13.132466666666671,16.71981111111112
10 day,12.341,12.146,14.477,14.311999999999998
10 min,13.057300000000001,13.135499999999999,13.108799999999999,16.918499999999998
100 day,14.817300000000005,14.735600000000003,14.697200000000002,14.2379
125 day,15.027280000000003,14.980080000000003,14.814960000000001,14.626560000000001
15 min,13.028199999999998,13.134333333333332,13.114199999999999,16.918999999999997
150 day,14.562066666666666,14.586200000000002,14.841933333333333,14.848466666666669
175 day,13.693485714285716,13.762628571428571,14.204342857142858,14.529657142857143
2 day,12.77,12.615,13.809999999999999,16.29
2 hr,12.877399999999993,13.17552500000001,13.170041666666666,16.70475000000001
2.5 hr,12.865833333333317,13.160360000000006,13.204633333333323,16.72084000000001
20 day,13.216999999999999,13.0475,13.373499999999998,14.076000000000002
20 min,13.002149999999997,13.129749999999998,13.129999999999995,16.894999999999996
200 day,12.84835,12.9027,13.315749999999998,13.816099999999999
25 min,12.98292,13.126599999999998,13.125599999999997,16.877999999999997
3 hr,12.850666666666653,13.133750000000001,13.22854444444444,16.733344444444455
3.5 hr,12.817809523809517,13.109152380952379,13.257466666666655,16.74846666666668
30 day,13.301333333333332,13.288999999999998,13.54,13.91566666666667
30 min,12.960033333333334,13.132,13.120833333333332,16.858166666666662
4 hr,12.777445833333328,13.072183333333333,13.263445833333323,16.726770833333344
4.5 hr,12.74038518518518,13.032366666666661,13.264662962962952,16.694166666666682
40 day,13.47475,13.38125,13.63125,13.662000000000003
45 min,12.935355555555553,13.147444444444448,13.130088888888885,16.80793333333333
5 day,12.282,12.542,14.284,14.706
5 hr,12.69884666666666,12.993213333333324,13.275743333333324,16.658450000000023
5 min,13.0726,13.156,13.100999999999999,16.905
5.5 hr,12.643124242424236,12.951957575757572,13.28741818181817,16.62690606060608
50 day,13.336800000000004,13.320800000000004,13.5868,13.765200000000002
50 min,12.929419999999999,13.152580000000006,13.128099999999996,16.796620000000004
55 min,12.925654545454542,13.156436363636372,13.12472727272727,16.783563636363635
6 hr,12.587102777777767,12.910108333333332,13.302480555555544,16.58535555555558
6.5 hr,12.533302564102554,12.85667435897435,13.34136923076922,16.52429487179489
60 day,13.35966666666667,13.305333333333335,13.53266666666667,13.609000000000002
70 day,14.107142857142861,13.946571428571431,13.477714285714288,13.69114285714286
80 day,14.728000000000003,14.542875000000004,13.947125000000003,13.594249999999999
90 day,14.77144444444445,14.72866666666667,14.472111111111113,13.724
Tomorrow,12.05,14.11,12.81,17.35
