,2018-12-21,2018-12-26
1 hr,148.58953333333332,151.0019333333333
1 min,148.45,152.81
1.5 hr,148.7983111111112,150.53284444444444
10 day,159.14100000000002,156.646
10 min,148.546,152.0453
100 day,182.1435,180.8255
125 day,186.7019200000001,185.9504000000001
15 min,148.53686666666664,151.91686666666664
150 day,189.81326666666675,189.0991333333334
175 day,190.78116057142864,190.10464171428578
2 day,150.565,148.96499999999997
2 hr,149.02947500000002,150.24118333333325
2.5 hr,149.31573333333336,149.93823999999995
20 day,164.01349999999996,162.35549999999995
20 min,148.50759999999997,151.88915
200 day,192.33598149999997,191.737526
25 min,148.43527999999998,151.80264
3 hr,149.43425000000002,149.71671666666666
3.5 hr,149.50244761904762,149.5157238095238
30 day,165.93299999999996,164.18099999999995
30 min,148.45099999999996,151.6797
4 hr,149.60105000000001,149.3410041666667
4.5 hr,149.80294074074075,149.0756111111111
40 day,167.40324999999996,166.47024999999994
45 min,148.4698222222222,151.33815555555555
5 day,155.638,150.588
5 hr,149.8880266666667,148.79983333333337
5 min,148.57199999999997,152.3124
5.5 hr,150.0071606060607,148.47775151515154
50 day,168.8382,167.87559999999993
50 min,148.50354,151.22469999999998
55 min,148.5534909090909,151.1156909090909
6 hr,150.08047777777784,148.22500833333336
6.5 hr,150.11621025641034,148.0098974358975
60 day,171.642,170.32816666666665
70 day,173.91399999999996,172.93657142857137
80 day,176.19225,174.766125
90 day,178.95933333333335,177.88077777777778
Tomorrow,145.01,154.39
