,2018-12-11,2018-12-13,2019-01-11
1 hr,42.03303333333334,42.889916666666686,35.084416666666655
1 min,42.37,42.52,35.07
1.5 hr,41.90975555555555,42.8852777777778,35.10438888888887
10 day,40.647000000000006,41.36899999999999,33.324
10 min,42.397200000000005,42.688,35.074
100 day,38.08454999999999,38.14165,37.61724999999999
125 day,38.66963999999999,38.62451999999999,37.6618
15 min,42.34680000000001,42.753800000000005,35.09
150 day,40.03536666666665,40.07376666666665,38.34483333333333
175 day,40.024171428571414,40.088514285714275,39.47885714285713
2 day,42.665,42.53,34.79
2 hr,41.83383333333334,42.88087500000001,35.12024999999999
2.5 hr,41.881413333333334,42.877639999999985,35.09116666666664
20 day,38.4115,39.2375,34.933499999999995
20 min,42.29260000000001,42.809850000000004,35.094500000000004
200 day,40.09464999999997,40.114574999999974,39.47774999999999
25 min,42.23688,42.83928000000001,35.09760000000001
3 hr,41.967999999999996,42.84777222222222,35.03399444444441
3.5 hr,42.02019523809524,42.81149523809524,34.993161904761884
30 day,37.54966666666666,38.26166666666667,36.983
30 min,42.211533333333335,42.861233333333345,35.092666666666666
4 hr,42.04400833333332,42.785512499999996,34.973979166666666
4.5 hr,42.06202962962963,42.79345555555557,34.96299999999999
40 day,36.95474999999999,37.23325,36.88924999999999
45 min,42.118066666666664,42.89371111111113,35.082111111111104
5 day,41.129999999999995,42.117999999999995,34.11
5 hr,42.12490999999999,42.79669000000001,34.95029666666666
5 min,42.37,42.690000000000005,35.088
5.5 hr,42.22211818181819,42.79352121212123,34.94266363636363
50 day,37.267599999999995,37.36,36.71039999999999
50 min,42.11046,42.892200000000024,35.08489999999999
55 min,42.07367272727273,42.89136363636366,35.08381818181817
6 hr,42.31263055555557,42.79815277777779,34.94982222222224
6.5 hr,42.39999743589745,42.80138461538463,34.90932820512822
60 day,37.85466666666665,37.958999999999996,36.395666666666656
70 day,38.188285714285705,38.24914285714286,36.62614285714285
80 day,38.20631249999999,38.368937499999994,37.16624999999999
90 day,38.09394444444444,38.21183333333333,37.48166666666666
Tomorrow,42.45,41.72,34.66
