,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,248.64353333333338,256.47940000000006,258.51516666666674,256.2908666666667,254.58315000000002,250.05509999999992,244.44871666666677,243.18221666666673,244.91026666666667,245.30429999999993,253.83291666666673,252.45281666666656,231.5007333333333,233.58255000000003,238.46695,235.2717333333334,246.0949166666666,249.5768333333334,250.85336666666666,250.92988333333335,252.34411666666665,255.21588333333332,260.36228333333327,256.7287666666667,257.2036333333333,263.1727666666667,267.9749666666666,268.06883333333343,265.9082,271.1069166666667,267.20463333333333,265.7786,270.7880333333333,275.76385,267.4912333333333,273.2072333333333,275.28476666666666,278.9130666666667,281.6931333333334,282.0184,281.06183333333337
1 min,246.88,255.04,258.29,254.73,254.43,249.67,243.81,241.98,244.63,248.01,254.28,253.45,230.89,233.02,237.93,236.03,246.24,249.52,250.58,250.81,251.66,255.38,260.71,258.49,257.52,263.5,267.91,267.55,266.21,270.78,268.08,266.7,269.98,276.21,269.09,273.96,275.81,279.38,281.31,281.5,281.949
1.5 hr,248.38590000000005,256.49994444444445,258.04998888888883,256.64087777777786,254.86621111111114,250.2804444444444,246.1238111111112,243.09268888888886,245.3409444444445,244.50674444444428,253.8021444444444,252.91537777777768,232.19584444444433,233.8431111111111,238.6550666666667,235.16845555555562,245.95492222222214,249.48910000000012,250.99667777777773,250.60138888888883,252.57202222222222,254.98791111111106,260.3785777777779,256.78122222222214,256.9352444444445,263.18577777777773,267.908811111111,267.8897888888889,265.8487111111111,271.4940444444445,267.66020000000003,265.61738888888874,270.7931888888889,275.68187777777774,267.29614444444445,273.2556555555555,275.01962222222215,278.87284444444447,281.76322222222234,281.96801111111114,280.93557777777784
10 day,233.56275,235.45778,237.74171,239.62684,241.28140000000002,242.29383,243.7208,245.42277000000004,247.29611,247.38800000000006,247.24998999999997,247.45299999999997,245.58199999999997,244.516,244.125,243.24099999999999,244.48899999999998,244.627,244.59900000000002,244.327,244.36699999999996,246.804,249.56300000000002,251.594,253.73900000000003,255.46599999999998,257.308,259.0129999999999,260.558,261.991,263.646,264.794,267.095,268.96400000000006,269.518,270.13,270.94,272.247,273.29699999999997,274.62199999999996,276.13399999999996
10 min,247.2283,255.5,258.554,255.41240000000002,254.16809999999995,250.4756,244.59859999999998,242.196,244.844,247.1365,253.02870000000001,253.18699999999998,230.97899999999998,233.46280000000002,238.04809999999998,235.74810000000002,246.13500000000005,249.56110000000004,250.6453,251.02099999999996,251.77460000000002,255.09050000000002,260.35479999999995,257.46799999999996,257.5014,263.51650000000006,267.67670000000004,267.73930000000007,265.9165,270.393,267.83059999999995,266.4162,270.12690000000003,276.05039999999997,268.6209,273.3939,275.53600000000006,279.20889999999997,280.95399999999995,282.00910000000005,281.53589999999997
100 day,224.886959,225.34431400000003,225.77175899999997,226.158776,226.45410300000003,226.75873399999998,227.02648599999998,227.23357499999997,227.504455,228.06946499999998,229.22258199999996,229.60215099999994,229.78450699999993,230.03228899999993,230.33886599999997,230.66347,231.097246,231.54269800000003,231.99295300000003,232.47125400000004,233.44707700000004,233.98107700000003,234.53648400000003,235.02759800000004,235.49667100000002,236.020544,236.57201300000006,237.09690500000005,237.60486900000004,238.13828700000002,238.699535,239.08324000000002,239.85707299999999,240.36119899999997,240.73980899999998,241.15908299999998,241.60978799999998,242.03138699999997,242.45190099999996,242.84314199999997,243.20731399999997
125 day,227.3459144,227.2689928,227.20453759999998,227.1573384,227.11874160000005,227.06354399999998,226.97444319999994,226.86887040000002,226.84474000000006,226.7820768,227.1190232,227.26686239999998,227.18629199999998,227.10596639999997,227.0656048,226.9853688,227.04275920000003,227.38898400000002,227.80269840000003,228.21260480000004,229.0008064,229.3904472,229.8243224,230.18774720000002,230.54014,230.8729624,231.26282720000003,231.66686880000003,232.02798,232.451964,232.89443999999997,233.32893199999998,234.24972959999997,234.72830559999997,235.15660079999995,235.64728559999998,236.18543119999995,236.76197279999997,237.38365599999995,238.01243679999996,238.62807839999996
15 min,247.65806666666668,255.75446666666667,258.974,255.4452666666667,254.06346666666664,250.75713333333334,244.5429333333333,242.698,244.92466666666664,246.86060000000003,253.26646666666664,252.94873333333334,230.94733333333332,233.55013333333335,238.11393333333336,235.69440000000003,246.11460000000002,249.68593333333337,250.71453333333332,251.09599999999998,251.8392,255.3646666666667,260.4048,257.44066666666663,257.58593333333334,263.3736,267.7744666666667,267.78866666666664,265.97499999999997,270.4486666666666,267.57039999999995,266.35373333333337,270.27993333333336,275.89186666666666,268.5952,273.33259999999996,275.52400000000006,279.1039333333334,280.89966666666663,282.0814666666667,281.60726666666665
150 day,230.01820399999997,230.15190933333332,230.27200133333326,230.3700473333333,230.45449866666667,230.54756866666662,230.60906533333326,230.66412399999996,230.76182200000005,230.86851800000005,231.151448,231.2173653333333,231.1348353333333,231.05007133333334,230.96919933333334,230.8623893333333,230.81785733333334,230.76721533333335,230.71602800000008,230.7104866666667,230.7012946666667,230.6889953333334,230.68155333333337,230.6457313333334,230.64204800000002,230.69035133333338,230.7661533333334,230.85010266666674,230.92499200000006,231.07761666666673,231.21887000000007,231.37953066666674,231.80125933333335,232.05771933333332,232.28478533333328,232.50497666666664,232.7213053333333,232.9637373333333,233.19854066666667,233.481166,233.98575333333332
175 day,230.09361371428568,230.21412857142855,230.35720799999999,230.52214685714287,230.6503994285715,230.74037657142858,230.79414742857142,230.84145200000003,230.86414228571437,230.82418342857153,231.09206285714288,231.23910857142855,231.2855085714286,231.34147885714293,231.41667485714297,231.46779885714295,231.59599885714294,231.73736114285725,231.893866857143,232.07154514285727,232.37460800000014,232.50194628571444,232.66511600000015,232.783386857143,232.89798285714298,233.03934171428583,233.22351600000016,233.41182742857157,233.5986205714287,233.830418857143,234.03047028571442,234.22541542857152,234.62423600000008,234.8085554285715,234.9540845714286,235.12963028571434,235.29977542857148,235.4670851428572,235.63410514285718,235.79719200000005,235.93898457142862
2 day,240.51055,248.29354999999998,253.96375,253.8895,251.82625,250.57495,246.77999999999997,242.89,243.39999999999998,240.97,253.935,253.89499999999998,242.235,232.095,235.605,237.02499999999998,241.175,247.9,250.04500000000002,250.72,254.095,253.515,258.075,259.555,257.905,260.53499999999997,265.745,267.78,266.97,268.57,269.53499999999997,267.53,271.06,273.105,272.65,271.575,274.89,277.555,280.355,281.40999999999997,281.71500000000003
