,2019-02-01,2019-02-04,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
1 hr,41.39083333333335,41.79281666666668,42.421333333333344,43.07851666666665,43.26874999999998,44.11351666666666,44.027166666666645
1 min,41.5,41.94,42.55,43.14,43.4,44.02,44.1
1.5 hr,41.37477777777778,41.79137777777781,42.42444444444446,43.02067777777776,43.27676666666666,44.113788888888905,44.01267777777778
10 day,41.19199999999999,41.137,41.655,41.891000000000005,42.194,42.762,43.025999999999996
10 min,41.4682,41.868,42.483,43.099000000000004,43.392,44.024499999999996,44.089999999999996
100 day,41.50441400000002,41.447756000000005,41.245799,41.204624,41.167743,41.113946999999996,41.086158
125 day,42.57274480000002,42.56041360000001,42.49646799999999,42.4734312,42.457632,42.42223359999999,42.402043199999994
15 min,41.46680000000001,41.852000000000004,42.46633333333333,43.11333333333333,43.36866666666666,44.043000000000006,44.10033333333333
150 day,42.70098666666668,42.69817933333334,42.689172,42.68590266666667,42.679544,42.680712,42.682127333333334
175 day,42.322828571428595,42.34427542857144,42.43809942857143,42.469500571428576,42.49974114285715,42.56271657142857,42.59214114285714
2 day,41.34,41.709999999999994,42.505,42.83,43.25,44.025000000000006,44.07
2 hr,41.36589166666666,41.806800000000024,42.42475833333333,42.969824999999986,43.28636666666668,44.112725000000026,43.97719166666669
2.5 hr,41.371013333333295,41.795446666666685,42.41259333333335,42.93912000000001,43.306026666666696,44.11891333333334,43.955413333333354
20 day,40.617999999999995,40.8535,41.51049999999999,41.614,41.7325,41.9945,42.108999999999995
20 min,41.4541,41.84375000000001,42.449749999999995,43.12219999999999,43.34899999999999,44.07225,44.09975000000001
200 day,41.959870500000015,41.96018900000002,41.99873200000001,42.01520850000001,42.03880800000002,42.091862500000005,42.118469999999995
25 min,41.448719999999994,41.828,42.44083999999999,43.11775999999999,43.343999999999994,44.09780000000001,44.09080000000001
3 hr,41.37224444444439,41.80059444444447,42.398216666666684,42.91941666666666,43.31408333333334,44.12043333333334,43.94782777777779
3.5 hr,41.359747619047596,41.78759523809525,42.38575714285715,42.89569047619048,43.32754761904762,44.12984761904765,43.95868571428571
30 day,38.96,39.147333333333336,40.13233333333333,40.376999999999995,40.62699999999999,41.13966666666666,41.42066666666666
30 min,41.44376666666667,41.8143,42.43566666666666,43.114633333333316,43.33399999999999,44.10350000000001,44.080333333333336
4 hr,41.35767499999998,41.782125000000036,42.36780000000001,42.880020833333354,43.35342083333331,44.139824999999995,43.979016666666666
4.5 hr,41.36030370370367,41.779148148148195,42.35411481481483,42.856037037037076,43.38117037037035,44.15014074074073,43.99503333333331
40 day,39.272749999999995,39.25825,39.33224999999999,39.39849999999999,39.499999999999986,39.79874999999999,39.976499999999994
45 min,41.424222222222234,41.80286666666666,42.43088888888891,43.09357777777775,43.28666666666666,44.10513333333332,44.044000000000004
5 day,40.992000000000004,41.232,42.318,42.550000000000004,42.844,43.422000000000004,43.734
5 hr,41.34626666666663,41.764616666666704,42.33413333333335,42.824033333333375,43.410143333333316,44.14595666666665,44.01119666666664
5 min,41.493,41.910000000000004,42.525,43.094,43.416,44.021,44.107
5.5 hr,41.345303030302986,41.744378787878816,42.317121212121215,42.797769696969766,43.43245757575756,44.146960606060574,44.02831515151513
50 day,40.007348,39.991792000000004,39.98150799999999,39.999903999999994,40.005385999999994,40.029799999999994,40.023399999999995
50 min,41.412000000000006,41.79958,42.42980000000002,43.09211999999998,43.2782,44.1058,44.038199999999996
55 min,41.40109090909092,41.79661818181819,42.4258181818182,43.086381818181806,43.27218181818181,44.11032727272727,44.03381818181817
6 hr,41.34205555555551,41.727694444444474,42.292427777777775,42.77759444444451,43.45251944444444,44.14281388888886,44.04030277777774
6.5 hr,41.32247179487175,41.7127948717949,42.28678461538461,42.75667692307699,43.47086410256409,44.134751282051255,44.05803589743587
60 day,40.52113666666667,40.50369333333333,40.42460666666667,40.43346666666666,40.437371666666664,40.49853499999999,40.510456666666656
70 day,40.39748000000001,40.410404285714286,40.62932428571429,40.701342857142855,40.76584285714286,40.85908428571428,40.878974285714285
80 day,40.45008250000001,40.4533025,40.564845000000005,40.59600375,40.6187175,40.6851225,40.726045
90 day,40.87062000000001,40.81673777777778,40.69974777777778,40.69912777777778,40.70173111111111,40.71894555555556,40.73629555555556
Tomorrow,41.94,41.93,43.1,43.4,44.03,44.12,NULL
