,2019-01-02,2019-01-03,2019-01-07,2019-01-16
1 hr,20.577616666666668,20.558949999999992,16.163733333333333,14.721299999999998
1 min,20.63,20.39,16.37,14.62
1.5 hr,20.640044444444438,20.557477777777763,16.143433333333327,14.818144444444442
10 day,19.165000000000003,19.069,19.065,16.827
10 min,20.598999999999997,20.5325,16.263099999999998,14.616
100 day,33.943850000000005,33.75385000000001,33.380150000000015,31.832550000000012
125 day,37.11948,36.856280000000005,36.29612,34.19304000000001
15 min,20.570666666666664,20.562400000000004,16.23606666666667,14.6372
150 day,39.24823333333334,39.07656666666668,38.66943333333334,37.1157
175 day,39.71048571428572,39.6059142857143,39.37037142857144,38.37202857142858
2 day,20.53,20.515,18.84,15.614999999999998
2 hr,20.67059166666666,20.517474999999987,16.256541666666667,14.870199999999999
2.5 hr,20.716673333333333,20.491173333333325,16.36212666666668,14.899293333333338
20 day,24.660999999999998,23.966499999999996,22.7015,17.996
20 min,20.527749999999997,20.565800000000003,16.22885,14.639899999999997
200 day,39.54442499999999,39.45717499999999,39.25607499999999,38.467524999999995
25 min,20.508799999999997,20.564280000000004,16.206680000000002,14.640719999999996
3 hr,20.735849999999996,20.463294444444436,16.444083333333342,14.937688888888893
3.5 hr,20.74097619047618,20.434871428571416,16.500285714285724,14.943314285714283
30 day,26.802166666666665,26.41683333333333,25.750333333333334,22.049666666666663
30 min,20.496666666666666,20.5809,16.190900000000003,14.647599999999999
4 hr,20.715333333333337,20.38834583333333,16.550695833333343,14.951683333333333
4.5 hr,20.72389629629631,20.364188888888872,16.587970370370375,14.975129629629627
40 day,28.916374999999995,28.503624999999992,27.643875,24.308374999999998
45 min,20.551000000000005,20.57182222222222,16.17048888888889,14.682622222222221
5 day,19.644000000000002,20.0,19.827999999999996,15.898
5 hr,20.703486666666684,20.334909999999983,16.640953333333336,15.023849999999996
5 min,20.627999999999997,20.471,16.331,14.61
5.5 hr,20.644233333333347,20.29222121212119,16.691360606060613,15.08976666666666
50 day,29.9839,29.721700000000002,29.128100000000003,26.498500000000003
50 min,20.556740000000005,20.565139999999996,16.17062,14.694359999999996
55 min,20.56267272727273,20.561036363636358,16.166654545454545,14.70541818181818
6 hr,20.567230555555568,20.301724999999983,16.71698333333334,15.164758333333328
6.5 hr,20.493323076923094,20.328033333333316,16.842376923076927,15.241787179487181
60 day,30.75858333333333,30.49025,29.964416666666672,27.79108333333334
70 day,31.577642857142855,31.356928571428572,30.835928571428575,28.76835714285715
80 day,32.263562500000006,32.005437500000006,31.46206250000001,29.733812500000006
90 day,33.49983333333334,33.27150000000001,32.76572222222223,30.548388888888898
Tomorrow,20.4,21.31,15.17,15.36
