,2019-01-25,2019-01-30,2019-02-01,2019-02-11
1 hr,98.74328333333334,96.23358333333337,97.03086666666668,97.99193333333331
1 min,99.01,95.91,97.36,97.88
1.5 hr,98.90064444444445,96.11221111111111,96.98684444444442,97.93664444444445
10 day,91.27000000000001,93.57300000000001,95.04699999999998,97.537
10 min,98.661,96.06899999999999,97.26700000000001,97.902
100 day,93.7658,93.1962,92.8585,91.79089999999997
125 day,96.20408000000002,96.18712000000002,96.16808,95.92736
15 min,98.67133333333335,96.099,97.24666666666668,97.91866666666668
150 day,96.2256666666667,96.2830666666667,96.32886666666668,96.49206666666666
175 day,96.1175428571429,96.15428571428576,96.18617142857146,96.34165714285717
2 day,99.795,95.46000000000001,96.995,98.465
2 hr,98.93170000000002,96.00939999999999,96.93607499999997,97.96410833333336
2.5 hr,98.86518,95.78324666666664,96.93189999999996,97.9802666666667
20 day,87.4195,89.60549999999999,91.29349999999998,94.8345
20 min,98.66950000000001,96.13050000000001,97.24000000000002,97.92450000000002
200 day,95.15215000000006,95.34285000000007,95.45300000000006,95.81720000000007
25 min,98.6636,96.16476000000003,97.22920000000002,97.94640000000003
3 hr,98.64795555555554,95.67918888888887,96.97026666666663,98.00401666666666
3.5 hr,98.50337142857144,95.63363809523807,96.97474761904755,98.04376666666666
30 day,85.13833333333332,86.27799999999999,87.3883333333333,91.32366666666665
30 min,98.647,96.17063333333334,97.20233333333336,97.97876666666669
4 hr,98.41861666666662,95.6007666666666,97.0012916666666,98.07304583333331
4.5 hr,98.41751111111104,95.55632592592589,97.03948148148145,98.12050370370366
40 day,84.94,85.85049999999998,86.34549999999997,88.50774999999997
45 min,98.65715555555558,96.22353333333336,97.10971111111115,98.02162222222222
5 day,93.72999999999999,97.48400000000001,96.36399999999999,98.468
5 hr,98.51397333333328,95.50372999999996,97.03031666666664,98.1465733333333
5 min,98.724,96.016,97.338,97.88000000000001
5.5 hr,98.57311515151513,95.46169090909085,97.03426969696962,98.17890606060604
50 day,84.0218,84.90719999999999,85.46439999999997,87.79659999999998
50 min,98.66894000000002,96.22758000000002,97.08254000000002,98.01643999999996
55 min,98.71025454545455,96.2296181818182,97.05509090909094,98.00903636363633
6 hr,98.63963611111107,95.40373055555546,97.0298555555555,98.20894166666666
6.5 hr,98.65796923076921,95.38671794871787,97.0287666666666,98.27143076923079
60 day,84.13399999999999,84.77283333333331,85.13116666666663,86.52833333333332
70 day,86.13942857142857,85.84371428571427,85.7425714285714,86.24999999999997
80 day,88.68050000000001,88.11975,87.83449999999998,87.51962499999998
90 day,91.34255555555555,90.7578888888889,90.44555555555554,89.48433333333332
Tomorrow,96.91,96.63,98.12,99.37
