,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,12.366249999999997,12.368000000000006,11.672966666666671,11.813300000000002,11.64118333333334,11.862383333333334,11.46648333333334,10.84133333333333,11.46673333333333,11.230066666666659,11.877266666666666,11.600583333333336,11.925416666666676,12.089683333333339,11.758983333333331,12.237233333333338,14.141599999999999,15.224883333333333,15.340516666666675,14.907650000000007,14.927400000000002,14.629950000000001,14.696250000000015,14.74816666666667,14.495299999999995,14.76366666666665,14.782083333333322,14.817250000000005,14.681116666666659,14.648916666666656,14.896533333333318,14.835966666666678,15.103866666666674,15.532149999999994,15.54323333333332,15.340033333333341,15.414250000000012,15.347266666666684,15.922999999999998,16.27976666666666,16.850200000000005,16.87745
1 min,12.31,12.33,11.56,11.725,11.62,11.8,11.42,10.81,11.58,11.32,11.97,11.48,11.95,12.07,11.79,12.25,14.3,15.23,15.34,15.0,14.88,14.58,14.74,14.74,14.46,14.69,14.8,14.76,14.69,14.66,15.1,14.84,15.18,15.515,15.55,15.35,15.41,15.35,15.82,16.25,16.66,16.92
1.5 hr,12.373855555555547,12.363100000000008,11.70417777777778,11.800533333333329,11.67143333333334,11.882066666666667,11.493255555555551,10.885366666666666,11.432111111111112,11.202288888888878,11.880988888888893,11.654444444444447,11.937622222222233,12.102000000000007,11.73671111111111,12.19347777777778,14.103344444444444,15.24864444444444,15.398255555555561,14.892055555555556,14.958844444444445,14.62865555555555,14.665133333333332,14.733466666666676,14.499611111111106,14.772166666666648,14.782811111111098,14.839766666666677,14.683744444444443,14.665255555555559,14.866722222222206,14.851577777777809,15.080600000000004,15.492266666666675,15.545833333333325,15.344744444444437,15.433222222222227,15.340355555555556,15.917600000000009,16.25238888888888,16.89197777777778,16.878766666666664
10 day,12.37445,12.3705,12.30062,12.21219,12.101890000000001,11.980010000000002,11.87798,11.730120000000001,11.522,11.391,11.428,11.396,11.4,11.467000000000002,11.563999999999998,11.727999999999998,12.0,12.382,12.772,13.141,13.431000000000001,13.741,14.019,14.284,14.552000000000001,14.794999999999998,14.846,14.799000000000001,14.735,14.7,14.721,14.746999999999996,14.791999999999998,14.870000000000001,14.978,15.043000000000001,15.104999999999999,15.163999999999998,15.276,15.435999999999998,15.593,15.8
10 min,12.3305,12.3491,11.5915,11.725,11.6039,11.852,11.415799999999999,10.809500000000003,11.5715,11.278000000000002,11.947500000000002,11.507500000000002,11.915500000000002,12.075300000000002,11.789,12.2325,14.269899999999998,15.216500000000002,15.346100000000002,14.9642,14.8995,14.5695,14.684999999999999,14.744,14.4555,14.701200000000004,14.7745,14.741,14.690000000000001,14.626,15.029,14.836500000000004,15.138,15.524099999999999,15.559500000000003,15.341,15.381,15.3435,15.859,16.2665,16.7435,16.900499999999997
100 day,15.666971999999998,15.604982999999999,15.533076999999999,15.464044,15.395571999999998,15.327828,15.186991,15.111791000000004,14.975997,14.772985,14.711443000000001,14.645881,14.587855,14.531325000000002,14.468957,14.410704,14.374708,14.347036000000001,14.322421000000002,14.292549000000001,14.259224000000001,14.222314,14.184063000000002,14.152565000000003,14.117584,14.088916000000001,14.064088000000002,14.03612,14.005888000000002,13.973299000000003,13.946575000000003,13.917450999999998,13.886930000000001,13.860785000000003,13.832005000000002,13.812378000000002,13.788221,13.752704000000001,13.72771,13.702970999999998,13.680750999999995,13.661130999999994
125 day,16.446227999999994,16.3884944,16.322983999999998,16.258988799999997,16.1936416,16.1283288,16.000236,15.932559999999999,15.795191999999998,15.609256,15.5482784,15.477274399999997,15.407914399999996,15.3383416,15.270518399999997,15.20998,15.1688136,15.1350888,15.106784800000002,15.0770936,15.049572,15.0157376,14.986546400000002,14.9543016,14.920915200000001,14.890777600000002,14.860502400000001,14.831238400000002,14.796952800000003,14.767592800000003,14.744648000000003,14.7209576,14.697324000000002,14.676173600000002,14.655028,14.6326744,14.6116648,14.592443999999999,14.57714,14.563085599999997,14.551683199999996,14.543926399999995
15 min,12.338333333333333,12.359066666666665,11.606333333333334,11.735000000000001,11.589933333333333,11.857666666666667,11.418533333333334,10.823333333333334,11.557,11.279666666666667,11.9384,11.523733333333334,11.913000000000002,12.082533333333334,11.782333333333334,12.221333333333337,14.255266666666667,15.217000000000004,15.3438,14.96446666666667,14.899666666666665,14.567,14.68933333333333,14.751333333333333,14.461999999999998,14.714800000000002,14.778666666666668,14.739866666666668,14.692666666666666,14.626999999999999,14.998399999999998,14.842000000000004,15.130400000000002,15.526733333333333,15.562666666666669,15.341000000000001,15.376000000000001,15.349,15.871666666666668,16.265333333333334,16.76,16.891666666666666
150 day,16.654321333333332,16.627305999999997,16.594993999999996,16.564396,16.531315333333332,16.496849333333337,16.422875333333337,16.378118666666673,16.294864666666673,16.174458666666673,16.138084000000003,16.09714866666667,16.05928,16.024414000000007,15.984182000000004,15.944043333333338,15.917050000000005,15.894899333333337,15.870569333333336,15.838926666666664,15.806157999999996,15.773656666666662,15.742545333333334,15.709019999999997,15.673890666666663,15.639968,15.605473999999994,15.572605333333328,15.539663333333332,15.508933333333331,15.478786666666664,15.446126666666666,15.420690666666669,15.39409466666667,15.37158,15.343165333333339,15.310195333333338,15.275062000000004,15.242018000000002,15.215365333333336,15.194250000000002,15.177478
175 day,16.819158285714284,16.76948457142857,16.716103428571426,16.666632,16.617473714285712,16.56718342857143,16.485692571428576,16.451601142857147,16.384400571428575,16.285856000000003,16.258006285714284,16.22652457142857,16.196450857142857,16.167342285714287,16.133578857142858,16.10677485714286,16.092069714285717,16.08201485714286,16.076361142857145,16.067323999999996,16.058154285714284,16.048104,16.039519428571428,16.02988057142857,16.01925371428571,16.008498857142857,15.996042285714283,15.982746857142857,15.967721714285718,15.951358857142862,15.937674857142863,15.924284000000002,15.912057142857146,15.90105028571429,15.889993142857147,15.878014857142862,15.865384571428578,15.85235428571429,15.843840571428572,15.834956000000002,15.825694285714286,15.817585714285716
