,2019-02-08
1 hr,33.98388333333333
1 min,33.89
1.5 hr,33.95115555555555
10 day,36.057
10 min,34.0455
100 day,32.65979999999999
125 day,33.824159999999985
15 min,34.07633333333333
150 day,35.03799999999997
175 day,36.234285714285676
2 day,34.795
2 hr,33.97223333333334
2.5 hr,33.99216000000002
20 day,35.108999999999995
20 min,34.09689999999999
200 day,37.24987499999997
25 min,34.10871999999999
3 hr,34.05409444444445
3.5 hr,34.11141428571429
30 day,34.424
30 min,34.1076
4 hr,34.13461666666667
4.5 hr,34.12898148148147
40 day,33.66275
45 min,34.056844444444444
5 day,35.774
5 hr,34.10788333333332
5 min,33.963
5.5 hr,34.18665454545454
50 day,33.6628
50 min,34.030159999999995
55 min,33.99950909090909
6 hr,34.330936111111114
6.5 hr,34.49323076923076
60 day,32.91949999999999
70 day,32.24242857142856
80 day,31.84574999999999
90 day,32.0451111111111
Tomorrow,35.05
