,2018-12-13,2018-12-18,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-09,2019-01-14
1 hr,5.734516666666665,5.484200000000001,5.2687833333333325,5.364483333333337,5.146483333333336,5.316733333333333,5.993583333333333,6.036750000000003
1 min,5.69,5.48,5.24,5.43,5.17,5.33,6.0,6.05
1.5 hr,5.743699999999996,5.468822222222223,5.2680666666666625,5.337644444444449,5.148722222222223,5.327811111111114,5.994733333333333,6.039744444444447
10 day,6.209230000000001,5.898999999999999,5.675,5.445,5.290000000000001,5.268000000000001,5.493,5.74
10 min,5.709500000000001,5.5128,5.230500000000001,5.4248,5.1425,5.3195,5.983,6.0377
100 day,6.908608999999998,6.876008,6.851001999999998,6.808262999999998,6.761027999999997,6.7471799999999975,6.688533999999997,6.657637999999997
125 day,6.924098399999997,6.882927199999998,6.845537599999996,6.800943999999997,6.759687999999995,6.746607199999997,6.699250399999996,6.682929599999996
15 min,5.7139999999999995,5.518533333333334,5.239000000000001,5.4201999999999995,5.139333333333334,5.318333333333333,5.975999999999999,6.032466666666666
150 day,6.966117333333332,6.931374666666666,6.903588666666663,6.859753999999996,6.818374666666663,6.80682333333333,6.766016666666663,6.749444666666662
175 day,7.104439999999995,7.062939999999995,7.031630857142851,6.982834285714279,6.930155999999993,6.913629714285709,6.845955428571424,6.814456571428567
2 day,5.78,5.52,5.26,5.295,5.1850000000000005,5.25,5.984999999999999,6.08
2 hr,5.7334999999999905,5.46265833333334,5.2505333333333315,5.308616666666676,5.152808333333328,5.327691666666677,5.993175000000003,6.041824999999997
2.5 hr,5.7229799999999855,5.455233333333336,5.244380000000003,5.291866666666679,5.158006666666658,5.321126666666671,5.992720000000003,6.045966666666664
20 day,6.397239999999999,6.2217249999999975,6.101679999999999,5.91186,5.69966,5.634,5.490499999999999,5.536499999999999
20 min,5.715249999999999,5.5154000000000005,5.248400000000001,5.4124,5.13975,5.314,5.978,6.031599999999999
200 day,7.239156999999995,7.202663999999996,7.173463999999996,7.123669999999996,7.076793999999995,7.061611499999995,6.999149499999994,6.969753499999995
25 min,5.7154,5.511520000000001,5.256320000000001,5.4096400000000004,5.1388,5.3142,5.981800000000001,6.032279999999999
3 hr,5.716088888888872,5.455316666666675,5.247988888888889,5.282866666666679,5.160911111111099,5.31466111111111,5.992322222222223,6.04761666666666
3.5 hr,5.711861904761893,5.460328571428579,5.2516857142857125,5.2757000000000085,5.164338095238083,5.307595238095236,5.99080476190476,6.051314285714275
30 day,6.5450366666666655,6.434293333333333,6.322326666666668,6.139896666666668,5.9956966666666665,5.949610000000001,5.808393333333333,5.760743333333333
30 min,5.716999999999999,5.507600000000002,5.260733333333334,5.4072000000000005,5.139,5.312500000000001,5.983666666666668,6.032566666666666
4 hr,5.708554166666658,5.469120833333339,5.254754166666667,5.2632208333333415,5.164983333333326,5.300637499999998,5.985766666666667,6.055279166666654
4.5 hr,5.709062962962957,5.476370370370377,5.259392592592592,5.250422222222235,5.160166666666657,5.292399999999996,5.984381481481481,6.058844444444431
40 day,6.577882499999999,6.482267499999999,6.4162824999999994,6.3093925,6.207095,6.172907500000001,6.017105000000001,5.96687
45 min,5.730799999999997,5.4984888888888905,5.269177777777779,5.387199999999999,5.140200000000002,5.312777777777778,5.989222222222224,6.036155555555556
5 day,5.918000000000001,5.64,5.4319999999999995,5.25,5.24,5.272,5.7139999999999995,6.06
5 hr,5.710236666666661,5.484866666666669,5.270693333333334,5.238446666666679,5.156563333333324,5.281916666666662,5.983603333333332,6.06326333333332
5 min,5.702999999999999,5.4976,5.229,5.4236,5.1579999999999995,5.324,5.989,6.0489999999999995
5.5 hr,5.714293939393933,5.489696969696971,5.286100000000001,5.226300000000008,5.1572090909090855,5.2653606060606,5.984106060606058,6.0621393939393835
50 day,6.661340000000001,6.5595479999999995,6.485179999999999,6.394207999999997,6.293269999999998,6.264183999999999,6.174516000000001,6.141622
50 min,5.732839999999997,5.494040000000001,5.27026,5.37868,5.141480000000001,5.3141,5.9912,6.036000000000001
55 min,5.733836363636361,5.489309090909091,5.269563636363635,5.3709818181818205,5.14398181818182,5.314890909090908,5.992636363636363,6.03618181818182
6 hr,5.717661111111104,5.499277777777776,5.2950916666666705,5.217266666666672,5.160113888888884,5.248330555555549,5.984213888888885,6.061408333333325
6.5 hr,5.723641025641021,5.507689743589741,5.295917948717952,5.214366666666673,5.1664230769230715,5.228312820512814,5.982748717948712,6.060958974358968
60 day,6.758530000000001,6.671426666666666,6.607489999999999,6.5062533333333326,6.4048799999999995,6.373096666666666,6.266228333333332,6.2307549999999985
70 day,6.855768571428574,6.767112857142858,6.705487142857144,6.6159671428571425,6.524112857142857,6.495717142857143,6.38879,6.339957142857142
80 day,6.937922500000001,6.871975000000002,6.81751,6.727785,6.633461249999999,6.60536,6.500324999999999,6.4530225
90 day,6.9372011111111105,6.897246666666666,6.86166222222222,6.803593333333332,6.735734444444443,6.713648888888889,6.616426666666665,6.562597777777776
Tomorrow,5.6,5.28,5.14,5.24,5.33,5.27,6.17,6.09
