,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,177.31591666666665,181.09591666666668,179.75071666666653,177.2005833333334,168.79438333333331,167.93693333333334,161.15341666666666,161.15328333333335,157.6282166666667,161.056,157.92816666666667,162.6660333333333,154.30465000000004,160.9811,162.66046666666668,163.3979333333333,167.2307166666666,167.9643166666667,165.44034999999994,163.47961666666663,170.22353333333334,167.78161666666662,171.4699166666667,159.08385000000004,162.3453666666667,162.52878333333334,166.91945,167.84785,165.25033333333337,169.36293333333333,172.52289999999996,174.31261666666663,176.0011833333334,173.8642,171.15995000000004,169.58583333333334,167.88163333333333,170.64324999999997,174.0005333333333,174.02168333333336,170.17116666666666
1 min,176.85,179.61,179.9,177.51,170.18,167.57,162.48,160.4,157.42,162.97,158.8,162.14,154.8,160.95,162.47,163.37,166.65,168.35,166.12,163.15,169.75,168.24,171.37,160.62,163.27,162.78,167.1,167.505,165.31,169.37,172.63,173.94,176.23,173.85,171.55,169.89,168.06,170.26,173.82,174.01,170.05
1.5 hr,177.2400111111111,180.87336666666667,179.7116555555555,177.2710222222223,169.25563333333332,168.20382222222224,162.05982222222218,161.4472,158.2596444444445,160.58221111111115,158.0881666666667,162.99766666666665,154.47717777777783,161.1497222222222,162.61145555555558,163.3016222222222,167.18382222222223,167.6118,165.59839999999994,163.42045555555555,170.24294444444442,167.90163333333334,171.5209444444445,159.02662222222222,162.1360333333333,162.4969333333333,166.92173333333335,167.7197888888889,165.09624444444444,169.42931111111113,172.5887888888888,174.3921333333333,175.97954444444446,173.8768333333333,171.32446666666667,169.65787777777777,167.67701111111109,170.60746666666665,174.06385555555556,173.71695555555556,170.12258888888888
10 day,183.303,182.999,182.145,181.577,179.73499999999999,177.363,175.34499999999997,173.31099999999998,171.097,167.50799999999998,162.02400000000003,161.263,159.973,159.82000000000002,160.044,160.642,161.594,162.125,162.578,162.664,164.347,165.687,166.728,166.50699999999998,166.493,166.099,165.97400000000002,166.113,166.33700000000002,166.478,166.76600000000002,167.34,168.924,169.983,170.87099999999998,171.151,171.207,171.70499999999998,172.15300000000002,172.298,172.177
10 min,177.056,180.39180000000002,180.015,177.18490000000003,168.8559,167.99859999999998,162.0805,160.3109,157.22819999999996,162.3427,157.90500000000003,162.39169999999996,154.2693,160.88899999999998,162.6596,163.388,166.558,168.33579999999998,165.6806,162.91660000000002,169.7954,167.676,171.35250000000002,159.31800000000004,162.67069999999998,162.41400000000004,166.85189999999997,167.4495,165.18599999999998,169.15619999999998,172.9873,174.06990000000002,176.2397,173.89410000000004,171.1825,169.6242,168.01630000000003,170.44030000000004,173.845,174.541,170.0393
100 day,210.15089999999998,209.34859999999992,208.54379999999995,207.75439999999995,206.82389999999995,205.89649999999997,204.9704,204.05999999999997,203.16239999999993,201.77869999999996,199.64939999999996,199.05189999999996,198.40009999999995,197.80859999999996,197.25889999999995,196.7308,196.2625,195.773,195.20739999999998,194.60060000000001,193.5158,193.0039,192.4739,191.79169999999993,191.16709999999992,190.53539999999992,189.9638999999999,189.37409999999997,188.80499999999992,188.3359999999999,187.91179999999994,187.0675999999999,186.66889999999992,186.22049999999993,185.71209999999996,185.21079999999998,184.7148,184.24849999999998,183.72260000000003,183.15720000000005,182.56930000000003
125 day,219.86575999999997,219.13863999999995,218.39407999999995,217.66327999999996,216.92527999999996,216.15367999999995,215.36952,214.58039999999997,213.83647999999997,212.44759999999994,210.45471999999995,209.78127999999995,209.06639999999993,208.33983999999992,207.54487999999992,206.76207999999994,206.00519999999995,205.18039999999993,204.3717599999999,203.53935999999993,201.92527999999993,201.17079999999993,200.46183999999994,199.6619199999999,198.91615999999988,198.1144799999999,197.3684799999999,196.66775999999993,195.9787199999999,195.35599999999988,194.9124799999999,193.94527999999988,193.4914399999999,193.0688799999999,192.6655199999999,192.26559999999992,191.84927999999994,191.47071999999994,191.13159999999996,190.81647999999998,190.43855999999997
15 min,177.24400000000003,180.63040000000004,180.06266666666667,176.99926666666667,168.4867333333333,168.15639999999996,161.7964,160.3356,157.1405333333333,162.13813333333334,157.9024666666667,162.36099999999996,154.23406666666662,161.0376,162.68546666666666,163.439,166.66580000000002,168.30853333333334,165.67073333333335,163.04800000000003,169.85193333333333,167.75799999999995,171.3036666666667,159.13133333333334,162.6588,162.47033333333337,166.85926666666666,167.56286666666665,165.18686666666665,169.17946666666666,172.82473333333334,174.13160000000002,176.23746666666665,173.83926666666667,171.2126,169.59346666666667,168.00553333333337,170.5168666666667,173.8073333333333,174.47133333333335,170.13753333333335
150 day,226.29459999999997,225.75099999999995,225.1591333333333,224.54333333333324,223.86066666666656,223.1652666666666,222.35466666666665,221.55919999999998,220.9219333333333,219.8531333333333,218.23899999999995,217.70699999999994,217.12753333333328,216.5834666666666,216.01106666666658,215.3610666666666,214.73879999999994,214.1015333333333,213.44299999999993,212.77259999999995,211.44246666666663,210.76319999999996,210.1013333333333,209.3507999999999,208.64659999999992,207.9838666666666,207.33746666666656,206.71746666666658,206.0925999999999,205.55213333333324,205.0311999999999,204.09786666666656,203.65273333333323,203.17006666666657,202.67106666666658,202.17659999999992,201.61853333333326,201.0070666666666,200.42419999999993,199.8430666666666,199.16713333333325
175 day,227.94668571428574,227.6921142857143,227.43114285714287,227.18954285714284,226.8782857142857,226.51320000000004,226.12937142857146,225.7237714285715,225.31948571428578,224.4885714285715,223.20280000000008,222.80754285714295,222.3692571428572,221.96662857142863,221.53182857142858,221.02594285714287,220.54445714285717,220.06571428571428,219.5874857142857,219.07645714285718,218.1167428571429,217.574,217.06011428571432,216.44131428571427,215.83188571428568,215.2058285714285,214.60685714285708,213.94074285714285,213.2869714285714,212.80885714285708,212.42097142857133,211.64868571428565,211.28268571428563,210.88297142857132,210.4802857142856,210.07039999999992,209.64468571428563,209.19777142857134,208.7001714285714,208.20931428571424,207.67285714285705
2 day,178.02499999999998,178.3,179.825,178.72,173.7,168.735,165.04500000000002,161.42000000000002,158.89,160.07999999999998,160.385,160.425,158.48000000000002,157.82999999999998,161.77499999999998,163.0,165.01999999999998,167.495,167.23000000000002,164.57,168.84,168.93,169.735,165.875,161.825,162.98,164.89999999999998,167.3,166.385,167.305,170.985,172.60500000000002,175.08499999999998,175.04,172.715,170.74,168.98000000000002,169.155,172.035,173.95,172.07
2 hr,177.11666666666662,181.03304999999992,179.79229999999995,177.54141666666675,169.62821666666662,168.57960833333343,162.80425833333328,161.26426666666657,158.57640000000012,160.28902499999995,158.20326666666676,163.1595083333333,154.51465000000002,161.16458333333327,162.82090833333334,163.13927499999994,167.24066666666667,167.32090000000002,165.61943333333326,163.23844166666666,170.23739166666667,167.53594166666667,171.59286666666668,159.19785000000007,161.90296666666657,162.37504166666673,167.09394166666664,167.5970666666667,165.07861666666673,169.47028333333344,172.61710833333322,174.397125,175.98588333333328,173.98781666666665,171.37653333333338,169.66757500000006,167.49157500000004,170.57224166666668,174.1381666666667,173.5263916666666,170.00769166666657
2.5 hr,177.15134,181.22707999999994,180.00434666666658,177.70382000000006,170.17821333333322,168.76264666666677,163.65816666666663,161.24885999999995,158.79752000000016,160.05687333333327,158.35062666666676,163.2747666666667,154.7105733333334,161.17946666666663,162.94434,162.94594000000004,167.40384666666674,167.02536,165.69571333333323,163.1997933333333,170.20111333333332,167.3145266666667,171.73474666666664,159.44438000000002,161.7223333333332,162.2886466666667,167.17275999999995,167.54599333333337,165.03845333333336,169.2546200000001,172.6264666666666,174.29302666666666,175.92396666666662,174.1395866666667,171.43122000000005,169.6161866666667,167.42193333333333,170.4907666666667,174.2103333333334,173.32735333333326,169.8973933333333
20 day,183.47699999999998,183.44299999999998,183.27100000000002,182.89499999999998,181.9675,181.00050000000002,179.97,179.11399999999998,177.7875,175.4055,171.8005,170.49899999999997,168.66799999999998,167.5825,166.6775,165.86950000000002,165.24150000000003,164.81650000000002,164.13450000000003,163.291,162.805,162.83,163.27400000000003,163.27549999999997,163.56749999999997,163.84649999999996,164.0495,164.3455,164.5005,165.0375,165.5565,167.03400000000002,167.71550000000002,168.238,168.485,168.5625,168.66000000000003,169.02099999999996,169.3155,169.53199999999998,169.6295
20 min,177.34625000000003,180.82705000000004,180.04674999999997,176.97455,168.37804999999997,168.1632,161.5209,160.48745000000002,157.04215,162.03615000000002,157.9468,162.36824999999996,154.24564999999998,161.03744999999998,162.62579999999997,163.451,166.73459999999997,168.2974,165.64875,163.17845000000003,169.94080000000002,167.84654999999995,171.34370000000004,159.15965,162.6361,162.51175000000003,166.91195,167.6324,165.22215,169.18675000000002,172.71505,174.18445,176.1926,173.82444999999998,171.2317,169.5526,167.94765,170.58800000000002,173.81099999999998,174.3745,170.16485000000003
200 day,230.35334999999998,229.9998,229.63760000000002,229.27655,228.87285,228.43645000000004,227.95520000000005,227.47070000000002,226.97210000000004,225.92675000000006,224.43645000000006,223.93575000000007,223.44515000000007,222.97760000000008,222.54035000000005,222.17680000000004,221.85960000000006,221.52165000000002,221.19740000000002,220.89705000000006,220.3692000000001,220.10965000000007,219.84495000000007,219.51905000000002,219.23625000000004,218.9281,218.6061,218.29535000000004,217.96500000000003,217.67085000000003,217.3845,216.74345000000005,216.43905000000004,216.1458,215.84660000000002,215.53905000000003,215.2223,214.88009999999997,214.48955,214.10545000000002,213.69510000000002
25 min,177.38920000000002,180.94104000000004,179.92235999999997,176.97576,168.36676,168.15016,161.33780000000002,160.67676000000003,156.94,161.90452000000002,157.95476,162.41779999999997,154.29252,161.01616,162.62524,163.5144,166.7786,168.27932,165.61695999999995,163.2734,170.02584000000002,167.90963999999997,171.37792000000002,159.09436000000002,162.62408000000002,162.53260000000003,166.92504,167.69392,165.25616,169.222,172.67444,174.19964,176.13987999999998,173.82384,171.20492,169.53,167.91132000000002,170.6184,173.8576,174.38940000000002,170.18364000000003
3 hr,177.37846666666667,181.4801611111111,180.12968333333328,177.85903333333343,170.7860555555555,168.96836666666678,164.21329444444441,161.33066666666662,158.8702055555557,159.80350555555552,158.51948888888893,163.3781166666667,154.7876722222223,161.14225,163.0742888888889,162.62620000000004,167.4947777777779,166.86794444444445,165.8427999999999,163.21761666666674,170.1995944444444,167.10847777777778,171.90835555555552,159.6608500000001,161.58563888888875,162.2974944444445,167.18582777777777,167.40097777777783,164.9849388888889,169.121388888889,172.79739444444436,174.20051666666663,175.82941666666665,174.24185555555562,171.47991111111116,169.5508666666667,167.4771555555555,170.47266111111105,174.24536666666668,173.22275555555547,169.80562777777774
3.5 hr,177.44940952380958,181.6323523809524,180.27620476190464,178.0203904761906,171.2726142857142,169.10562857142864,164.67761904761903,161.41905714285716,158.92335238095254,159.6129714285714,158.67500952380956,163.3277142857143,154.7965476190477,161.180119047619,163.04540476190482,162.2732428571429,167.49084285714295,166.87013333333334,165.9525809523809,163.23280952380955,170.16606666666664,166.9197523809524,172.09746666666663,159.87078571428574,161.51595714285702,162.32310476190483,167.21900952380943,167.28846666666675,164.92879999999997,168.90000952380956,172.89813809523804,174.1437333333334,175.85523809523812,174.26357619047621,171.42300952380958,169.4811714285715,167.58449047619035,170.5404,174.31826190476193,173.16369999999984,169.76731904761903
30 day,185.72066666666666,185.65399999999997,185.53833333333336,185.12099999999998,184.06733333333332,183.16466666666668,182.2276666666667,181.15833333333336,179.892,178.154,175.93799999999996,175.06599999999995,173.99133333333327,173.25333333333327,172.7573333333333,172.07233333333332,171.53999999999996,170.97866666666667,170.42266666666666,169.57566666666665,168.44833333333332,167.67433333333335,167.29766666666671,166.62066666666666,166.0773333333333,165.52733333333333,165.20233333333329,164.79399999999995,164.3063333333333,164.03299999999996,164.12533333333332,164.6293333333333,165.15833333333333,165.70600000000002,166.18800000000002,166.41666666666666,166.6326666666667,166.902,167.40933333333334,167.8036666666667,168.31533333333337
