,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,321.34236666666675,324.7717,320.4239666666668,315.2144666666665,313.5068500000001,292.2562000000001,292.5919499999999,293.5091833333334,283.10139999999996,292.13841666666667,299.75920000000013,303.90393333333316,308.6886999999999,318.998,323.2792499999999,327.3611,330.58986666666664,332.31736666666677,336.2483000000001,331.5850166666668,337.6984666666668,336.5097333333334,332.5920833333334,336.63475,328.85151666666667,334.43041666666676,327.0837666666666,332.29688333333314,329.85866666666675,337.71251666666666,334.8643666666667,307.9070000000001,314.4392833333333,316.7236333333332,319.83063333333354,322.57078333333334,324.0571333333335
1 min,319.79,322.61,320.14,314.53,313.4,294.46,292.65,292.5,280.6,295.01,300.92,304.69,306.86,318.35,322.29,326.55,331.21,333.25,337.55,331.84,338.96,337.2,332.78,336.8,329.94,334.57,327.86,333.73,331.09,336.92,333.24,308.73,315.1,316.77,319.38,321.5,324.71
1.5 hr,321.06816666666674,324.7218555555555,320.5065222222223,315.1404777777776,314.12181111111124,291.9232555555555,293.0833222222221,293.97310000000004,283.7079444444444,291.40334444444443,299.6684555555556,304.1862777777777,309.1389333333333,319.7107888888888,323.2992666666666,327.7232222222222,330.43137777777775,332.4498444444446,336.06969999999995,331.9622222222222,337.46242222222224,336.3963555555557,332.73246666666665,336.47273333333334,328.53932222222215,334.3659222222222,327.13681111111094,332.06127777777766,329.5859999999999,337.6705000000001,334.8952333333333,308.5443444444445,314.3916777777777,316.4446222222221,319.92487777777785,322.48606666666666,323.84124444444444
10 day,325.3960000000001,325.276,324.06600000000003,322.86,320.798,317.054,314.05,310.613,307.00000000000006,300.4440000000001,293.59900000000005,292.758,293.983,296.54699999999997,299.554,308.751,312.35299999999995,316.233,323.58500000000004,326.319,333.01800000000003,334.296,334.92,335.47799999999995,335.158,335.564,334.596,334.771,334.0280000000001,333.496,333.098,330.68399999999997,328.51900000000006,327.20500000000004,325.70000000000005,325.06800000000004,324.161
10 min,320.0715,323.36760000000004,320.21049999999997,314.9737999999999,312.80910000000006,294.4461,293.3881,291.96200000000005,282.0323,294.1219,299.0789,304.28619999999995,307.97799999999995,317.8354,323.01149999999996,326.02849999999995,330.98519999999996,332.836,336.94440000000003,331.6611,337.8057,337.23760000000004,332.6019,336.4525,329.4569,334.4685,326.93330000000003,333.27449999999993,330.3884,337.4076,334.216,307.8283,314.3641,316.86650000000003,319.594,321.7516,324.64250000000004
100 day,334.93860000000006,334.5776000000002,334.19770000000017,333.6148000000002,332.90750000000014,332.4076000000002,331.93050000000017,331.5392000000002,331.00150000000014,329.81830000000014,328.3520000000001,327.8980000000001,327.4990000000001,327.2523000000001,327.0684000000001,326.7356000000001,326.6182000000001,326.4981000000001,326.3038000000001,326.1743000000001,326.0523000000001,325.9692000000001,325.79800000000006,325.6383,325.4035,325.28110000000004,325.09370000000007,325.01810000000006,324.93070000000006,324.8618000000001,324.7939000000001,324.4754000000001,324.2398000000001,324.0645000000001,323.8899000000001,323.71620000000013,323.5509000000001
125 day,331.49008000000015,331.62552000000017,331.7464000000002,331.94984000000017,332.1183200000001,332.10144000000014,332.06424000000015,332.03456000000017,331.9418400000001,331.8924000000001,332.0051200000001,332.09456000000006,332.16008000000005,331.84688000000006,331.5940800000001,331.29128000000003,331.15952000000004,331.03736,330.71696000000003,330.50512,330.02328,329.73832000000004,329.33064,329.26687999999996,329.18375999999995,329.20791999999994,329.15583999999996,329.0736,328.9374399999999,328.82287999999994,328.688,328.35712,328.10288,327.89384,327.72296,327.54624000000007,327.41816000000006
15 min,320.40953333333334,323.8614,320.24099999999993,314.78919999999994,312.7114,294.2147333333333,293.23639999999995,292.2885333333333,282.41453333333334,293.8706,299.1471333333333,304.1794666666666,308.32733333333334,317.90766666666667,323.23733333333337,326.0198,330.9556,332.817,336.88293333333337,331.6054,337.8071333333334,337.2821333333333,332.57026666666667,336.38699999999994,329.25573333333335,334.4535333333333,326.9345333333333,333.01093333333336,330.38026666666667,337.4634,334.42240000000004,307.88253333333336,314.27573333333333,316.8436666666667,319.6773333333333,321.7570666666667,324.63280000000003
150 day,324.54380000000015,324.8676666666669,325.17526666666686,325.38966666666687,325.5947333333335,325.7193333333335,325.7938666666669,325.87226666666686,325.8736000000002,325.98233333333354,326.2122000000001,326.3295333333334,326.4135333333334,326.5760000000001,326.7447333333335,327.1015333333334,327.28446666666673,327.47006666666675,327.85666666666674,328.0289333333334,328.6762666666667,328.9969333333334,329.26913333333334,329.5351999999999,329.753,330.00926666666663,330.2470666666666,330.52613333333335,330.81266666666664,331.4264666666666,331.67626666666666,331.7777333333333,331.88646666666665,331.6157333333333,331.38526666666667,331.2300666666667,331.1008
175 day,316.3604000000001,316.6473142857144,316.9625142857144,317.2876571428572,317.6052571428572,317.77474285714294,317.92731428571443,318.06954285714295,318.1564571428573,318.41822857142864,318.9426857142858,319.2020571428572,319.4583428571429,319.7376571428572,320.0150285714286,320.59028571428576,320.91360000000003,321.25120000000004,322.0008000000001,322.3569714285715,323.48245714285724,323.7957714285715,324.08451428571436,324.4314285714286,324.7085714285715,325.0166285714286,325.28782857142863,325.6084571428572,325.9011428571429,326.48914285714284,326.75788571428575,326.8815428571429,326.9999428571429,327.13085714285717,327.25851428571434,327.38782857142866,327.5368
