,2019-02-08
1 hr,1.0546666666666664
1 min,1.06
1.5 hr,1.0428444444444447
10 day,1.8579899999999998
10 min,1.0636
100 day,1.8036740000000009
125 day,2.1145392000000007
15 min,1.0670666666666666
150 day,2.6707413333333347
175 day,3.2471605714285716
2 day,1.5499999999999998
2 hr,1.038533333333334
2.5 hr,1.0411200000000007
20 day,1.9437450000000003
20 min,1.0683
200 day,3.6053840000000004
25 min,1.06844
3 hr,1.0454833333333333
3.5 hr,1.0503666666666671
30 day,1.5946466666666665
30 min,1.0675333333333334
4 hr,1.0538750000000008
4.5 hr,1.0579037037037042
40 day,1.4041850000000002
45 min,1.0618222222222222
5 day,1.75
5 hr,1.0635500000000015
5 min,1.0622
5.5 hr,1.06807878787879
50 day,1.3397080000000006
50 min,1.0589
55 min,1.0565454545454545
6 hr,1.0711000000000033
6.5 hr,1.0731205128205157
60 day,1.3860900000000003
70 day,1.4755057142857146
80 day,1.5720675000000006
90 day,1.6758600000000008
Tomorrow,1.075
