,2019-01-30,2019-02-05
1 hr,3.6072500000000023,3.8014166666666678
1 min,3.6,3.78
1.5 hr,3.608922222222228,3.8006666666666713
10 day,3.651,3.649
10 min,3.5978000000000003,3.7865
100 day,3.319650000000001,3.3514500000000003
125 day,3.222759999999999,3.2539599999999993
15 min,3.5982000000000003,3.7903333333333324
150 day,3.1800333333333324,3.199633333333332
175 day,3.09882857142857,3.1257428571428547
2 day,3.565,3.74
2 hr,3.608883333333341,3.7990833333333387
2.5 hr,3.606026666666678,3.795533333333332
20 day,3.655500000000001,3.7089999999999996
20 min,3.59865,3.7939999999999983
200 day,3.0393749999999993,3.059474999999998
25 min,3.6003999999999996,3.798799999999998
3 hr,3.602666666666681,3.795388888888881
3.5 hr,3.600761904761921,3.7973095238095134
30 day,3.652333333333334,3.629666666666667
30 min,3.6015999999999995,3.8006666666666655
4 hr,3.599641666666684,3.7985833333333194
4.5 hr,3.5963333333333516,3.801492592592585
40 day,3.71175,3.68975
45 min,3.605222222222223,3.8027777777777785
5 day,3.6079999999999997,3.66
5 hr,3.5945500000000137,3.8030833333333205
5 min,3.6,3.787
5.5 hr,3.5962424242424276,3.8036272727272564
50 day,3.6567999999999987,3.6963999999999992
50 min,3.6056000000000017,3.8024000000000013
55 min,3.606454545454547,3.802072727272729
6 hr,3.593969444444444,3.8064916666666453
6.5 hr,3.593471794871789,3.804692307692286
60 day,3.5599999999999983,3.611833333333332
70 day,3.4523571428571413,3.4937857142857136
80 day,3.3914374999999994,3.4226874999999994
90 day,3.3606111111111114,3.386055555555555
Tomorrow,3.63,3.73
