,2019-01-16,2019-01-17,2019-01-22
1 hr,6.134766666666659,6.163683333333333,6.09403333333333
1 min,6.14,6.2,6.1
1.5 hr,6.135577777777769,6.167233333333333,6.099244444444447
10 day,5.925,6.004,6.095999999999999
10 min,6.123500000000001,6.169499999999998,6.087400000000001
100 day,5.702493000000003,5.706732000000003,5.712011000000003
125 day,5.701411200000005,5.706156800000005,5.714217600000007
15 min,6.1240000000000006,6.164,6.0882666666666685
150 day,5.704144000000006,5.706086666666673,5.708414666666673
175 day,5.699819428571433,5.70420228571429,5.710800000000005
2 day,6.15,6.17,6.119999999999999
2 hr,6.134599999999992,6.170641666666663,6.102800000000005
2.5 hr,6.127446666666665,6.173953333333333,6.1063000000000045
20 day,5.6045,5.6530000000000005,5.739999999999999
20 min,6.1240000000000006,6.164499999999999,6.088600000000001
200 day,5.6951135000000015,5.698491500000002,5.703761000000002
25 min,6.127199999999998,6.167600000000001,6.0884800000000014
3 hr,6.12209444444444,6.174522222222229,6.109583333333342
3.5 hr,6.121128571428552,6.174928571428583,6.11502380952383
30 day,5.590476666666668,5.607033333333334,5.640619999999999
30 min,6.12933333333333,6.168,6.090066666666668
4 hr,6.119274999999972,6.176375000000017,6.12124583333336
4.5 hr,6.11724444444441,6.174888888888913,6.1269222222222535
40 day,5.624020000000001,5.63571,5.6541225
45 min,6.132888888888882,6.165999999999997,6.093155555555555
5 day,6.098,6.119999999999999,6.148
5 hr,6.115053333333293,6.170123333333355,6.132173333333368
5 min,6.1240000000000006,6.180999999999999,6.087999999999999
5.5 hr,6.1132272727272285,6.1667363636363905,6.137248484848521
50 day,5.661964,5.668604,5.681202000000001
50 min,6.133919999999993,6.164519999999997,6.092639999999997
55 min,6.134654545454537,6.163927272727271,6.092581818181814
6 hr,6.111849999999965,6.164302777777807,6.14045277777781
6.5 hr,6.10797179487177,6.162238461538484,6.143061538461558
60 day,5.64675,5.658578333333334,5.679406666666667
70 day,5.643700000000002,5.65107142857143,5.662284285714287
80 day,5.658297500000003,5.6628112500000025,5.6702012500000025
90 day,5.682973333333336,5.686742222222224,5.692188888888892
Tomorrow,6.2,6.14,6.09
