,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-18,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-05,2019-02-07,2019-02-08,2019-02-12
1 hr,1862.0537666666667,1853.0150500000002,1833.8800166666667,1805.58675,1723.1898333333334,1772.1556166666667,1636.9899833333338,1695.9969833333328,1720.1744166666665,1662.929466666667,1720.6763666666673,1716.273083333334,1695.1098,1653.497266666666,1681.9363833333332,1670.0266166666659,1759.1309500000004,1698.4909000000005,1799.9147333333324,1804.566833333333,1817.502683333333,1827.3404166666671,1832.643166666666,1909.1433333333332,1869.8772666666669,1868.7508333333337,1891.913966666666
1 min,1853.119,1856.59,1832.96,1806.8,1739.37,1768.44,1630.71,1705.72,1723.09,1662.68,1717.628,1711.77,1684.6,1649.48,1677.33,1664.48,1760.26,1709.81,1796.17,1802.19,1813.58,1818.57,1833.7,1903.22,1876.24,1870.0,1893.37
1.5 hr,1861.742177777778,1851.5280000000005,1833.7105444444453,1806.284833333334,1733.1401333333333,1774.4001222222219,1639.9777888888898,1692.8077777777773,1720.1226777777777,1663.481188888889,1723.4868000000008,1715.0412444444444,1698.4093111111106,1653.701177777777,1679.7388666666664,1668.9097222222215,1758.9423444444446,1697.4841777777774,1801.0774666666653,1805.2958666666666,1821.2079666666662,1825.844855555557,1833.4372111111106,1909.900977777778,1870.3268555555564,1869.3531777777778,1893.1944777777774
10 day,1862.904,1866.0580000000002,1862.42,1856.6190000000001,1841.3830000000003,1826.355,1775.886,1740.0580000000002,1706.027,1693.6149999999998,1691.7069999999997,1692.3709999999999,1697.7239999999997,1700.9900000000002,1698.398,1693.2069999999999,1694.798,1694.514,1714.8709999999999,1727.3579999999997,1742.1290000000001,1765.7600000000002,1780.984,1821.6300000000003,1846.0310000000002,1852.92,1866.7090000000003
10 min,1854.4593,1860.3849999999998,1832.5579999999998,1807.2675,1731.4368,1775.1855,1631.3336999999997,1701.3529999999998,1715.0383000000002,1664.7878,1718.3833000000002,1715.4748,1688.0298000000003,1647.4689999999998,1678.2264,1669.9638,1756.1509,1702.0539,1797.2305000000001,1801.9544999999998,1810.6125,1821.6876,1832.8724000000002,1905.1105,1873.5153000000003,1868.1200000000001,1896.3170000000002
100 day,1903.3229,1901.7876999999996,1900.1586999999997,1897.9675999999995,1894.7058999999997,1891.5687999999996,1880.8842999999997,1873.5230999999992,1863.248099999999,1857.2223999999987,1855.4212999999986,1853.9968999999985,1852.530599999999,1850.390599999999,1848.9139999999993,1847.1660999999992,1838.0121999999992,1835.7449999999992,1832.3921999999989,1830.974199999999,1829.5946999999987,1827.694299999999,1826.9273999999991,1826.3444999999986,1826.5974999999992,1826.1456999999991,1825.7298999999994
125 day,1936.2219199999997,1934.0866399999998,1931.6195999999995,1928.9149599999996,1925.7170399999995,1922.7062399999995,1913.1009599999998,1907.3265599999993,1899.8187999999993,1893.862319999999,1890.907279999999,1887.9486399999992,1884.9316799999992,1881.7047999999993,1878.6665599999997,1875.7421599999996,1863.436799999999,1861.1408799999992,1856.725199999999,1854.477759999999,1852.306319999999,1848.8573599999988,1847.334799999999,1843.0274399999985,1840.3154399999987,1839.7450399999987,1839.8119999999985
15 min,1856.4452000000003,1861.7913333333333,1832.88,1805.6126666666669,1727.8721333333333,1776.9448000000002,1631.5397999999996,1700.1306666666667,1715.7168666666669,1664.3462,1719.0952,1716.294666666667,1688.8058666666666,1647.7776,1679.6565999999998,1671.0475333333331,1756.6136,1701.9920000000004,1797.8873333333331,1803.2283333333332,1811.693933333333,1823.038066666667,1832.8242666666667,1906.7305333333336,1873.1979999999999,1867.8460000000002,1895.4938000000002
150 day,1964.1978666666673,1962.0149333333336,1960.3686000000002,1958.6029333333338,1956.386266666667,1954.3974000000003,1946.6984666666665,1941.1739999999995,1933.653333333332,1928.391933333332,1925.7827999999984,1923.0019999999988,1920.0761333333323,1916.7994666666657,1913.6231333333324,1910.5158666666655,1896.7443999999994,1893.8612666666659,1888.8979333333325,1886.6074666666661,1884.5481999999995,1881.0423999999996,1879.658599999999,1876.6727999999987,1874.5115999999991,1873.1911999999988,1870.469266666665
175 day,1986.614057142858,1985.3862857142863,1983.9118857142862,1982.618914285715,1980.8519428571437,1979.090971428572,1972.3645714285717,1966.9998857142857,1959.4863428571425,1954.822571428571,1952.765085714285,1950.4794857142856,1947.8806285714288,1944.8605714285716,1941.9916571428573,1939.2263428571428,1926.0175428571426,1923.8973142857137,1920.4457142857136,1918.9282857142855,1917.4369142857138,1914.4200571428564,1913.0557714285706,1909.33857142857,1907.037657142856,1905.7410285714273,1903.0120571428554
