,2018-12-20
1 hr,11.015950000000002
1 min,10.98
1.5 hr,11.007900000000005
10 day,11.309999999999999
10 min,10.970199999999998
100 day,14.338250000000002
125 day,15.086120000000006
15 min,10.97413333333333
150 day,15.816700000000004
175 day,16.25048571428572
2 day,11.165
2 hr,10.975808333333333
2.5 hr,10.974746666666665
20 day,12.2105
20 min,10.990849999999998
200 day,16.746475000000007
25 min,11.00468
3 hr,10.977399999999996
3.5 hr,10.977590476190473
30 day,12.403
30 min,11.012733333333335
4 hr,10.982274999999996
4.5 hr,10.986214814814813
40 day,12.512125000000001
45 min,11.03037777777778
5 day,11.118
5 hr,10.999706666666668
5 min,10.965
5.5 hr,11.014278787878785
50 day,12.5797
50 min,11.029140000000002
55 min,11.022127272727275
6 hr,11.026102777777773
6.5 hr,11.033287179487175
60 day,12.856250000000001
70 day,13.312500000000004
80 day,13.656812500000001
90 day,13.989944444444447
Tomorrow,10.74
