,2018-12-21,2018-12-26,2019-01-07,2019-01-08,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-02-13
1 hr,81.34824999999998,83.27261666666664,90.16375,92.51975000000002,95.24538333333335,95.91405,97.6054166666666,97.27100000000003,93.20306666666667,95.20078333333335
1 min,80.92,83.78,90.19,92.29,94.93,95.71,97.51,97.86,93.58,95.24
1.5 hr,81.46656666666665,83.20374444444442,90.14326666666668,92.47232222222222,95.22484444444443,96.0150111111111,97.67567777777774,97.36935555555556,93.18085555555555,95.26128888888888
10 day,90.23400000000001,88.009,84.404,85.542,90.60900000000001,91.684,93.015,94.074,94.749,95.989
10 min,81.05030000000001,83.469,90.20899999999999,92.53,94.89949999999999,95.72540000000001,97.6155,97.3935,93.54740000000001,95.075
100 day,97.55589999999997,97.16489999999997,96.03020000000001,95.92180000000002,95.57610000000003,95.51790000000003,95.50210000000003,95.49140000000001,95.3943,94.9674
125 day,97.88583999999999,97.71311999999998,97.17048,97.11392,96.7432,96.68736,96.64448,96.61079999999998,96.50352,95.77616
15 min,81.11186666666666,83.45426666666665,90.247,92.56133333333334,94.99433333333333,95.74813333333334,97.61066666666667,97.31900000000002,93.47959999999999,95.028
150 day,96.94426666666666,96.85726666666666,96.63439999999999,96.63593333333333,96.7128,96.75086666666667,96.80780000000001,96.8592,96.83293333333334,96.79386666666666
175 day,95.28862857142855,95.27022857142856,95.39371428571427,95.43937142857142,95.71148571428577,95.76142857142861,95.82257142857145,95.87537142857144,95.94068571428573,96.42988571428572
2 day,83.375,81.96000000000001,88.645,91.245,94.04,95.32,96.61,97.6,94.62,95.24000000000001
2 hr,81.5848083333333,83.17758333333329,90.17914166666664,92.43460833333332,95.37840833333334,96.05942499999998,97.56117499999999,97.39464166666666,93.20327500000002,95.33386666666667
2.5 hr,81.77706666666658,83.15264666666661,90.29040666666666,92.34899333333331,95.43732666666666,96.0265533333333,97.50757333333333,97.47269999999997,93.18965333333335,95.39296666666667
20 day,93.0305,91.68699999999998,87.90799999999999,87.88799999999999,87.871,88.03399999999999,88.43050000000001,89.021,90.1455,95.62500000000001
20 min,81.11114999999998,83.48969999999998,90.2505,92.5635,95.08785,95.7722,97.63199999999998,97.28735000000002,93.43794999999999,95.05825000000002
200 day,93.55964999999996,93.53289999999997,93.55929999999996,93.61399999999998,93.96135000000002,94.05345000000001,94.15390000000001,94.24665,94.41930000000002,95.40865000000002
25 min,81.07376,83.48327999999998,90.2456,92.5816,95.10888000000001,95.80235999999996,97.6682,97.25648000000001,93.39796,95.08684
3 hr,81.80346111111103,83.07783333333327,90.47411666666666,92.2724222222222,95.38395,95.95902777777778,97.48307777777777,97.54546666666663,93.1666888888889,95.4042722222222
3.5 hr,81.75745238095234,82.92751428571424,90.58848095238096,92.21120476190471,95.36094761904762,95.90959047619049,97.45685238095236,97.60503333333328,93.16051904761905,95.3990809523809
30 day,93.41300000000001,92.40333333333334,90.57733333333336,90.53433333333335,90.02833333333334,90.01766666666666,90.00833333333334,90.14166666666667,90.175,93.95300000000002
30 min,81.04916666666665,83.46259999999998,90.21949999999998,92.59999999999998,95.14266666666667,95.83129999999998,97.69803333333333,97.22236666666669,93.36006666666665,95.10036666666666
4 hr,81.72375416666665,82.79251666666664,90.65906666666663,92.14591666666661,95.31477500000001,95.87357499999997,97.4399,97.63532499999995,93.10747499999994,95.3952583333333
