,2018-12-26,2018-12-31,2019-01-03,2019-01-07,2019-01-08,2019-01-14,2019-01-18,2019-01-25,2019-02-04,2019-02-05
1 hr,15.229483333333338,16.05428333333332,16.54491666666666,17.20636666666667,17.019383333333316,17.72276666666667,17.456500000000013,17.76864999999999,18.544816666666655,18.653349999999996
1 min,15.45,16.11,16.52,17.18,17.0,17.675,17.46,17.79,18.56,18.69
1.5 hr,15.174666666666662,16.043433333333322,16.543844444444428,17.219377777777783,17.02326666666665,17.732788888888894,17.45960000000002,17.761711111111108,18.519322222222222,18.653222222222247
10 day,15.76,15.498000000000001,15.608,15.961999999999998,16.136999999999997,16.947,17.398000000000003,17.531000000000002,17.851999999999997,17.996
10 min,15.394,16.073599999999995,16.5541,17.1832,16.988999999999997,17.676,17.449999999999996,17.79,18.580499999999997,18.6595
100 day,18.641752999999994,18.581953000000002,18.550153,18.527053000000002,18.511353,18.437153000000002,18.338353000000005,18.237814999999998,18.170756999999995,18.164973999999997
125 day,18.217722399999996,18.220842400000006,18.238042400000005,18.267082400000003,18.279082400000007,18.321802400000003,18.337482400000006,18.3358024,18.3667624,18.3738024
15 min,15.377666666666666,16.0784,16.556066666666666,17.194799999999997,16.998666666666665,17.677666666666667,17.451999999999998,17.777666666666665,18.572999999999997,18.654666666666664
150 day,18.13073266666666,18.06874866666667,18.03808066666667,18.023632000000003,18.017352666666675,18.01018400000001,18.005035333333343,18.006568666666674,18.071435333333337,18.090968666666672
175 day,18.26989028571428,18.20064685714286,18.161165142857147,18.13704628571429,18.12312971428572,18.07594057142858,18.041934857142866,18.01341428571429,18.000473714285715,17.999134285714288
2 day,15.225,15.865000000000002,16.305,17.04,17.085,17.615000000000002,17.505,17.695,18.380000000000003,18.630000000000003
2 hr,15.142416666666659,16.056766666666643,16.559883333333314,17.24656666666666,17.016199999999987,17.736850000000004,17.468950000000017,17.756366666666658,18.507658333333325,18.662108333333364
2.5 hr,15.11936,16.076646666666655,16.56155333333333,17.26959333333333,17.007159999999974,17.741840000000025,17.477086666666693,17.75215333333331,18.488753333333317,18.66886666666668
20 day,16.573114999999998,16.29,16.1385,16.096,16.088,16.2395,16.582,17.034,17.625,17.701
20 min,15.3627,16.0828,16.559549999999998,17.199599999999993,16.999950000000002,17.685699999999997,17.453499999999995,17.769,18.569,18.657249999999998
200 day,18.462174499999993,18.400628,18.3734515,18.352544,18.341055000000004,18.301239000000002,18.253797000000006,18.1973005,18.133409500000003,18.129044000000004
25 min,15.348560000000004,16.07904,16.55944,17.20219999999999,17.001559999999998,17.69736,17.453199999999992,17.76636,18.5676,18.6574
3 hr,15.101811111111122,16.088788888888875,16.549777777777777,17.285355555555554,16.996838888888856,17.743200000000016,17.48076666666669,17.748488888888872,18.469788888888875,18.67345000000001
3.5 hr,15.087914285714294,16.08261428571428,16.54244285714285,17.287209523809533,16.986414285714254,17.741666666666674,17.4842285714286,17.744395238095212,18.45589523809523,18.679657142857142
30 day,17.081439999999997,16.787893333333333,16.666649999999997,16.62061,16.597076666666666,16.555333333333333,16.541,16.609333333333332,17.005333333333333,17.121333333333332
30 min,15.32926666666667,16.078666666666663,16.563533333333332,17.200833333333325,17.004133333333332,17.7037,17.453833333333325,17.764466666666667,18.5645,18.65733333333333
4 hr,15.072183333333337,16.061045833333328,16.538524999999996,17.282679166666682,16.97963749999997,17.73928333333334,17.48780833333336,17.740241666666638,18.44814999999998,18.684583333333318
4.5 hr,15.06182962962963,16.03115185185185,16.53651111111111,17.27651111111112,16.97209629629627,17.728522222222217,17.490292592592628,17.737111111111087,18.44024444444443,18.68712222222221
40 day,17.465052499999995,17.235804999999992,17.136274999999994,17.06662,17.026615,16.88477,16.82369,16.803557499999993,16.86875,16.898500000000002
45 min,15.269977777777777,16.06177777777777,16.55426666666666,17.208933333333334,17.015755555555543,17.715288888888892,17.454044444444452,17.768422222222213,18.558066666666658,18.650822222222217
5 day,15.248000000000001,15.536000000000001,15.968,16.558,16.738,17.336000000000002,17.562,17.48,18.15,18.34
5 hr,15.05681333333335,16.010433333333335,16.529093333333336,17.27516333333334,16.963853333333315,17.719006666666658,17.49261333333337,17.735049999999994,18.43011999999999,18.68729999999998
5 min,15.421000000000001,16.083199999999998,16.537,17.165,16.986,17.669,17.452999999999996,17.806,18.583,18.676000000000002
5.5 hr,15.054418181818194,15.99709696969697,16.509690909090917,17.26836363636364,16.964442424242407,17.719515151515136,17.495751515151554,17.734287878787875,18.425281818181816,18.691812121212095
50 day,17.811955999999995,17.582963999999993,17.461285999999994,17.378638,17.340737999999998,17.235121999999997,17.158158,17.062463999999995,17.029352,17.052766
