,2018-12-17,2018-12-20,2018-12-31,2019-01-04,2019-01-11,2019-01-14,2019-01-18,2019-01-23,2019-02-05
1 hr,32.915150000000004,29.51055,28.96756666666666,30.319033333333326,31.102999999999984,29.843583333333335,33.68653333333335,32.125166666666665,36.39551666666667
1 min,33.09,29.4,29.21,30.33,31.52,29.68,33.29,32.42,36.19
1.5 hr,33.003777777777785,29.598633333333332,28.965266666666654,30.332599999999996,31.106788888888886,29.95162222222222,33.71616666666667,32.03252222222222,36.45803333333333
10 day,35.314,33.718,30.278,29.545000000000005,30.811,30.728999999999996,31.534000000000002,31.661,34.53
10 min,33.008500000000005,29.403,29.038300000000003,30.443099999999998,31.4005,29.6844,33.480500000000006,32.3775,36.2051
100 day,44.49759999999999,43.57999999999999,41.93919999999999,41.1369,40.2268,40.0071,39.08630000000001,38.59530000000001,37.15510000000001
125 day,47.398239999999994,46.639199999999995,45.43384,44.8104,43.72832,43.46904000000001,42.49144000000001,42.013280000000016,40.267920000000004
15 min,32.885466666666666,29.412266666666664,29.008066666666664,30.450600000000005,31.286800000000003,29.7234,33.551333333333346,32.36566666666667,36.2318
150 day,49.349000000000004,49.004799999999996,47.962399999999995,47.36033333333334,46.34393333333333,46.128400000000006,45.23420000000001,44.82713333333334,43.443400000000004
175 day,49.030971428571426,48.72628571428571,48.120742857142865,47.86097142857143,47.479085714285716,47.38177142857143,46.99594285714287,46.79268571428573,45.90822857142858
2 day,34.625,29.825,29.87,29.345,31.665,30.615000000000002,32.31,32.415,36.05
2 hr,33.102050000000006,29.596341666666664,28.996941666666654,30.31511666666667,31.116458333333334,29.981575000000007,33.819625,31.99138333333333,36.49819166666668
2.5 hr,33.22987333333332,29.622766666666667,29.06925333333332,30.319880000000005,31.110880000000016,30.001166666666688,33.909046666666676,31.95336000000001,36.50437333333336
20 day,34.154500000000006,34.0625,32.9045,31.922500000000003,31.208500000000004,30.8505,30.539500000000004,30.899,33.076
20 min,32.8421,29.424600000000005,29.009849999999993,30.424950000000003,31.226599999999998,29.759050000000002,33.59600000000001,32.33175,36.27284999999999
200 day,48.693899999999985,48.50889999999998,47.97475,47.677600000000005,47.309200000000004,47.23910000000001,46.97150000000002,46.838600000000035,46.248200000000026
25 min,32.829440000000005,29.44308,29.017359999999993,30.39536,31.190679999999993,29.77736,33.63040000000001,32.26564,36.28124
3 hr,33.35125555555554,29.65800000000001,29.157066666666672,30.347038888888893,31.113072222222236,29.999744444444463,33.97042222222223,31.936216666666663,36.535555555555575
3.5 hr,33.442680952380954,29.650842857142873,29.261342857142864,30.36931428571429,31.111009523809535,29.982804761904788,33.97896190476191,31.917438095238097,36.558871428571436
30 day,35.90033333333334,34.50633333333334,32.849333333333334,32.580666666666666,32.486999999999995,32.33633333333333,31.793,31.661666666666665,31.96966666666667
30 min,32.833200000000005,29.455233333333336,29.022133333333326,30.372933333333332,31.160699999999995,29.78746666666667,33.65166666666667,32.21313333333333,36.30363333333333
4 hr,33.523795833333345,29.59587916666668,29.363266666666675,30.376608333333333,31.100862500000016,29.935862500000024,33.97741666666668,31.899224999999998,36.61735416666668
4.5 hr,33.58041111111111,29.530033333333346,29.43111481481483,30.35971111111111,31.086777777777794,29.90533703703706,33.945214814814825,31.8956962962963,36.68980740740742
40 day,37.011250000000004,36.251,34.79025,33.645250000000004,32.495,32.40125,32.319,32.3755,32.40675
45 min,32.8644888888889,29.49653333333333,28.989444444444437,30.33333333333333,31.106999999999992,29.797866666666668,33.66451111111113,32.169288888888886,36.35517777777778
5 day,35.516000000000005,32.274,29.865999999999996,29.644,31.978,31.613999999999997,31.089999999999996,32.053999999999995,35.501999999999995
5 hr,33.66452999999999,29.487446666666667,29.481753333333337,30.364246666666666,31.076526666666688,29.901126666666674,33.84320000000001,31.93748333333333,36.73655333333333
5 min,33.17,29.403,29.158000000000005,30.374000000000002,31.544,29.6878,33.397000000000006,32.428,36.192
5.5 hr,33.72947878787877,29.461621212121216,29.548448484848493,30.356793939393953,31.073469696969706,29.911609090909092,33.74438181818183,31.997139393939378,36.76448787878788
50 day,37.51140000000001,36.9542,35.792,35.14660000000001,34.3588,34.19,33.223,32.704800000000006,32.8068
50 min,32.887740000000015,29.50808,28.97677999999999,30.331479999999992,31.10199999999999,29.81108,33.67046000000002,32.1521,36.36272
55 min,32.906600000000005,29.505709090909093,28.970454545454537,30.327799999999993,31.103454545454532,29.825236363636368,33.674418181818204,32.13614545454545,36.3761090909091
6 hr,33.80034166666663,29.441825000000012,29.63663055555556,30.313158333333355,31.08431666666667,29.897272222222217,33.61535000000001,32.05416944444442,36.76706111111112
6.5 hr,33.90135641025637,29.471776923076927,29.73437435897436,30.2558871794872,31.107338461538472,29.9057564102564,33.498456410256416,32.14623333333331,36.76357435897435
60 day,39.017500000000005,38.175666666666665,36.45950000000001,35.8825,35.337833333333336,35.14233333333333,34.5445,34.28316666666667,33.23800000000001
70 day,40.07485714285714,39.37742857142857,37.985000000000014,37.19871428571429,36.07642857142858,35.85971428571429,35.26128571428571,35.10871428571429,34.41614285714287
80 day,41.785375,40.879374999999996,39.050875000000005,38.347375,37.477875,37.294125,36.49062500000001,36.10950000000001,35.085000000000015
90 day,42.97077777777777,42.16588888888888,40.75466666666667,39.92544444444445,38.611555555555555,38.36044444444445,37.590333333333334,37.29911111111112,36.10700000000001
Tomorrow,32.47,28.23,29.79,31.53,29.71,30.3,32.41,32.89,36.37
