,2019-02-05,2019-02-06,2019-02-12,2019-02-14
1 hr,44.06478333333334,44.15733333333334,44.561749999999996,43.64216666666665
1 min,44.02,44.16,44.51,43.52
1.5 hr,44.030922222222216,44.1753,44.546611111111126,43.67116666666665
10 day,42.532889999999995,42.63325,43.40899999999999,43.712
10 min,44.049,44.12499999999999,44.5225,43.523
100 day,45.673248000000015,45.602893000000016,45.347075,45.234081
125 day,46.30958720000002,46.29388560000002,46.1871064,46.10208240000001
15 min,44.09133333333333,44.13399999999999,44.52033333333333,43.562
150 day,46.09785133333333,46.087204666666665,46.02827066666666,45.99665666666666
175 day,46.46314228571428,46.450351428571416,46.37530742857141,46.33467714285713
2 day,43.605000000000004,44.08,44.055,43.81
2 hr,44.00738333333332,44.20810833333336,44.54457500000002,43.65905833333332
2.5 hr,43.97871333333332,44.24135333333336,44.5447666666667,43.67877333333331
20 day,42.520765,42.64368499999999,43.04548999999999,43.12381
20 min,44.104,44.13025,44.52625,43.599
200 day,46.568989999999964,46.544476499999966,46.43786249999996,46.393922999999965
25 min,44.1044,44.13719999999999,44.52732000000001,43.626999999999995
3 hr,43.98676666666666,44.26035000000003,44.540550000000046,43.670033333333315
3.5 hr,43.98895714285714,44.252199999999995,44.53750000000005,43.66933809523808
30 day,42.33403666666666,42.40801333333333,42.70876666666665,42.81545333333333
30 min,44.095499999999994,44.14133333333334,44.53336666666667,43.628166666666665
4 hr,43.981004166666665,44.230050000000006,44.534166666666735,43.67075416666667
4.5 hr,43.997985185185186,44.20341481481483,44.53716666666674,43.654577777777796
40 day,42.757835000000014,42.773707500000015,42.719767499999996,42.67921
45 min,44.076222222222206,44.15988888888891,44.548466666666656,43.62866666666667
5 day,42.902,43.248000000000005,43.916,43.830000000000005
5 hr,44.01418666666667,44.158403333333325,44.52941666666675,43.641420000000004
5 min,44.02400000000001,44.111999999999995,44.50599999999999,43.480000000000004
5.5 hr,44.01689696969698,44.11545757575755,44.49550000000008,43.64536666666667
50 day,43.48940800000001,43.417408000000016,43.180348,43.076758
50 min,44.072599999999994,44.16410000000002,44.552479999999996,43.6294
55 min,44.068400000000004,44.162090909090914,44.56279999999999,43.634363636363624
6 hr,44.0047638888889,44.08396111111108,44.45050833333342,43.64628055555555
6.5 hr,43.983076923076936,44.06673333333334,44.393230769230826,43.64347692307691
60 day,44.489138333333365,44.39260166666669,44.017515,43.84532833333333
70 day,45.03208000000003,44.98429000000003,44.75442714285716,44.62548571428573
80 day,45.20631375000002,45.197818750000025,45.10483250000001,45.02973500000001
90 day,45.214954444444466,45.17435888888891,45.084520000000005,45.07954666666667
Tomorrow,44.14,43.91,44.11,43.98
