,2018-12-20,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-18,2019-01-22,2019-01-23,2019-02-11,2019-02-12
1 hr,24.293366666666664,22.354833333333332,22.501266666666673,21.80044999999999,23.911583333333333,24.151583333333335,26.96746666666668,25.322233333333315,24.252033333333333,27.83061666666668,27.46740000000001
1 min,24.25,22.49,22.72,21.79,23.95,24.12,27.0,25.34,24.33,27.57,27.61
1.5 hr,24.259244444444448,22.326844444444443,22.530877777777782,21.827555555555552,23.863999999999997,24.1497,26.95525555555557,25.29731111111111,24.244277777777786,27.829944444444457,27.435811111111136
10 day,25.475,23.883000000000003,23.633,23.279000000000003,23.091,23.21,25.556,25.697999999999997,25.72,26.502,26.660000000000004
10 min,24.216,22.384000000000004,22.599999999999998,21.802999999999997,23.915999999999997,24.1025,26.944,25.3365,24.2243,27.627499999999998,27.5373
100 day,31.341449999999995,30.60305,30.5016,30.375099999999996,30.167800000000003,30.060699999999997,29.387800000000002,29.3092,29.212900000000005,28.405699999999996,28.3466
125 day,31.698679999999992,31.180039999999998,31.10156,31.008999999999997,30.84084,30.769639999999995,30.37324,30.313159999999996,30.2442,29.397759999999995,29.345999999999997
15 min,24.233999999999998,22.413666666666668,22.576999999999998,21.823999999999998,23.93166666666667,24.10866666666666,26.924666666666667,25.334333333333333,24.224533333333333,27.65233333333333,27.51553333333333
150 day,33.232166666666664,32.45616666666668,32.33856666666668,32.21923333333334,32.016833333333345,31.92276666666667,31.159500000000012,31.05336666666668,30.939300000000014,30.09089999999999,30.04383333333332
175 day,35.09185714285714,34.23202857142857,34.09008571428571,33.942542857142854,33.65934285714285,33.51717142857142,32.6219142857143,32.5207142857143,32.41174285714287,31.227514285714292,31.16568571428572
2 day,24.47,23.015,22.595,22.245,23.53,24.02,26.66,26.175,24.84,26.63,27.595
2 hr,24.159041666666678,22.338866666666654,22.57358333333333,21.834291666666676,23.870083333333323,24.175608333333344,26.958608333333334,25.32507500000001,24.26950833333335,27.85184166666667,27.39994166666669
