,2018-12-18,2019-01-02,2019-01-23
1 hr,13.808983333333327,14.382683333333329,15.03591666666666
1 min,13.81,14.56,15.02
1.5 hr,13.803811111111102,14.428322222222222,15.03117777777777
10 day,15.390999999999996,13.165000000000003,15.395
10 min,13.8265,14.431000000000001,15.045999999999998
100 day,19.27310000000001,18.83380000000001,18.346400000000006
125 day,19.290080000000003,18.935840000000006,18.375200000000007
15 min,13.840466666666668,14.415,15.056800000000003
150 day,18.644933333333338,18.59506666666668,18.51566666666667
175 day,17.764485714285723,17.798942857142865,18.026342857142865
2 day,13.89,13.780000000000001,15.18
2 hr,13.800466666666653,14.425625000000009,15.043783333333325
2.5 hr,13.787319999999994,14.409473333333338,15.026273333333323
20 day,16.889,14.523500000000002,14.691999999999998
20 min,13.843200000000001,14.4088,15.064199999999996
200 day,17.143650000000008,17.104375000000015,17.32877500000001
25 min,13.837360000000004,14.402279999999998,15.058959999999997
3 hr,13.78563333333333,14.404438888888896,15.010044444444421
3.5 hr,13.784800000000002,14.386861904761908,15.006804761904739
30 day,17.68633333333333,15.822333333333338,14.527
30 min,13.833633333333335,14.390733333333332,15.053233333333331
4 hr,13.776108333333326,14.363116666666661,15.00726249999998
4.5 hr,13.757907407407403,14.34084074074073,15.018196296296278
40 day,17.959249999999997,16.703250000000004,15.412750000000003
45 min,13.817622222222223,14.38437777777777,15.044488888888882
5 day,14.289999999999997,13.282000000000002,15.27
5 hr,13.742783333333328,14.322916666666655,15.050783333333317
5 min,13.809000000000001,14.45,15.044
5.5 hr,13.74013636363635,14.289987878787866,15.094142424242408
50 day,18.3112,17.1178,16.0888
50 min,13.814599999999999,14.381639999999996,15.039239999999996
55 min,13.812181818181813,14.380054545454541,15.03774545454545
6 hr,13.748522222222213,14.319549999999984,15.145094444444423
6.5 hr,13.760505128205121,14.290048717948698,15.176751282051255
60 day,19.063333333333336,17.568833333333334,16.590666666666667
70 day,19.452571428571435,18.35471428571429,16.994285714285713
80 day,19.48125000000001,18.74325000000001,17.57875
90 day,19.40277777777779,18.831777777777788,18.14155555555556
Tomorrow,13.36,14.41,14.97
