,2019-01-09,2019-02-08
1 hr,28.465566666666675,23.92268333333334
1 min,28.42,23.875
1.5 hr,28.460066666666687,23.92662222222224
10 day,25.758999999999997,28.160000000000004
10 min,28.388000000000005,23.896000000000004
100 day,32.721600000000024,29.942999999999998
125 day,33.546080000000025,32.09480000000001
15 min,28.410000000000007,23.92766666666667
150 day,34.23673333333336,32.864666666666686
175 day,34.407771428571436,33.58971428571431
2 day,27.675,26.575000000000003
2 hr,28.462083333333332,23.930258333333324
2.5 hr,28.470900000000007,23.931799999999985
20 day,25.632000000000005,28.015500000000003
20 min,28.41450000000001,23.944500000000005
200 day,33.809550000000016,33.66550000000001
25 min,28.425600000000014,23.947560000000003
3 hr,28.489666666666658,23.900833333333328
3.5 hr,28.507828571428565,23.85342857142856
30 day,26.27566666666667,27.373666666666665
30 min,28.431666666666683,23.95863333333334
4 hr,28.52669999999999,23.808474999999984
4.5 hr,28.54670370370369,23.82845555555553
40 day,26.525000000000006,26.87625
45 min,28.45600000000001,23.969888888888892
5 day,26.464,28.098000000000003
5 hr,28.56053333333333,23.835049999999974
5 min,28.386000000000003,23.874000000000002
5.5 hr,28.544490909090893,23.868884848484825
50 day,27.495600000000014,26.997
50 min,28.460680000000007,23.953380000000006
55 min,28.462981818181824,23.935672727272735
6 hr,28.54439722222221,23.838283333333315
6.5 hr,28.485656410256404,23.758492307692304
60 day,28.674166666666682,26.999999999999996
70 day,29.470142857142875,27.57657142857143
80 day,30.58575000000002,28.443625000000004
90 day,31.834000000000024,29.066666666666663
Tomorrow,28.43,24.44
