,2018-12-14
1 hr,34.909150000000004
1 min,34.76
1.5 hr,34.87680000000001
10 day,36.208000000000006
10 min,34.824
100 day,45.2046
125 day,43.385920000000006
15 min,34.827
150 day,41.69966666666667
175 day,40.439085714285724
2 day,35.22
2 hr,34.88191666666668
2.5 hr,34.91787333333337
20 day,37.5475
20 min,34.838499999999996
200 day,39.89125000000002
25 min,34.85059999999999
3 hr,34.962122222222256
3.5 hr,35.023676190476216
30 day,39.013999999999996
30 min,34.860833333333325
4 hr,35.08815416666668
4.5 hr,35.17040740740743
40 day,39.734500000000004
45 min,34.889244444444444
5 day,35.206
5 hr,35.249683333333344
5 min,34.812
5.5 hr,35.33863030303031
50 day,40.78039999999999
50 min,34.894380000000005
55 min,34.900709090909096
6 hr,35.41036944444444
6.5 hr,35.4234205128205
60 day,42.938666666666656
70 day,44.07171428571428
80 day,44.73324999999999
90 day,45.45288888888888
Tomorrow,33.02
