,2019-02-01,2019-02-07
1 hr,37.13438333333332,38.184983333333335
1 min,37.24,38.27
1.5 hr,37.122766666666664,38.12447777777777
10 day,37.288000000000004,37.536
10 min,37.2305,38.2325
100 day,37.99122099999999,37.843141999999986
125 day,38.73817919999999,38.62363919999999
15 min,37.218066666666665,38.223466666666674
150 day,39.09912266666666,39.03950799999999
175 day,39.51878628571429,39.42961085714285
2 day,37.19,38.03
2 hr,37.12093333333334,38.080108333333335
2.5 hr,37.153113333333344,38.07419333333335
20 day,36.464,37.04449999999999
20 min,37.20604999999999,38.2196
200 day,39.62093950000001,39.59361900000001
25 min,37.20023999999999,38.20648
3 hr,37.17574444444446,38.06032777777778
3.5 hr,37.1853523809524,38.04487619047619
30 day,35.36333333333334,36.08833333333333
30 min,37.19383333333333,38.2044
4 hr,37.20587083333336,38.01593750000002
4.5 hr,37.21779629629634,37.98474074074077
40 day,35.54725,35.62074999999999
45 min,37.16673333333331,38.210155555555566
5 day,37.236,37.81
5 hr,37.22358000000007,37.95412333333335
5 min,37.27,38.244
5.5 hr,37.23425454545462,37.95863636363638
50 day,36.158684,36.130369999999985
50 min,37.15635999999998,38.20424000000001
55 min,37.14505454545452,38.194254545454555
6 hr,37.239247222222296,37.9549027777778
6.5 hr,37.22635641025647,37.96917948717952
60 day,36.53019166666666,36.48592999999998
70 day,36.611039999999996,36.68363999999999
80 day,37.03375749999999,36.85572874999999
90 day,37.536802222222214,37.36995666666666
Tomorrow,37.83,37.55
