,2019-01-07,2019-01-16,2019-01-18
1 hr,13.550466666666667,13.880899999999995,14.150583333333344
1 min,13.62,13.87,14.31
1.5 hr,13.518555555555563,13.879099999999992,14.108133333333338
10 day,13.099,13.747000000000003,14.016
10 min,13.607500000000002,13.8744,14.3065
100 day,18.603100000000005,18.020300000000002,17.826700000000002
125 day,19.566840000000006,18.974600000000013,18.82060000000001
15 min,13.590333333333332,13.875599999999999,14.272333333333334
150 day,20.78676666666667,20.221566666666675,20.018500000000007
175 day,20.997057142857145,20.83888571428572,20.718257142857148
2 day,13.454999999999998,14.04,14.33
2 hr,13.50654166666668,13.879,14.114250000000006
2.5 hr,13.514433333333335,13.865599999999992,14.142460000000003
20 day,13.653000000000002,13.442000000000002,13.529
20 min,13.579000000000002,13.8762,14.232250000000002
200 day,20.184324999999998,20.190175,20.193075
25 min,13.571920000000002,13.87536,14.20004
3 hr,13.536477777777774,13.860827777777779,14.184261111111113
3.5 hr,13.552995238095228,13.858709523809534,14.22512857142857
30 day,14.555000000000003,13.949666666666667,13.834
30 min,13.565933333333335,13.875133333333334,14.195200000000002
4 hr,13.562720833333328,13.857975000000009,14.264320833333338
4.5 hr,13.5681037037037,13.866370370370374,14.290948148148154
40 day,15.044750000000004,14.63075,14.498249999999999
45 min,13.559733333333336,13.87842222222222,14.176022222222223
5 day,13.276,13.942000000000002,14.088
5 hr,13.565516666666662,13.874266666666669,14.304346666666664
5 min,13.613,13.8708,14.305000000000001
5.5 hr,13.54078181818182,13.880560606060612,14.312548484848486
50 day,15.382400000000008,14.975200000000005,14.895600000000002
50 min,13.559560000000001,13.87718,14.165500000000003
55 min,13.55650909090909,13.87761818181818,14.157272727272735
6 hr,13.50913333333333,13.90548055555556,14.312566666666672
6.5 hr,13.474161538461543,13.929353846153843,14.32042051282051
60 day,15.853000000000007,15.376500000000004,15.242833333333335
70 day,16.48685714285715,15.797571428571434,15.65614285714286
80 day,17.31100000000001,16.526875000000008,16.301625000000005
90 day,18.125888888888895,17.27155555555556,17.055111111111117
Tomorrow,14.05,14.36,13.24
