,2018-12-12
1 hr,104.7969
1 min,104.43
1.5 hr,104.93195555555553
10 day,105.07000000000001
10 min,104.479
100 day,102.57926500000004
125 day,102.69646000000004
15 min,104.57733333333333
150 day,102.7359693333334
175 day,103.28045485714293
2 day,103.935
2 hr,105.15141666666666
2.5 hr,105.30276000000002
20 day,106.89541000000001
20 min,104.65725
200 day,104.75982500000008
25 min,104.69792
3 hr,105.38105000000002
3.5 hr,105.33726190476195
30 day,108.14434000000003
30 min,104.71910000000001
4 hr,105.30562083333338
4.5 hr,105.23703333333337
40 day,107.36117750000003
45 min,104.742
5 day,104.258
5 hr,105.1710866666667
5 min,104.36800000000001
5.5 hr,105.09885151515151
50 day,105.59826200000002
50 min,104.76387999999999
55 min,104.78207272727272
6 hr,104.99855277777776
6.5 hr,104.9620179487179
60 day,105.02139833333335
70 day,104.81147571428573
80 day,104.16792625000002
90 day,102.92749111111118
Tomorrow,102.86
