,2019-02-14
1 hr,170.4136833333334
1 min,170.34
1.5 hr,170.40317777777778
10 day,169.073
10 min,170.3675
100 day,163.14530199999993
125 day,160.19514559999996
15 min,170.40633333333338
150 day,157.69511866666662
175 day,157.59439999999998
2 day,169.70499999999998
2 hr,170.40724999999995
2.5 hr,170.35753333333335
20 day,168.57999999999998
20 min,170.46670000000003
200 day,157.42340849999994
25 min,170.52476000000001
3 hr,170.33900000000003
3.5 hr,170.30961428571428
30 day,167.44640999999996
30 min,170.54563333333337
4 hr,170.2952833333334
4.5 hr,170.21810000000005
40 day,165.86467749999997
45 min,170.47784444444451
5 day,169.24200000000002
5 hr,170.10807333333338
5 min,170.32600000000002
5.5 hr,170.01589393939403
50 day,167.25083999999995
50 min,170.4472200000001
55 min,170.43083636363647
6 hr,169.92347777777786
6.5 hr,169.80062564102582
60 day,168.59465166666664
70 day,168.42224142857137
80 day,167.1766262499999
90 day,165.2622666666666
Tomorrow,170.63
