,2018-12-20,2019-02-07,2019-02-14
1 hr,45.333166666666656,48.657133333333334,48.89711666666667
1 min,45.39,48.73,48.86
1.5 hr,45.31787777777777,48.67214444444445,48.885433333333346
10 day,46.824,48.400999999999996,48.966
10 min,45.24900000000001,48.736000000000004,48.89919999999999
100 day,51.036415999999974,49.44744999999999,49.14217199999999
125 day,51.308152,50.111736799999974,50.05650879999998
15 min,45.254,48.75066666666667,48.90146666666666
150 day,51.25464866666667,50.362328,50.19921866666666
175 day,50.63388285714287,50.59555485714285,50.55009600000001
2 day,45.325,48.75,48.78
2 hr,45.221616666666655,48.683966666666684,48.87282500000002
2.5 hr,45.20812666666667,48.69184000000001,48.86161333333337
20 day,47.741499999999995,48.205,48.37349999999999
20 min,45.2935,48.765,48.91009999999999
200 day,49.599653000000046,50.24665650000001,50.31757300000001
25 min,45.34439999999999,48.738200000000006,48.922079999999994
3 hr,45.20232222222223,48.682138888888886,48.8524277777778
3.5 hr,45.179385714285736,48.64664285714284,48.82133333333336
30 day,48.19600666666666,47.422,48.027666666666654
30 min,45.360666666666674,48.716166666666666,48.91556666666668
4 hr,45.16077916666668,48.60770833333334,48.78856250000003
4.5 hr,45.1737851851852,48.56259259259259,48.76024074074078
40 day,48.75959249999998,47.05225,47.22125
45 min,45.37468888888888,48.6751111111111,48.910155555555576
5 day,45.67999999999999,49.168,48.763999999999996
5 hr,45.21995666666669,48.5431,48.73930333333335
5 min,45.304,48.732,48.8844
5.5 hr,45.27509696969699,48.559206060606066,48.73469393939397
50 day,49.08588199999996,47.3384,47.33800000000001
50 min,45.366400000000006,48.67159999999999,48.902740000000016
55 min,45.347272727272724,48.66327272727273,48.8983090909091
6 hr,45.32209722222224,48.574491666666674,48.738450000000064
6.5 hr,45.34691794871797,48.5715564102564,48.72178717948724
60 day,49.95525166666663,47.54766166666666,47.55050000000002
70 day,50.637171428571385,47.963321428571426,47.837500000000006
80 day,51.05808874999997,48.311027499999994,48.22577375000001
90 day,51.18631999999997,48.84169666666666,48.492282222222215
Tomorrow,43.71,48.67,48.79
