,2019-02-05
1 hr,9.767650000000005
1 min,9.76
1.5 hr,9.751100000000013
10 day,9.559000000000001
10 min,9.766
100 day,8.5867
125 day,8.79704
15 min,9.7716
150 day,9.239333333333336
175 day,9.642342857142859
2 day,9.774999999999999
2 hr,9.743366666666683
2.5 hr,9.738186666666685
20 day,9.182000000000002
20 min,9.7767
200 day,9.950999999999999
25 min,9.77856
3 hr,9.737488888888906
3.5 hr,9.740800000000014
30 day,8.613333333333337
30 min,9.778799999999997
4 hr,9.743325000000015
4.5 hr,9.749900000000018
40 day,8.385250000000003
45 min,9.780533333333334
5 day,9.666
5 hr,9.755526666666691
5 min,9.759199999999998
5.5 hr,9.760903030303052
50 day,8.4366
50 min,9.775580000000003
55 min,9.771072727272731
6 hr,9.76781388888891
6.5 hr,9.776102564102583
60 day,8.4785
70 day,8.535500000000003
80 day,8.535937500000001
90 day,8.540000000000001
Tomorrow,9.82
