,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-14,2019-01-15,2019-01-16,2019-01-22,2019-02-11,2019-02-12
1 hr,13.954366666666665,13.680649999999993,12.755533333333323,12.236316666666664,11.448733333333335,11.116733333333336,10.48891666666667,10.228733333333334,10.885699999999993,10.99718333333334,11.211133333333331,11.81056666666667,12.669283333333334,12.852183333333327,13.203366666666675,13.292083333333327,13.453966666666664,13.809883333333344,13.221550000000002,12.264050000000003,12.346999999999996
1 min,13.86,13.67,12.73,12.2,11.4,11.14,10.49,10.25,11.0,11.02,11.31,11.805,12.68,12.89,13.23,13.3,13.5,13.76,13.2,12.33,12.33
1.5 hr,13.985844444444433,13.663499999999988,12.76855555555554,12.25943333333333,11.474877777777776,11.190433333333337,10.489244444444449,10.23048888888889,10.829911111111114,10.958400000000005,11.2241,11.81197777777778,12.633255555555555,12.863788888888891,13.198711111111129,13.292922222222218,13.411977777777775,13.820311111111119,13.256311111111113,12.264533333333333,12.362977777777774
10 day,15.229999999999999,15.019000000000002,14.689000000000002,14.357,13.866,13.383000000000001,12.928000000000003,12.428,11.677000000000001,10.939,10.848999999999998,10.903999999999998,11.123,11.39,11.708,12.374,12.622000000000002,12.868,13.420999999999998,12.909,12.841999999999999
10 min,13.893,13.676999999999998,12.729,12.186,11.43,11.1171,10.4553,10.211500000000001,10.966,11.0054,11.227300000000001,11.7905,12.6705,12.861500000000001,13.202000000000002,13.320000000000002,13.493500000000001,13.782500000000002,13.199499999999997,12.279,12.296
100 day,18.821800000000003,18.786000000000005,18.7388,18.683600000000002,18.622100000000003,18.5591,18.483500000000003,18.406100000000002,18.249000000000002,18.0392,17.9683,17.829799999999995,17.776699999999995,17.722399999999997,17.680999999999997,17.5479,17.502,17.4575,17.3095,16.3474,16.2605
125 day,18.597120000000007,18.57616000000001,18.546080000000007,18.505280000000006,18.455280000000002,18.40616,18.3464,18.286319999999996,18.156959999999994,17.989679999999996,17.939599999999995,17.844319999999993,17.79799999999999,17.754559999999994,17.715679999999992,17.60504,17.57416,17.54512,17.455920000000006,16.885440000000003,16.840160000000004
15 min,13.905000000000003,13.681000000000001,12.722999999999997,12.172,11.435,11.1134,10.450866666666665,10.199000000000002,10.948,11.019266666666665,11.217199999999998,11.799000000000003,12.666666666666664,12.869000000000002,13.204266666666667,13.304666666666668,13.494666666666665,13.784666666666668,13.203,12.283066666666667,12.292
150 day,18.543200000000006,18.498066666666674,18.452600000000004,18.40353333333334,18.34806666666667,18.294866666666675,18.233200000000007,18.17006666666667,18.042933333333337,17.887733333333337,17.845133333333333,17.757866666666665,17.729599999999998,17.706599999999998,17.68513333333333,17.612066666666667,17.588733333333337,17.5646,17.502733333333335,17.054933333333334,17.014000000000003
175 day,18.48954285714286,18.467485714285715,18.444457142857143,18.419485714285717,18.387371428571427,18.352,18.314399999999996,18.273599999999995,18.19462857142857,18.060971428571428,18.015828571428568,17.936628571428567,17.905199999999997,17.877085714285712,17.846914285714284,17.75634285714285,17.727885714285712,17.698114285714283,17.58914285714286,17.093600000000006,17.067371428571434
2 day,13.915,13.77,13.195,12.46,11.8,11.27,10.815000000000001,10.355,10.53,10.93,11.16,11.545,12.245000000000001,12.785,13.055,13.165,13.4,13.629999999999999,13.695,12.295,12.33
2 hr,14.038549999999997,13.642099999999983,12.782333333333314,12.273366666666652,11.504308333333325,11.245825000000014,10.45349166666666,10.246466666666665,10.798133333333347,10.920733333333336,11.228200000000003,11.814924999999986,12.611108333333336,12.851608333333337,13.197791666666687,13.331649999999994,13.39343333333332,13.822191666666667,13.294175000000008,12.282466666666663,12.371566666666672
2.5 hr,14.096006666666662,13.634453333333322,12.78754666666664,12.289206666666647,11.524153333333324,11.309220000000007,10.425579999999986,10.265419999999986,10.780646666666684,10.893253333333337,11.246993333333338,11.805013333333322,12.59896666666667,12.829240000000002,13.185093333333352,13.370166666666663,13.372993333333316,13.81162,13.314313333333347,12.291106666666659,12.389980000000001
20 day,15.882,15.751000000000001,15.568000000000001,15.322,15.011500000000003,14.698000000000002,14.407000000000002,14.089500000000005,13.535500000000003,12.814000000000002,12.602999999999998,12.143499999999998,12.025499999999997,11.909,11.839500000000001,11.741500000000002,11.780500000000002,11.858500000000003,12.272000000000002,13.133499999999998,13.084999999999997
20 min,13.92125,13.6875,12.7185,12.16935,11.433750000000002,11.1028,10.462399999999999,10.190750000000001,10.94325,11.030449999999998,11.208899999999998,11.798250000000001,12.655999999999999,12.866500000000002,13.20145,13.29375,13.497500000000002,13.782,13.210249999999998,12.292800000000002,12.3005
200 day,18.476850000000006,18.449800000000007,18.415900000000008,18.377250000000007,18.333950000000005,18.292650000000005,18.253300000000003,18.214100000000002,18.13875,18.02805,17.99345,17.927049999999998,17.89575,17.86945,17.8446,17.77425,17.75,17.73015,17.676,17.333050000000004,17.303800000000003
25 min,13.923200000000001,13.691199999999997,12.715399999999997,12.174679999999999,11.435599999999999,11.107439999999999,10.47092,10.183600000000002,10.944600000000001,11.028559999999997,11.196919999999999,11.795520000000002,12.656399999999998,12.873399999999998,13.201159999999998,13.290799999999997,13.4904,13.7876,13.194600000000001,12.29104,12.31
