,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-14,2019-02-15
1 hr,54.082583333333304,53.1497,53.736549999999966,55.47648333333335,56.48889999999999,57.205799999999996,58.196933333333305
1 min,54.28,53.17,53.79,55.26,56.25,57.29,58.21
1.5 hr,54.04667777777778,53.1788111111111,53.807344444444425,55.44970000000003,56.499822222222235,57.183577777777764,58.17002222222218
10 day,50.671,50.882999999999996,51.094,51.886,52.386,54.02,54.943000000000005
10 min,54.119499999999995,53.089999999999996,53.83200000000001,55.36,56.432,57.230500000000006,58.202
100 day,53.305331,53.21978099999999,53.13145900000001,52.98102700000001,52.905339999999995,52.78680699999999,52.73889499999999
125 day,54.979468000000004,54.8985264,54.81816960000002,54.68376320000002,54.62539280000001,54.55979119999999,54.53715199999999
15 min,54.17933333333333,53.07533333333333,53.83846666666667,55.36633333333334,56.46533333333333,57.23833333333334,58.24100000000001
150 day,56.61395199999997,56.53575866666664,56.462031333333314,56.32131466666666,56.25377466666664,56.12537199999996,56.06738399999998
175 day,57.75467942857142,57.6968897142857,57.64253085714286,57.541997142857156,57.496987428571416,57.40986057142855,57.37315885714284
2 day,51.815,53.724999999999994,53.485,55.31,55.745000000000005,56.89,57.735
2 hr,53.975833333333306,53.231683333333315,53.768699999999974,55.46565833333334,56.541108333333334,57.18044166666664,58.12812499999998
2.5 hr,53.95731333333332,53.32411333333332,53.745033333333296,55.48160000000001,56.581860000000006,57.165333333333294,58.1127733333333
20 day,50.3005,50.4865,50.7095,51.258500000000005,51.577,52.278000000000006,52.67900000000001
20 min,54.20724999999999,53.05800000000001,53.833349999999996,55.37774999999999,56.483999999999995,57.249,58.24375000000001
200 day,58.53424899999999,58.47648849999999,58.42411149999999,58.338079,58.29824899999998,58.217596499999964,58.18478749999998
25 min,54.213999999999984,53.059,53.813599999999994,55.389119999999984,56.4862,57.25531999999999,58.23600000000001
3 hr,53.85694444444444,53.366722222222194,53.67762222222219,55.48552777777777,56.59625000000001,57.155944444444465,58.10861111111114
3.5 hr,53.75882380952381,53.393185714285686,53.61634285714282,55.48879523809525,56.59425238095237,57.14832857142859,58.103980952380994
30 day,49.28999999999999,49.543,49.836666666666666,50.42133333333332,50.71966666666665,51.31266666666666,51.66666666666666
30 min,54.198666666666654,53.07783333333334,53.78399999999999,55.409766666666656,56.493500000000004,57.2441,58.22066666666669
4 hr,53.672924999999985,53.43504166666665,53.57183749999998,55.49323333333333,56.57352916666669,57.130995833333344,58.10967083333339
4.5 hr,53.55742592592589,53.485281481481465,53.55554074074071,55.50526296296298,56.53722962962962,57.101637037037044,58.103418518518566
40 day,48.830000000000005,48.959500000000006,49.10450000000001,49.462,49.66224999999999,50.141999999999996,50.430249999999994
45 min,54.119422222222205,53.138222222222225,53.73495555555553,55.450288888888885,56.49700000000001,57.219111111111125,58.19433333333333
5 day,50.006,50.932,51.912,54.376,54.766000000000005,56.128,56.69200000000001
5 hr,53.43342666666664,53.55735333333332,53.54879666666663,55.529813333333344,56.496776666666676,57.05937333333334,58.07749333333338
5 min,54.18299999999999,53.087,53.794000000000004,55.30400000000001,56.330000000000005,57.260000000000005,58.146
5.5 hr,53.29672121212119,53.63763636363636,53.55632121212117,55.54987575757574,56.44023030303034,57.01617878787878,58.05897878787882
50 day,49.025102000000025,49.09767200000002,49.178456000000025,49.40979600000002,49.53280000000001,49.7998,49.94559999999999
50 min,54.09847999999998,53.1492,53.73235999999998,55.46076000000001,56.494400000000006,57.214160000000014,58.19867999999999
55 min,54.086399999999976,53.14967272727274,53.733054545454515,55.469163636363646,56.491618181818176,57.21141818181818,58.200981818181795
6 hr,53.10594166666665,53.69839444444443,53.54459444444439,55.577005555555516,56.39373611111114,56.97092777777777,58.036305555555586
6.5 hr,52.91982564102563,53.74472820512821,53.50354102564097,55.59197948717943,56.34529487179489,56.928830769230736,58.004310256410264
60 day,49.23778500000002,49.24392333333334,49.292798333333344,49.46547500000001,49.56349166666667,49.79980166666667,49.93231166666667
70 day,50.3370042857143,50.28856857142859,50.2438642857143,50.217395714285736,50.20826000000001,50.19958714285715,50.211757142857145
80 day,51.191703750000016,51.144088750000016,51.107713750000016,51.07433375000002,51.05786625000001,51.03569625000001,51.049211250000006
90 day,52.25793222222223,52.160439999999994,52.06839777777779,51.91465444444448,51.85260222222223,51.766096666666655,51.751301111111104
Tomorrow,53.16,53.81,55.37,56.24,56.5,58.19,NULL
