,2018-12-13,2018-12-19,2019-01-18,2019-01-22
1 hr,28.180083333333332,25.312516666666667,24.597183333333323,24.915616666666658
1 min,27.91,25.34,24.65,25.04
1.5 hr,28.268322222222228,25.474500000000003,24.613566666666667,24.87384444444443
10 day,27.984,26.679000000000002,24.893,24.848
10 min,28.036,25.3459,24.5985,24.9875
100 day,23.4746,24.0053,25.51969999999999,25.55509999999999
125 day,21.378079999999994,21.713599999999992,23.523679999999985,23.62431999999999
15 min,28.075200000000002,25.3324,24.608999999999998,25.00513333333333
150 day,19.988733333333325,20.38099999999999,21.790533333333318,21.85226666666665
175 day,18.50554285714284,18.894742857142838,20.514285714285695,20.593657142857126
2 day,27.785,25.425,24.255000000000003,24.835
2 hr,28.291058333333343,25.604433333333343,24.57189999999999,24.82594166666664
2.5 hr,28.258913333333343,25.822580000000006,24.49895333333332,24.826506666666653
20 day,27.716499999999996,27.235999999999997,23.893000000000004,23.998
20 min,28.099399999999996,25.334849999999996,24.61275,25.040199999999995
200 day,17.016399999999983,17.41374999999998,19.137349999999977,19.22024999999998
25 min,28.107519999999994,25.36088,24.602199999999993,25.019759999999998
3 hr,28.211722222222225,25.9395611111111,24.431088888888866,24.807761111111102
3.5 hr,28.186685714285726,26.027723809523806,24.380690476190463,24.788985714285705
30 day,27.467333333333332,27.308666666666667,24.821666666666662,24.72633333333333
30 min,28.120266666666666,25.361233333333335,24.593166666666658,24.998133333333328
4 hr,28.164254166666684,26.090433333333337,24.35174999999999,24.76404999999999
4.5 hr,28.10057037037038,26.117159259259264,24.299314814814803,24.750162962962964
40 day,26.666249999999998,26.748999999999995,25.564499999999992,25.564249999999994
45 min,28.140844444444454,25.343488888888885,24.585888888888878,24.962911111111104
5 day,27.242,26.116000000000003,23.556000000000004,24.148
5 hr,28.009476666666682,26.128199999999996,24.250393333333328,24.732380000000003
5 min,27.962,25.3702,24.563,25.011
5.5 hr,27.933318181818183,26.168484848484844,24.214178787878787,24.693830303030307
50 day,26.097599999999996,26.116399999999995,25.9424,25.893199999999997
50 min,28.14912000000001,25.33574,24.585999999999984,24.94533999999999
55 min,28.165018181818187,25.316999999999997,24.58719999999999,24.927218181818176
6 hr,27.921675000000004,26.188319444444428,24.167966666666658,24.65277222222221
6.5 hr,27.92244102564102,26.156453846153827,24.141925641025637,24.605792307692305
60 day,26.26633333333333,26.23983333333333,25.796999999999993,25.820999999999994
70 day,26.202,26.20057142857143,25.481142857142853,25.497285714285706
80 day,25.632125000000002,25.926375,25.653124999999996,25.614374999999995
90 day,24.60311111111111,25.059000000000005,25.687777777777764,25.68888888888888
Tomorrow,27.44,22.95,25.05,25.89
