,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-16,2019-01-18,2019-01-22,2019-01-29,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13
1 hr,44.15846666666669,42.264833333333335,42.91461666666666,41.90379999999998,41.67603333333332,40.94541666666666,42.15799999999998,43.38576666666666,43.11118333333332,41.62031666666666,43.451600000000006,43.59544999999999,43.885116666666676,45.35273333333334,46.44993333333334,45.55666666666664,46.35498333333335,48.60315,49.7418166666667,50.105650000000004,50.49178333333332,50.496016666666655,50.85708333333334,52.121033333333344,51.5655
1 min,44.12,42.32,43.06,42.1,41.56,40.69,42.56,43.49,43.22,41.52,43.42,43.67,43.85,45.37,46.62,45.8,46.3,48.67,49.69,50.08,50.49,50.57,50.84,52.12,51.37
1.5 hr,44.12243333333336,42.2964888888889,42.93677777777778,42.107533333333315,41.67316666666665,41.02233333333332,42.07815555555553,43.3935,43.18284444444444,41.66776666666665,43.41767777777779,43.60783333333331,43.88823333333334,45.37512222222221,46.40747777777779,45.55958888888889,46.33654444444446,48.541222222222224,49.8029666666667,50.1225222222222,50.41905555555558,50.498388888888876,50.842255555555575,52.095155555555536,51.583077777777795
10 day,44.24900000000001,43.886,43.571,43.307,43.063,42.864999999999995,42.434000000000005,42.285000000000004,42.377,42.223,42.525999999999996,42.824,43.178,43.95200000000001,44.709,44.94500000000001,45.955,46.736000000000004,47.043000000000006,47.473,47.973,48.437,49.307,49.89,50.278
10 min,44.122,42.229499999999994,43.1315,42.112,41.471500000000006,40.753,42.472,43.3085,43.1665,41.617000000000004,43.42889999999999,43.6169,43.790499999999994,45.3315,46.5245,45.596500000000006,46.3255,48.66449999999999,49.68599999999999,50.0739,50.51100000000001,50.56849999999999,50.86749999999999,52.14949999999999,51.3895
100 day,44.62950000000001,44.561800000000005,44.5299,44.498400000000004,44.4749,44.4409,44.383,44.33509999999999,44.3167,44.2787,44.239900000000006,44.2166,44.2007,44.17080000000001,44.162500000000016,44.15190000000001,44.1105,44.15730000000001,44.189300000000024,44.22550000000001,44.27160000000001,44.3143,44.415499999999994,44.48459999999999,44.5479
125 day,44.615680000000005,44.57912,44.56208,44.53960000000001,44.52112,44.49992,44.47200000000001,44.47239999999999,44.46775999999999,44.44431999999999,44.41976,44.41087999999999,44.404879999999984,44.378319999999995,44.394239999999996,44.39928,44.423759999999994,44.51504,44.5544,44.59431999999999,44.63687999999999,44.68095999999999,44.77071999999999,44.82487999999999,44.86776
15 min,44.14766666666666,42.201800000000006,43.12466666666668,42.051066666666664,41.49566666666667,40.803000000000004,42.417666666666676,43.33066666666666,43.135999999999996,41.647266666666674,43.4416,43.603933333333345,43.79833333333333,45.318,46.51606666666667,45.600666666666676,46.34466666666666,48.65733333333333,49.693000000000005,50.078933333333346,50.52933333333335,50.56733333333333,50.86826666666666,52.146666666666654,51.410666666666664
150 day,44.334666666666664,44.34193333333333,44.355199999999996,44.36226666666667,44.362533333333324,44.35513333333333,44.34739999999999,44.37026666666666,44.37839999999999,44.374199999999995,44.381,44.38266666666666,44.383733333333325,44.40213333333333,44.42106666666667,44.42613333333333,44.4708,44.56720000000001,44.61113333333334,44.65626666666667,44.70099999999999,44.74613333333332,44.82886666666665,44.87726666666665,44.92113333333332
175 day,43.55805714285715,43.634514285714296,43.669142857142866,43.699942857142865,43.72331428571429,43.74268571428572,43.78417142857143,43.88508571428571,43.92217142857143,43.9304,43.971714285714285,43.99291428571428,44.014571428571415,44.13662857142856,44.19205714285714,44.21234285714285,44.342057142857136,44.44679999999999,44.488857142857135,44.533714285714275,44.58079999999999,44.629771428571416,44.72771428571427,44.7786857142857,44.824057142857136
2 day,44.25,42.765,42.69,42.58,41.825,41.125,41.45,43.41,43.355,42.379999999999995,43.34,43.545,43.760000000000005,45.32,46.18,46.2,46.379999999999995,48.355000000000004,49.185,49.885,50.28,50.53,50.875,51.485,51.745000000000005
2 hr,44.09788333333337,42.31665833333332,42.9849,42.237541666666644,41.560875,41.09570833333332,42.02835833333332,43.407516666666666,43.222624999999994,41.686783333333324,43.43438333333335,43.608091666666645,43.89135000000002,45.36375833333334,46.39984166666667,45.60396666666668,46.353291666666685,48.49901666666665,49.819758333333375,50.096525,50.38445833333336,50.49145833333332,50.84665833333337,52.084775000000015,51.562674999999984
2.5 hr,44.11698666666668,42.33219333333332,43.009253333333334,42.42421333333332,41.53764666666665,41.178433333333324,41.991019999999985,43.446326666666685,43.2527,41.70369333333334,43.46887333333334,43.58802666666665,43.91254000000003,45.34514666666669,46.390953333333336,45.636766666666695,46.38184666666669,48.48813333333331,49.81632000000005,50.05222,50.369760000000035,50.504760000000005,50.832713333333366,52.05091999999999,51.54177999999999
20 day,44.03599999999999,43.814499999999995,43.67999999999999,43.646,43.589999999999996,43.4715,43.309000000000005,43.222,43.1315,42.897000000000006,42.7945,42.844500000000004,42.868,43.16450000000001,43.5245,43.735500000000016,44.757,45.554500000000004,45.876000000000005,46.209,46.5495,46.886,47.535,47.9225,48.227
