,2018-12-20,2018-12-21,2019-01-08,2019-02-07
1 hr,80.50543333333333,77.53153333333331,80.30046666666665,90.68638333333335
1 min,80.6,77.28,80.29,91.03
1.5 hr,80.43248888888888,77.6381111111111,80.2686777777778,90.5634888888889
10 day,87.65599999999999,86.239,78.728,84.194
10 min,80.29899999999999,77.15259999999998,80.34309999999999,90.97740000000002
100 day,86.77740299999999,86.71451099999999,86.09556500000001,85.14160199999998
125 day,86.1583048,86.1216712,85.87465759999999,85.43933199999998
15 min,80.33313333333332,77.20006666666664,80.36940000000001,90.99946666666668
150 day,85.48667733333336,85.48150866666668,85.40070333333334,85.30894133333332
175 day,83.78686685714287,83.83433771428572,84.2845142857143,84.93380285714287
2 day,82.41499999999999,78.945,78.91999999999999,88.235
2 hr,80.21949166666666,77.71400833333334,80.22451666666669,90.49785833333334
2.5 hr,80.21466666666664,77.82389333333334,80.16799333333337,90.47539333333334
20 day,89.54575,89.0895,82.4835,82.503
20 min,80.39235,77.21304999999998,80.38155000000002,91.01885000000001
200 day,82.2243825,82.24831900000001,82.47393149999998,83.8170875
25 min,80.47688,77.21323999999998,80.39404000000002,90.97348
3 hr,80.20470555555555,77.90629444444447,80.09510000000006,90.42081111111112
3.5 hr,80.2143142857143,78.0447380952381,80.0416571428572,90.38455238095243
30 day,89.29382666666667,88.87438666666667,85.63566666666665,81.44466666666668
30 min,80.51369999999999,77.26483333333333,80.39403333333335,90.91156666666667
4 hr,80.26369999999999,78.16044166666663,80.01895416666669,90.32579166666669
4.5 hr,80.33810740740739,78.31383333333328,79.96058518518522,90.29004444444452
40 day,87.975935,87.9037775,86.33779,82.261
45 min,80.56357777777778,77.39906666666666,80.35462222222223,90.75508888888888
5 day,84.462,82.382,78.404,85.94800000000001
5 hr,80.47261666666664,78.45551666666661,79.95231000000005,90.30727333333337
5 min,80.386,77.26499999999999,80.31,91.02000000000001
5.5 hr,80.63447878787878,78.60202424242419,79.95413030303035,90.33614545454553
50 day,86.79712799999999,86.721862,86.06862200000002,84.25179999999999
50 min,80.56001999999998,77.44788,80.33456,90.72618
55 min,80.53674545454545,77.49438181818182,80.31360000000001,90.70160000000001
6 hr,80.79935555555552,78.72379166666659,79.93393333333333,90.3476722222223
6.5 hr,80.98189743589737,78.83516923076915,79.84888717948716,90.32720769230772
60 day,86.78162666666665,86.59765166666666,85.38955166666669,84.89139333333333
70 day,87.08519285714281,86.9228014285714,85.47341571428574,85.05823714285714
80 day,87.15976499999996,87.02838624999997,85.89845125,84.68333
90 day,87.00361555555554,86.91418333333331,86.10612111111111,84.73810777777777
Tomorrow,77.31,75.33,81.33,90.31
