,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,69.71965,71.15061666666665,69.59208333333335,68.31898333333334,67.95678333333335,66.1939,65.45416666666668,64.68053333333334,61.68536666666666,63.74616666666667,81.58931666666665,85.00226666666666,87.45018333333333,87.34925,86.88319999999999,87.37766666666668,87.33878333333332,87.5886333333333,86.58184999999999,86.17796666666662,85.81566666666664,86.68899999999998,86.43056666666665,87.55190000000002,87.17294999999999,87.68910000000002,87.82813333333333,88.16721666666665,89.74603333333332,87.42739999999999,87.56939999999996,87.99608333333332,87.28958333333331,87.63618333333334,89.66636666666663,89.16904999999998,89.9855333333333,91.07970000000002,90.49261666666666
1 min,69.47,70.88,69.75,68.2,68.13,66.63,65.58,64.53,62.475,64.17,80.43,84.92,87.53,87.51,86.97,87.44,87.01,87.3,86.59,86.26,85.98,86.5,86.46,87.6,87.27,87.55,88.01,88.43,89.69,87.57,88.13,88.12,87.47,87.91,89.87,89.08,89.75,90.685,90.69
1.5 hr,69.56879999999998,71.12567777777781,69.46223333333334,68.31261111111114,68.13315555555556,66.24871111111112,65.81843333333333,64.68354444444445,61.573566666666665,63.650688888888915,81.44376666666668,84.9914888888889,87.40749999999998,87.31027777777778,86.85771111111112,87.3141333333333,87.37564444444442,87.67629999999998,86.62011111111107,86.30828888888885,85.65711111111112,86.65941111111111,86.4194333333333,87.57546666666669,87.16155555555555,87.7633888888889,87.82664444444447,88.17217777777776,89.78018888888886,87.4225888888889,87.55954444444446,87.98711111111112,87.25442222222223,87.64847777777776,89.57932222222217,89.21085555555553,89.99557777777775,91.02753333333334,90.46052222222221
10 day,70.949,71.11999999999999,70.996,70.8,70.39099999999999,69.712,69.023,68.19500000000002,65.633,63.682,64.913,66.845,71.81099999999999,74.64099999999999,77.08600000000001,79.54499999999999,82.003,86.48300000000002,87.099,87.23600000000002,87.08400000000002,86.976,86.871,86.93799999999999,86.924,86.978,86.961,87.077,87.385,87.51500000000001,87.729,87.892,87.993,88.022,88.28299999999999,88.436,88.60400000000001,88.826,88.928
10 min,69.4946,71.01559999999999,69.7045,68.2658,67.93350000000001,66.7927,65.6721,64.40209999999999,62.20250000000001,63.76900000000002,81.2945,84.7932,87.50790000000002,87.37039999999999,86.9693,87.4011,87.0785,87.3808,86.56500000000001,86.10399999999998,85.957,86.644,86.4258,87.5071,87.10749999999999,87.6005,87.9515,88.2615,89.9565,87.48400000000001,88.1256,88.06999999999998,87.4675,87.67800000000003,89.87199999999999,89.06799999999998,89.937,90.839,90.58129999999998
100 day,82.86090000000002,82.71890000000002,82.56550000000001,82.37580000000001,82.1804,81.9636,81.7551,81.5112,80.62920000000003,79.82260000000001,79.46170000000002,79.39860000000002,79.3028,79.2852,79.2532,79.2235,79.1848,79.1217,79.0892,79.0526,78.9974,78.93809999999999,78.86129999999999,78.79489999999998,78.72299999999998,78.68239999999999,78.6411,78.62679999999999,78.6189,78.6031,78.61219999999999,78.62549999999999,78.61279999999998,78.62019999999998,78.64689999999999,78.66159999999999,78.68519999999998,78.70899999999997,78.73869999999997
125 day,82.51064000000001,82.45072000000002,82.38400000000001,82.30776000000003,82.21728000000002,82.11216,82.00368,81.88944000000002,81.47776000000002,81.10768000000002,81.01192000000003,81.03160000000003,81.08512,81.11856000000002,81.12936,81.14303999999998,81.15727999999999,81.18847999999998,81.19847999999998,81.20783999999998,81.21519999999998,81.20983999999999,81.20015999999997,81.19463999999996,81.20127999999997,81.19039999999998,81.17415999999996,81.16031999999997,81.15327999999998,81.13032,81.12151999999999,81.10407999999998,81.07391999999997,81.04183999999998,81.03111999999999,81.00799999999998,80.98423999999997,80.99551999999997,80.99983999999998
15 min,69.52453333333334,71.0774,69.714,68.24386666666668,67.82626666666665,66.69460000000001,65.62460000000002,64.42926666666666,62.114000000000004,63.76233333333334,81.5308,84.83113333333334,87.49480000000001,87.3372,86.93286666666667,87.40333333333335,87.129,87.40786666666665,86.54340000000002,86.09433333333331,85.9982,86.68133333333334,86.38053333333332,87.48873333333333,87.09933333333333,87.63466666666666,87.90733333333333,88.16159999999999,89.97626666666669,87.48533333333333,88.00479999999999,88.08933333333331,87.42333333333333,87.64553333333333,89.83033333333333,89.07466666666664,89.96806666666664,90.91933333333333,90.5872
150 day,81.98426666666667,81.90493333333335,81.82066666666668,81.71173333333334,81.59720000000002,81.49486666666668,81.38966666666667,81.2866,80.973,80.66300000000001,80.60480000000001,80.64626666666668,80.76233333333333,80.82593333333332,80.88033333333331,80.9377333333333,80.9907333333333,81.12226666666665,81.18366666666665,81.2362,81.28899999999999,81.34746666666666,81.39426666666665,81.44659999999998,81.50073333333332,81.55906666666665,81.62259999999998,81.69026666666664,81.77306666666667,81.84580000000001,81.90393333333333,81.9614,82.02019999999997,82.07033333333332,82.11986666666665,82.15473333333331,82.18926666666664,82.23826666666665,82.27219999999997
175 day,82.92774285714287,82.8159142857143,82.70677142857144,82.5996285714286,82.49214285714287,82.3618,82.22962857142858,82.0855142857143,81.5803142857143,81.12174285714286,80.94142857142857,80.91685714285714,80.87022857142856,80.87257142857142,80.8669714285714,80.86982857142854,80.87902857142853,80.9022857142857,80.92205714285713,80.9418857142857,80.96257142857142,80.97377142857141,80.98034285714284,81.0125714285714,81.0462857142857,81.08954285714285,81.14491428571426,81.22359999999998,81.29822857142855,81.35485714285713,81.40399999999998,81.4582857142857,81.5133714285714,81.57017142857141,81.63411428571426,81.69148571428569,81.7548571428571,81.82748571428569,81.89548571428568
