,2018-12-11,2019-01-17,2019-01-22
1 hr,8.3991,9.119866666666669,8.826883333333337
1 min,8.37,9.1,8.83
1.5 hr,8.398611111111107,9.099666666666668,8.837755555555562
10 day,8.858,8.572000000000001,8.677
10 min,8.375,9.0785,8.800500000000001
100 day,10.901500000000004,9.773550000000002,9.70385
125 day,11.810080000000001,10.32608,10.260279999999998
15 min,8.381,9.084666666666667,8.808066666666667
150 day,12.653600000000003,11.179133333333333,11.080799999999998
175 day,13.324628571428576,11.992285714285718,11.91782857142857
2 day,8.335,8.795,9.065000000000001
2 hr,8.384416666666665,9.055191666666667,8.859833333333336
2.5 hr,8.357966666666664,9.046386666666667,8.86277333333334
20 day,8.871500000000001,7.955000000000001,8.093499999999999
20 min,8.382500000000002,9.097999999999999,8.80755
200 day,14.053500000000001,12.662100000000004,12.583450000000003
25 min,8.3846,9.1124,8.801240000000002
3 hr,8.347388888888881,9.035683333333337,8.848022222222223
3.5 hr,8.337857142857132,9.026519047619052,8.85608571428572
30 day,8.941833333333332,8.117666666666668,8.133666666666665
30 min,8.391333333333334,9.124166666666666,8.8032
4 hr,8.332716666666652,9.022541666666676,8.869154166666672
4.5 hr,8.34137407407406,9.019259259259272,8.889977777777787
40 day,9.102875000000001,8.33625,8.35325
45 min,8.39746666666667,9.125733333333331,8.819466666666669
5 day,8.584,8.568000000000001,8.774
5 hr,8.353236666666646,9.014136666666676,8.905000000000008
5 min,8.373999999999999,9.091,8.808000000000002
5.5 hr,8.3668818181818,9.005463636363647,8.906021212121217
50 day,9.4159,8.530199999999999,8.498199999999999
50 min,8.401520000000003,9.12356,8.822220000000003
55 min,8.400109090909094,9.122327272727274,8.823200000000002
6 hr,8.38373333333332,8.980255555555567,8.907977777777782
6.5 hr,8.401353846153837,8.936156410256421,8.914217948717951
60 day,9.907250000000003,8.57575,8.55308333333333
70 day,10.190500000000004,8.810214285714283,8.76121428571428
80 day,10.466937500000004,9.1386875,9.059312499999997
90 day,10.658833333333337,9.486833333333333,9.419055555555556
Tomorrow,8.47,9.31,9.07
